{'match': 0.77001953125, 'score': 0.77001953125, 'examples_seen': 54307, 'step': 4300, 'algorithm': 'kmp_matcher'},
{'match': 0.712646484375, 'score': 0.712646484375, 'examples_seen': 54939, 'step': 4350, 'algorithm': 'kmp_matcher'},
{'match': 0.779541015625, 'score': 0.779541015625, 'examples_seen': 55572, 'step': 4400, 'algorithm': 'kmp_matcher'},
{'match': 0.746337890625, 'score': 0.746337890625, 'examples_seen': 56199, 'step': 4450, 'algorithm': 'kmp_matcher'},
{'match': 0.771728515625, 'score': 0.771728515625, 'examples_seen': 56830, 'step': 4500, 'algorithm': 'kmp_matcher'},
{'match': 0.759521484375, 'score': 0.759521484375, 'examples_seen': 57447, 'step': 4550, 'algorithm': 'kmp_matcher'},
{'match': 0.725830078125, 'score': 0.725830078125, 'examples_seen': 58074, 'step': 4600, 'algorithm': 'kmp_matcher'},
{'match': 0.800537109375, 'score': 0.800537109375, 'examples_seen': 58715, 'step': 4650, 'algorithm': 'kmp_matcher'},
{'match': 0.668212890625, 'score': 0.668212890625, 'examples_seen': 59339, 'step': 4700, 'algorithm': 'kmp_matcher'},
{'match': 0.83203125, 'score': 0.83203125, 'examples_seen': 59979, 'step': 4750, 'algorithm': 'kmp_matcher'},
{'match': 0.815185546875, 'score': 0.815185546875, 'examples_seen': 60608, 'step': 4800, 'algorithm': 'kmp_matcher'},
{'match': 0.73828125, 'score': 0.73828125, 'examples_seen': 61231, 'step': 4850, 'algorithm': 'kmp_matcher'},
{'match': 0.8291015625, 'score': 0.8291015625, 'examples_seen': 61870, 'step': 4900, 'algorithm': 'kmp_matcher'},
{'match': 0.7890625, 'score': 0.7890625, 'examples_seen': 62501, 'step': 4950, 'algorithm': 'kmp_matcher'},
{'match': 0.80322265625, 'score': 0.80322265625, 'examples_seen': 63141, 'step': 5000, 'algorithm': 'kmp_matcher'},
{'match': 0.80126953125, 'score': 0.80126953125, 'examples_seen': 63786, 'step': 5050, 'algorithm': 'kmp_matcher'},
{'match': 0.795654296875, 'score': 0.795654296875, 'examples_seen': 64408, 'step': 5100, 'algorithm': 'kmp_matcher'},
{'match': 0.81298828125, 'score': 0.81298828125, 'examples_seen': 65041, 'step': 5150, 'algorithm': 'kmp_matcher'},
{'match': 0.85107421875, 'score': 0.85107421875, 'examples_seen': 65668, 'step': 5200, 'algorithm': 'kmp_matcher'},
{'match': 0.8154296875, 'score': 0.8154296875, 'examples_seen': 66287, 'step': 5250, 'algorithm': 'kmp_matcher'},
{'match': 0.84814453125, 'score': 0.84814453125, 'examples_seen': 66921, 'step': 5300, 'algorithm': 'kmp_matcher'},
{'match': 0.826904296875, 'score': 0.826904296875, 'examples_seen': 67545, 'step': 5350, 'algorithm': 'kmp_matcher'},
{'match': 0.83154296875, 'score': 0.83154296875, 'examples_seen': 68171, 'step': 5400, 'algorithm': 'kmp_matcher'},
{'match': 0.815673828125, 'score': 0.815673828125, 'examples_seen': 68804, 'step': 5450, 'algorithm': 'kmp_matcher'},
{'match': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 69429, 'step': 5500, 'algorithm': 'kmp_matcher'},
{'match': 0.870361328125, 'score': 0.870361328125, 'examples_seen': 70080, 'step': 5550, 'algorithm': 'kmp_matcher'},
{'match': 0.878662109375, 'score': 0.878662109375, 'examples_seen': 70710, 'step': 5600, 'algorithm': 'kmp_matcher'},
{'match': 0.83544921875, 'score': 0.83544921875, 'examples_seen': 71363, 'step': 5650, 'algorithm': 'kmp_matcher'},
{'match': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 72000, 'step': 5700, 'algorithm': 'kmp_matcher'},
{'match': 0.86181640625, 'score': 0.86181640625, 'examples_seen': 72620, 'step': 5750, 'algorithm': 'kmp_matcher'},
{'match': 0.87255859375, 'score': 0.87255859375, 'examples_seen': 73246, 'step': 5800, 'algorithm': 'kmp_matcher'},
{'match': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 73875, 'step': 5850, 'algorithm': 'kmp_matcher'},
{'match': 0.89501953125, 'score': 0.89501953125, 'examples_seen': 74496, 'step': 5900, 'algorithm': 'kmp_matcher'},
{'match': 0.86279296875, 'score': 0.86279296875, 'examples_seen': 75132, 'step': 5950, 'algorithm': 'kmp_matcher'},
{'match': 0.807373046875, 'score': 0.807373046875, 'examples_seen': 75766, 'step': 6000, 'algorithm': 'kmp_matcher'},
{'match': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 76390, 'step': 6050, 'algorithm': 'kmp_matcher'},
{'match': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 77005, 'step': 6100, 'algorithm': 'kmp_matcher'},
{'match': 0.859375, 'score': 0.859375, 'examples_seen': 77639, 'step': 6150, 'algorithm': 'kmp_matcher'},
{'match': 0.83642578125, 'score': 0.83642578125, 'examples_seen': 78272, 'step': 6200, 'algorithm': 'kmp_matcher'},
{'match': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 78899, 'step': 6250, 'algorithm': 'kmp_matcher'},
{'match': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 79521, 'step': 6300, 'algorithm': 'kmp_matcher'},
{'match': 0.78515625, 'score': 0.78515625, 'examples_seen': 80158, 'step': 6350, 'algorithm': 'kmp_matcher'},
{'match': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 80788, 'step': 6400, 'algorithm': 'kmp_matcher'},
