{'pi': 0.890625, 'score': 0.890625, 'examples_seen': 205964, 'step': 6150, 'algorithm': 'mst_prim'},
{'pi': 0.8879573170731707, 'score': 0.8879573170731707, 'examples_seen': 207442, 'step': 6200, 'algorithm': 'mst_prim'},
{'pi': 0.8841463414634146, 'score': 0.8841463414634146, 'examples_seen': 209259, 'step': 6250, 'algorithm': 'mst_prim'},
{'pi': 0.8723323170731707, 'score': 0.8723323170731707, 'examples_seen': 210914, 'step': 6300, 'algorithm': 'mst_prim'},
{'pi': 0.8898628048780488, 'score': 0.8898628048780488, 'examples_seen': 212530, 'step': 6350, 'algorithm': 'mst_prim'},
{'pi': 0.8639481707317073, 'score': 0.8639481707317073, 'examples_seen': 214303, 'step': 6400, 'algorithm': 'mst_prim'},
{'pi': 0.9024390243902439, 'score': 0.9024390243902439, 'examples_seen': 215850, 'step': 6450, 'algorithm': 'mst_prim'},
{'pi': 0.9153963414634146, 'score': 0.9153963414634146, 'examples_seen': 217655, 'step': 6500, 'algorithm': 'mst_prim'},
{'pi': 0.8628048780487805, 'score': 0.8628048780487805, 'examples_seen': 219157, 'step': 6550, 'algorithm': 'mst_prim'},
{'pi': 0.8841463414634146, 'score': 0.8841463414634146, 'examples_seen': 220977, 'step': 6600, 'algorithm': 'mst_prim'},
{'pi': 0.9043445121951219, 'score': 0.9043445121951219, 'examples_seen': 222666, 'step': 6650, 'algorithm': 'mst_prim'},
{'pi': 0.8917682926829268, 'score': 0.8917682926829268, 'examples_seen': 224318, 'step': 6700, 'algorithm': 'mst_prim'},
{'pi': 0.8990091463414634, 'score': 0.8990091463414634, 'examples_seen': 226074, 'step': 6750, 'algorithm': 'mst_prim'},
{'pi': 0.9085365853658537, 'score': 0.9085365853658537, 'examples_seen': 227601, 'step': 6800, 'algorithm': 'mst_prim'},
{'pi': 0.8940548780487805, 'score': 0.8940548780487805, 'examples_seen': 229422, 'step': 6850, 'algorithm': 'mst_prim'},
{'pi': 0.9089176829268293, 'score': 0.9089176829268293, 'examples_seen': 230919, 'step': 6900, 'algorithm': 'mst_prim'},
{'pi': 0.9245426829268293, 'score': 0.9245426829268293, 'examples_seen': 232772, 'step': 6950, 'algorithm': 'mst_prim'},
{'pi': 0.868140243902439, 'score': 0.868140243902439, 'examples_seen': 234457, 'step': 7000, 'algorithm': 'mst_prim'},
{'pi': 0.8795731707317073, 'score': 0.8795731707317073, 'examples_seen': 236085, 'step': 7050, 'algorithm': 'mst_prim'},
{'pi': 0.895579268292683, 'score': 0.895579268292683, 'examples_seen': 237802, 'step': 7100, 'algorithm': 'mst_prim'},
{'pi': 0.9340701219512195, 'score': 0.9340701219512195, 'examples_seen': 239380, 'step': 7150, 'algorithm': 'mst_prim'},
{'pi': 0.8574695121951219, 'score': 0.8574695121951219, 'examples_seen': 241193, 'step': 7200, 'algorithm': 'mst_prim'},
{'pi': 0.890625, 'score': 0.890625, 'examples_seen': 242698, 'step': 7250, 'algorithm': 'mst_prim'},
{'pi': 0.890625, 'score': 0.890625, 'examples_seen': 244509, 'step': 7300, 'algorithm': 'mst_prim'},
{'pi': 0.8898628048780488, 'score': 0.8898628048780488, 'examples_seen': 246170, 'step': 7350, 'algorithm': 'mst_prim'},
{'pi': 0.9092987804878049, 'score': 0.9092987804878049, 'examples_seen': 247831, 'step': 7400, 'algorithm': 'mst_prim'},
{'pi': 0.885670731707317, 'score': 0.885670731707317, 'examples_seen': 249574, 'step': 7450, 'algorithm': 'mst_prim'},
{'pi': 0.9123475609756098, 'score': 0.9123475609756098, 'examples_seen': 251114, 'step': 7500, 'algorithm': 'mst_prim'},
{'pi': 0.883765243902439, 'score': 0.883765243902439, 'examples_seen': 252900, 'step': 7550, 'algorithm': 'mst_prim'},
{'pi': 0.9024390243902439, 'score': 0.9024390243902439, 'examples_seen': 254400, 'step': 7600, 'algorithm': 'mst_prim'},
{'pi': 0.8852896341463414, 'score': 0.8852896341463414, 'examples_seen': 256244, 'step': 7650, 'algorithm': 'mst_prim'},
{'pi': 0.9035823170731707, 'score': 0.9035823170731707, 'examples_seen': 257922, 'step': 7700, 'algorithm': 'mst_prim'},
{'pi': 0.9119664634146342, 'score': 0.9119664634146342, 'examples_seen': 259548, 'step': 7750, 'algorithm': 'mst_prim'},
{'pi': 0.8791920731707317, 'score': 0.8791920731707317, 'examples_seen': 261298, 'step': 7800, 'algorithm': 'mst_prim'},
{'pi': 0.8894817073170732, 'score': 0.8894817073170732, 'examples_seen': 262858, 'step': 7850, 'algorithm': 'mst_prim'},
{'pi': 0.8753810975609756, 'score': 0.8753810975609756, 'examples_seen': 264637, 'step': 7900, 'algorithm': 'mst_prim'},
{'pi': 0.8689024390243902, 'score': 0.8689024390243902, 'examples_seen': 266113, 'step': 7950, 'algorithm': 'mst_prim'},
{'pi': 0.9176829268292683, 'score': 0.9176829268292683, 'examples_seen': 267978, 'step': 8000, 'algorithm': 'mst_prim'},
{'pi': 0.8997713414634146, 'score': 0.8997713414634146, 'examples_seen': 269646, 'step': 8050, 'algorithm': 'mst_prim'},
{'pi': 0.8963414634146342, 'score': 0.8963414634146342, 'examples_seen': 271277, 'step': 8100, 'algorithm': 'mst_prim'},
{'pi': 0.8338414634146342, 'score': 0.8338414634146342, 'examples_seen': 273032, 'step': 8150, 'algorithm': 'mst_prim'},
{'pi': 0.9104420731707317, 'score': 0.9104420731707317, 'examples_seen': 274595, 'step': 8200, 'algorithm': 'mst_prim'},
{'pi': 0.8769054878048781, 'score': 0.8769054878048781, 'examples_seen': 276391, 'step': 8250, 'algorithm': 'mst_prim'},
{'pi': 0.852515243902439, 'score': 0.852515243902439, 'examples_seen': 277909, 'step': 8300, 'algorithm': 'mst_prim'},
{'pi': 0.8948170731707317, 'score': 0.8948170731707317, 'examples_seen': 279717, 'step': 8350, 'algorithm': 'mst_prim'},
