{'pred': 0.6570121951219512, 'score': 0.6570121951219512, 'examples_seen': 118661, 'step': 6500, 'algorithm': 'quicksort'},
{'pred': 0.7244664634146342, 'score': 0.7244664634146342, 'examples_seen': 119455, 'step': 6550, 'algorithm': 'quicksort'},
{'pred': 0.7164634146341463, 'score': 0.7164634146341463, 'examples_seen': 120469, 'step': 6600, 'algorithm': 'quicksort'},
{'pred': 0.6375762195121951, 'score': 0.6375762195121951, 'examples_seen': 121427, 'step': 6650, 'algorithm': 'quicksort'},
{'pred': 0.5403963414634146, 'score': 0.5403963414634146, 'examples_seen': 122251, 'step': 6700, 'algorithm': 'quicksort'},
{'pred': 0.7336128048780488, 'score': 0.7336128048780488, 'examples_seen': 123254, 'step': 6750, 'algorithm': 'quicksort'},
{'pred': 0.7035060975609756, 'score': 0.7035060975609756, 'examples_seen': 124062, 'step': 6800, 'algorithm': 'quicksort'},
{'pred': 0.6539634146341463, 'score': 0.6539634146341463, 'examples_seen': 125069, 'step': 6850, 'algorithm': 'quicksort'},
{'pred': 0.5621189024390244, 'score': 0.5621189024390244, 'examples_seen': 125847, 'step': 6900, 'algorithm': 'quicksort'},
{'pred': 0.7061737804878049, 'score': 0.7061737804878049, 'examples_seen': 126860, 'step': 6950, 'algorithm': 'quicksort'},
{'pred': 0.6520579268292683, 'score': 0.6520579268292683, 'examples_seen': 127826, 'step': 7000, 'algorithm': 'quicksort'},
{'pred': 0.6935975609756098, 'score': 0.6935975609756098, 'examples_seen': 128653, 'step': 7050, 'algorithm': 'quicksort'},
{'pred': 0.5857469512195121, 'score': 0.5857469512195121, 'examples_seen': 129648, 'step': 7100, 'algorithm': 'quicksort'},
{'pred': 0.6067073170731707, 'score': 0.6067073170731707, 'examples_seen': 130437, 'step': 7150, 'algorithm': 'quicksort'},
{'pred': 0.6939786585365854, 'score': 0.6939786585365854, 'examples_seen': 131448, 'step': 7200, 'algorithm': 'quicksort'},
{'pred': 0.5743140243902439, 'score': 0.5743140243902439, 'examples_seen': 132234, 'step': 7250, 'algorithm': 'quicksort'},
{'pred': 0.5666920731707317, 'score': 0.5666920731707317, 'examples_seen': 133242, 'step': 7300, 'algorithm': 'quicksort'},
{'pred': 0.713795731707317, 'score': 0.713795731707317, 'examples_seen': 134199, 'step': 7350, 'algorithm': 'quicksort'},
{'pred': 0.7214176829268293, 'score': 0.7214176829268293, 'examples_seen': 135041, 'step': 7400, 'algorithm': 'quicksort'},
{'pred': 0.6775914634146342, 'score': 0.6775914634146342, 'examples_seen': 136027, 'step': 7450, 'algorithm': 'quicksort'},
{'pred': 0.5804115853658537, 'score': 0.5804115853658537, 'examples_seen': 136817, 'step': 7500, 'algorithm': 'quicksort'},
{'pred': 0.7046493902439024, 'score': 0.7046493902439024, 'examples_seen': 137828, 'step': 7550, 'algorithm': 'quicksort'},
{'pred': 0.5544969512195121, 'score': 0.5544969512195121, 'examples_seen': 138605, 'step': 7600, 'algorithm': 'quicksort'},
{'pred': 0.6349085365853658, 'score': 0.6349085365853658, 'examples_seen': 139627, 'step': 7650, 'algorithm': 'quicksort'},
{'pred': 0.6935975609756098, 'score': 0.6935975609756098, 'examples_seen': 140566, 'step': 7700, 'algorithm': 'quicksort'},
{'pred': 0.6627286585365854, 'score': 0.6627286585365854, 'examples_seen': 141398, 'step': 7750, 'algorithm': 'quicksort'},
{'pred': 0.6642530487804879, 'score': 0.6642530487804879, 'examples_seen': 142397, 'step': 7800, 'algorithm': 'quicksort'},
{'pred': 0.7267530487804879, 'score': 0.7267530487804879, 'examples_seen': 143192, 'step': 7850, 'algorithm': 'quicksort'},
{'pred': 0.7370426829268293, 'score': 0.7370426829268293, 'examples_seen': 144189, 'step': 7900, 'algorithm': 'quicksort'},
{'pred': 0.6394817073170732, 'score': 0.6394817073170732, 'examples_seen': 144985, 'step': 7950, 'algorithm': 'quicksort'},
{'pred': 0.7176067073170732, 'score': 0.7176067073170732, 'examples_seen': 145996, 'step': 8000, 'algorithm': 'quicksort'},
{'pred': 0.6570121951219512, 'score': 0.6570121951219512, 'examples_seen': 146955, 'step': 8050, 'algorithm': 'quicksort'},
