{'scc_id': 0.6767578125, 'score': 0.6767578125, 'examples_seen': 10342, 'step': 3600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.63671875, 'score': 0.63671875, 'examples_seen': 10487, 'step': 3650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6962890625, 'score': 0.6962890625, 'examples_seen': 10630, 'step': 3700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6875, 'score': 0.6875, 'examples_seen': 10774, 'step': 3750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 10918, 'step': 3800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6318359375, 'score': 0.6318359375, 'examples_seen': 11061, 'step': 3850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5830078125, 'score': 0.5830078125, 'examples_seen': 11206, 'step': 3900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 11349, 'step': 3950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6318359375, 'score': 0.6318359375, 'examples_seen': 11492, 'step': 4000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.650390625, 'score': 0.650390625, 'examples_seen': 11639, 'step': 4050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.59765625, 'score': 0.59765625, 'examples_seen': 11784, 'step': 4100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.61328125, 'score': 0.61328125, 'examples_seen': 11928, 'step': 4150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 12071, 'step': 4200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7177734375, 'score': 0.7177734375, 'examples_seen': 12215, 'step': 4250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6337890625, 'score': 0.6337890625, 'examples_seen': 12358, 'step': 4300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.638671875, 'score': 0.638671875, 'examples_seen': 12503, 'step': 4350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.55078125, 'score': 0.55078125, 'examples_seen': 12647, 'step': 4400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6640625, 'score': 0.6640625, 'examples_seen': 12789, 'step': 4450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6630859375, 'score': 0.6630859375, 'examples_seen': 12934, 'step': 4500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 13078, 'step': 4550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.626953125, 'score': 0.626953125, 'examples_seen': 13221, 'step': 4600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6767578125, 'score': 0.6767578125, 'examples_seen': 13365, 'step': 4650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.517578125, 'score': 0.517578125, 'examples_seen': 13510, 'step': 4700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 13654, 'step': 4750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.650390625, 'score': 0.650390625, 'examples_seen': 13798, 'step': 4800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.71484375, 'score': 0.71484375, 'examples_seen': 13941, 'step': 4850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6826171875, 'score': 0.6826171875, 'examples_seen': 14087, 'step': 4900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5654296875, 'score': 0.5654296875, 'examples_seen': 14230, 'step': 4950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.654296875, 'score': 0.654296875, 'examples_seen': 14373, 'step': 5000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 14515, 'step': 5050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5595703125, 'score': 0.5595703125, 'examples_seen': 14659, 'step': 5100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5947265625, 'score': 0.5947265625, 'examples_seen': 14802, 'step': 5150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5380859375, 'score': 0.5380859375, 'examples_seen': 14947, 'step': 5200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5859375, 'score': 0.5859375, 'examples_seen': 15089, 'step': 5250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.673828125, 'score': 0.673828125, 'examples_seen': 15233, 'step': 5300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.630859375, 'score': 0.630859375, 'examples_seen': 15377, 'step': 5350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.708984375, 'score': 0.708984375, 'examples_seen': 15521, 'step': 5400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 15665, 'step': 5450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.615234375, 'score': 0.615234375, 'examples_seen': 15809, 'step': 5500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 15953, 'step': 5550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.62109375, 'score': 0.62109375, 'examples_seen': 16098, 'step': 5600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.640625, 'score': 0.640625, 'examples_seen': 16240, 'step': 5650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7607421875, 'score': 0.7607421875, 'examples_seen': 16385, 'step': 5700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.640625, 'score': 0.640625, 'examples_seen': 16525, 'step': 5750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6484375, 'score': 0.6484375, 'examples_seen': 16671, 'step': 5800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.658203125, 'score': 0.658203125, 'examples_seen': 16814, 'step': 5850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5947265625, 'score': 0.5947265625, 'examples_seen': 16956, 'step': 5900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.630859375, 'score': 0.630859375, 'examples_seen': 17100, 'step': 5950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.65625, 'score': 0.65625, 'examples_seen': 17245, 'step': 6000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 17387, 'step': 6050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 17529, 'step': 6100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.619140625, 'score': 0.619140625, 'examples_seen': 17674, 'step': 6150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 17819, 'step': 6200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 17961, 'step': 6250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 18105, 'step': 6300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.70703125, 'score': 0.70703125, 'examples_seen': 18248, 'step': 6350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.640625, 'score': 0.640625, 'examples_seen': 18394, 'step': 6400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6552734375, 'score': 0.6552734375, 'examples_seen': 18537, 'step': 6450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.595703125, 'score': 0.595703125, 'examples_seen': 18681, 'step': 6500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6689453125, 'score': 0.6689453125, 'examples_seen': 18827, 'step': 6550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.650390625, 'score': 0.650390625, 'examples_seen': 18970, 'step': 6600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.73046875, 'score': 0.73046875, 'examples_seen': 19115, 'step': 6650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 19257, 'step': 6700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6484375, 'score': 0.6484375, 'examples_seen': 19400, 'step': 6750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.728515625, 'score': 0.728515625, 'examples_seen': 19542, 'step': 6800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.646484375, 'score': 0.646484375, 'examples_seen': 19685, 'step': 6850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7177734375, 'score': 0.7177734375, 'examples_seen': 19829, 'step': 6900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6279296875, 'score': 0.6279296875, 'examples_seen': 19974, 'step': 6950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6015625, 'score': 0.6015625, 'examples_seen': 20119, 'step': 7000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.642578125, 'score': 0.642578125, 'examples_seen': 20262, 'step': 7050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.650390625, 'score': 0.650390625, 'examples_seen': 20405, 'step': 7100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6201171875, 'score': 0.6201171875, 'examples_seen': 20550, 'step': 7150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6953125, 'score': 0.6953125, 'examples_seen': 20694, 'step': 7200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6123046875, 'score': 0.6123046875, 'examples_seen': 20837, 'step': 7250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5380859375, 'score': 0.5380859375, 'examples_seen': 20981, 'step': 7300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6416015625, 'score': 0.6416015625, 'examples_seen': 21124, 'step': 7350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6181640625, 'score': 0.6181640625, 'examples_seen': 21268, 'step': 7400, 'algorithm': 'strongly_connected_components'},
