{'pi': 0.29039634146341464, 'score': 0.29039634146341464, 'examples_seen': 53024, 'step': 5300, 'algorithm': 'dfs'},
{'pi': 0.32621951219512196, 'score': 0.32621951219512196, 'examples_seen': 53552, 'step': 5350, 'algorithm': 'dfs'},
{'pi': 0.3235518292682927, 'score': 0.3235518292682927, 'examples_seen': 54000, 'step': 5400, 'algorithm': 'dfs'},
{'pi': 0.29458841463414637, 'score': 0.29458841463414637, 'examples_seen': 54560, 'step': 5450, 'algorithm': 'dfs'},
{'pi': 0.33384146341463417, 'score': 0.33384146341463417, 'examples_seen': 54992, 'step': 5500, 'algorithm': 'dfs'},
{'pi': 0.3239329268292683, 'score': 0.3239329268292683, 'examples_seen': 55552, 'step': 5550, 'algorithm': 'dfs'},
{'pi': 0.30678353658536583, 'score': 0.30678353658536583, 'examples_seen': 56016, 'step': 5600, 'algorithm': 'dfs'},
{'pi': 0.3365091463414634, 'score': 0.3365091463414634, 'examples_seen': 56560, 'step': 5650, 'algorithm': 'dfs'},
{'pi': 0.3243140243902439, 'score': 0.3243140243902439, 'examples_seen': 57072, 'step': 5700, 'algorithm': 'dfs'},
{'pi': 0.34565548780487804, 'score': 0.34565548780487804, 'examples_seen': 57504, 'step': 5750, 'algorithm': 'dfs'},
{'pi': 0.29801829268292684, 'score': 0.29801829268292684, 'examples_seen': 58032, 'step': 5800, 'algorithm': 'dfs'},
{'pi': 0.3227896341463415, 'score': 0.3227896341463415, 'examples_seen': 58512, 'step': 5850, 'algorithm': 'dfs'},
{'pi': 0.39977134146341464, 'score': 0.39977134146341464, 'examples_seen': 59040, 'step': 5900, 'algorithm': 'dfs'},
{'pi': 0.31135670731707316, 'score': 0.31135670731707316, 'examples_seen': 59552, 'step': 5950, 'algorithm': 'dfs'},
{'pi': 0.3384146341463415, 'score': 0.3384146341463415, 'examples_seen': 60000, 'step': 6000, 'algorithm': 'dfs'},
{'pi': 0.3086890243902439, 'score': 0.3086890243902439, 'examples_seen': 60544, 'step': 6050, 'algorithm': 'dfs'},
{'pi': 0.31097560975609756, 'score': 0.31097560975609756, 'examples_seen': 61008, 'step': 6100, 'algorithm': 'dfs'},
{'pi': 0.2942073170731707, 'score': 0.2942073170731707, 'examples_seen': 61584, 'step': 6150, 'algorithm': 'dfs'},
{'pi': 0.3094512195121951, 'score': 0.3094512195121951, 'examples_seen': 62016, 'step': 6200, 'algorithm': 'dfs'},
{'pi': 0.27972560975609756, 'score': 0.27972560975609756, 'examples_seen': 62544, 'step': 6250, 'algorithm': 'dfs'},
{'pi': 0.3311737804878049, 'score': 0.3311737804878049, 'examples_seen': 63056, 'step': 6300, 'algorithm': 'dfs'},
{'pi': 0.2884908536585366, 'score': 0.2884908536585366, 'examples_seen': 63536, 'step': 6350, 'algorithm': 'dfs'},
{'pi': 0.34222560975609756, 'score': 0.34222560975609756, 'examples_seen': 64080, 'step': 6400, 'algorithm': 'dfs'},
{'pi': 0.35022865853658536, 'score': 0.35022865853658536, 'examples_seen': 64528, 'step': 6450, 'algorithm': 'dfs'},
{'pi': 0.27553353658536583, 'score': 0.27553353658536583, 'examples_seen': 65072, 'step': 6500, 'algorithm': 'dfs'},
{'pi': 0.2682926829268293, 'score': 0.2682926829268293, 'examples_seen': 65520, 'step': 6550, 'algorithm': 'dfs'},
{'pi': 0.36166158536585363, 'score': 0.36166158536585363, 'examples_seen': 66064, 'step': 6600, 'algorithm': 'dfs'},
{'pi': 0.36547256097560976, 'score': 0.36547256097560976, 'examples_seen': 66560, 'step': 6650, 'algorithm': 'dfs'},
{'pi': 0.32621951219512196, 'score': 0.32621951219512196, 'examples_seen': 67056, 'step': 6700, 'algorithm': 'dfs'},
{'pi': 0.33765243902439024, 'score': 0.33765243902439024, 'examples_seen': 67584, 'step': 6750, 'algorithm': 'dfs'},
{'pi': 0.2820121951219512, 'score': 0.2820121951219512, 'examples_seen': 68016, 'step': 6800, 'algorithm': 'dfs'},
{'pi': 0.37614329268292684, 'score': 0.37614329268292684, 'examples_seen': 68576, 'step': 6850, 'algorithm': 'dfs'},
{'pi': 0.36051829268292684, 'score': 0.36051829268292684, 'examples_seen': 68992, 'step': 6900, 'algorithm': 'dfs'},
{'pi': 0.3715701219512195, 'score': 0.3715701219512195, 'examples_seen': 69568, 'step': 6950, 'algorithm': 'dfs'},
{'pi': 0.26448170731707316, 'score': 0.26448170731707316, 'examples_seen': 70080, 'step': 7000, 'algorithm': 'dfs'},
{'pi': 0.31021341463414637, 'score': 0.31021341463414637, 'examples_seen': 70512, 'step': 7050, 'algorithm': 'dfs'},
{'pi': 0.2995426829268293, 'score': 0.2995426829268293, 'examples_seen': 71072, 'step': 7100, 'algorithm': 'dfs'},
{'pi': 0.26333841463414637, 'score': 0.26333841463414637, 'examples_seen': 71552, 'step': 7150, 'algorithm': 'dfs'},
{'pi': 0.25990853658536583, 'score': 0.25990853658536583, 'examples_seen': 72080, 'step': 7200, 'algorithm': 'dfs'},
{'pi': 0.3620426829268293, 'score': 0.3620426829268293, 'examples_seen': 72496, 'step': 7250, 'algorithm': 'dfs'},
{'pi': 0.3387957317073171, 'score': 0.3387957317073171, 'examples_seen': 73056, 'step': 7300, 'algorithm': 'dfs'},
{'pi': 0.3490853658536585, 'score': 0.3490853658536585, 'examples_seen': 73552, 'step': 7350, 'algorithm': 'dfs'},
{'pi': 0.29001524390243905, 'score': 0.29001524390243905, 'examples_seen': 74048, 'step': 7400, 'algorithm': 'dfs'},
{'pi': 0.3780487804878049, 'score': 0.3780487804878049, 'examples_seen': 74576, 'step': 7450, 'algorithm': 'dfs'},
{'pi': 0.3132621951219512, 'score': 0.3132621951219512, 'examples_seen': 75040, 'step': 7500, 'algorithm': 'dfs'},
{'pi': 0.33498475609756095, 'score': 0.33498475609756095, 'examples_seen': 75568, 'step': 7550, 'algorithm': 'dfs'},
{'pi': 0.3666158536585366, 'score': 0.3666158536585366, 'examples_seen': 76032, 'step': 7600, 'algorithm': 'dfs'},
{'pi': 0.2804878048780488, 'score': 0.2804878048780488, 'examples_seen': 76544, 'step': 7650, 'algorithm': 'dfs'},
{'pi': 0.3441310975609756, 'score': 0.3441310975609756, 'examples_seen': 77072, 'step': 7700, 'algorithm': 'dfs'},
{'pi': 0.3799542682926829, 'score': 0.3799542682926829, 'examples_seen': 77568, 'step': 7750, 'algorithm': 'dfs'},
{'pi': 0.31364329268292684, 'score': 0.31364329268292684, 'examples_seen': 78080, 'step': 7800, 'algorithm': 'dfs'},
{'pi': 0.3353658536585366, 'score': 0.3353658536585366, 'examples_seen': 78544, 'step': 7850, 'algorithm': 'dfs'},
{'pi': 0.3391768292682927, 'score': 0.3391768292682927, 'examples_seen': 79104, 'step': 7900, 'algorithm': 'dfs'},
{'pi': 0.3467987804878049, 'score': 0.3467987804878049, 'examples_seen': 79504, 'step': 7950, 'algorithm': 'dfs'},
{'pi': 0.29535060975609756, 'score': 0.29535060975609756, 'examples_seen': 80080, 'step': 8000, 'algorithm': 'dfs'},
{'pi': 0.375, 'score': 0.375, 'examples_seen': 80560, 'step': 8050, 'algorithm': 'dfs'},
{'pi': 0.3003048780487805, 'score': 0.3003048780487805, 'examples_seen': 81040, 'step': 8100, 'algorithm': 'dfs'},
{'pi': 0.36890243902439024, 'score': 0.36890243902439024, 'examples_seen': 81584, 'step': 8150, 'algorithm': 'dfs'},
{'pi': 0.34146341463414637, 'score': 0.34146341463414637, 'examples_seen': 82048, 'step': 8200, 'algorithm': 'dfs'},
{'pi': 0.3471798780487805, 'score': 0.3471798780487805, 'examples_seen': 82592, 'step': 8250, 'algorithm': 'dfs'},
{'pi': 0.29458841463414637, 'score': 0.29458841463414637, 'examples_seen': 83056, 'step': 8300, 'algorithm': 'dfs'},
{'pi': 0.34527439024390244, 'score': 0.34527439024390244, 'examples_seen': 83552, 'step': 8350, 'algorithm': 'dfs'},
{'pi': 0.3643292682926829, 'score': 0.3643292682926829, 'examples_seen': 84096, 'step': 8400, 'algorithm': 'dfs'},
{'pi': 0.35060975609756095, 'score': 0.35060975609756095, 'examples_seen': 84560, 'step': 8450, 'algorithm': 'dfs'},
