{'in_hull': 0.9661971830985915, 'score': 0.9661971830985915, 'examples_seen': 48759, 'step': 7950, 'algorithm': 'jarvis_march'},
{'in_hull': 0.955871353777113, 'score': 0.955871353777113, 'examples_seen': 49103, 'step': 8000, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9640179910044978, 'score': 0.9640179910044978, 'examples_seen': 49413, 'step': 8050, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9554896142433233, 'score': 0.9554896142433233, 'examples_seen': 49701, 'step': 8100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9704397981254507, 'score': 0.9704397981254507, 'examples_seen': 50029, 'step': 8150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9587396849212304, 'score': 0.9587396849212304, 'examples_seen': 50308, 'step': 8200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9470630891950689, 'score': 0.9470630891950689, 'examples_seen': 50645, 'step': 8250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9547383309759548, 'score': 0.9547383309759548, 'examples_seen': 50917, 'step': 8300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9534883720930233, 'score': 0.9534883720930233, 'examples_seen': 51250, 'step': 8350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9572153734590284, 'score': 0.9572153734590284, 'examples_seen': 51577, 'step': 8400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.961510530137981, 'score': 0.961510530137981, 'examples_seen': 51861, 'step': 8450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9636363636363637, 'score': 0.9636363636363637, 'examples_seen': 52210, 'step': 8500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9583333333333333, 'score': 0.9583333333333333, 'examples_seen': 52460, 'step': 8550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9748382458662832, 'score': 0.9748382458662832, 'examples_seen': 52804, 'step': 8600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9446107784431138, 'score': 0.9446107784431138, 'examples_seen': 53057, 'step': 8650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.961764705882353, 'score': 0.961764705882353, 'examples_seen': 53407, 'step': 8700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9422355588897223, 'score': 0.9422355588897223, 'examples_seen': 53727, 'step': 8750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9506172839506173, 'score': 0.9506172839506173, 'examples_seen': 54016, 'step': 8800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9472182596291012, 'score': 0.9472182596291012, 'examples_seen': 54351, 'step': 8850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9549815498154981, 'score': 0.9549815498154981, 'examples_seen': 54622, 'step': 8900, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9617328519855597, 'score': 0.9617328519855597, 'examples_seen': 54937, 'step': 8950, 'algorithm': 'jarvis_march'},
{'in_hull': 0.961884961884962, 'score': 0.961884961884962, 'examples_seen': 55221, 'step': 9000, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9406461307287752, 'score': 0.9406461307287752, 'examples_seen': 55552, 'step': 9050, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9482014388489208, 'score': 0.9482014388489208, 'examples_seen': 55872, 'step': 9100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9633431085043989, 'score': 0.9633431085043989, 'examples_seen': 56171, 'step': 9150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9556025369978859, 'score': 0.9556025369978859, 'examples_seen': 56494, 'step': 9200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9441764300482426, 'score': 0.9441764300482426, 'examples_seen': 56763, 'step': 9250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9693950177935942, 'score': 0.9693950177935942, 'examples_seen': 57091, 'step': 9300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9336219336219337, 'score': 0.9336219336219337, 'examples_seen': 57365, 'step': 9350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9590395480225989, 'score': 0.9590395480225989, 'examples_seen': 57708, 'step': 9400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9466764061358656, 'score': 0.9466764061358656, 'examples_seen': 58028, 'step': 9450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9646892655367231, 'score': 0.9646892655367231, 'examples_seen': 58306, 'step': 9500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.942461762563729, 'score': 0.942461762563729, 'examples_seen': 58642, 'step': 9550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9687272727272727, 'score': 0.9687272727272727, 'examples_seen': 58922, 'step': 9600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9612856099342586, 'score': 0.9612856099342586, 'examples_seen': 59248, 'step': 9650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9629080118694361, 'score': 0.9629080118694361, 'examples_seen': 59519, 'step': 9700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9572039942938659, 'score': 0.9572039942938659, 'examples_seen': 59863, 'step': 9750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.952802359882006, 'score': 0.952802359882006, 'examples_seen': 60182, 'step': 9800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9693513898788311, 'score': 0.9693513898788311, 'examples_seen': 60466, 'step': 9850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9394387001477105, 'score': 0.9394387001477105, 'examples_seen': 60787, 'step': 9900, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9573128061581526, 'score': 0.9573128061581526, 'examples_seen': 61068, 'step': 9950, 'algorithm': 'jarvis_march'},
