{'in_mst': 0.5591197892453122, 'score': 0.5591197892453122, 'examples_seen': 221151, 'step': 5200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5348802169654965, 'score': 0.5348802169654965, 'examples_seen': 223247, 'step': 5250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6115547205260686, 'score': 0.6115547205260686, 'examples_seen': 225235, 'step': 5300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5738798856053384, 'score': 0.5738798856053384, 'examples_seen': 227582, 'step': 5350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5165243223171184, 'score': 0.5165243223171184, 'examples_seen': 229435, 'step': 5400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7351916376306621, 'score': 0.7351916376306621, 'examples_seen': 231824, 'step': 5450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6437818181818181, 'score': 0.6437818181818181, 'examples_seen': 233616, 'step': 5500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7338514460440821, 'score': 0.7338514460440821, 'examples_seen': 235990, 'step': 5550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6889339784610582, 'score': 0.6889339784610582, 'examples_seen': 238168, 'step': 5600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5434902032594763, 'score': 0.5434902032594763, 'examples_seen': 240134, 'step': 5650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.49166394246485784, 'score': 0.49166394246485784, 'examples_seen': 242358, 'step': 5700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6139336781259507, 'score': 0.6139336781259507, 'examples_seen': 244210, 'step': 5750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5514187305232081, 'score': 0.5514187305232081, 'examples_seen': 246579, 'step': 5800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5966176010021923, 'score': 0.5966176010021923, 'examples_seen': 248402, 'step': 5850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6354000290402207, 'score': 0.6354000290402207, 'examples_seen': 250799, 'step': 5900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5481742190937087, 'score': 0.5481742190937087, 'examples_seen': 252916, 'step': 5950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6410998552821998, 'score': 0.6410998552821998, 'examples_seen': 254921, 'step': 6000, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6301289566236811, 'score': 0.6301289566236811, 'examples_seen': 257245, 'step': 6050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.703969651808698, 'score': 0.703969651808698, 'examples_seen': 259120, 'step': 6100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6285014541558243, 'score': 0.6285014541558243, 'examples_seen': 261486, 'step': 6150, 'algorithm': 'mst_kruskal'},
