{'intersect': 0.8462977813418872, 'score': 0.8462977813418872, 'examples_seen': 217648, 'step': 4250, 'algorithm': 'segments_intersect'},
{'intersect': 0.8852297861882528, 'score': 0.8852297861882528, 'examples_seen': 220112, 'step': 4300, 'algorithm': 'segments_intersect'},
{'intersect': 0.9008885850991113, 'score': 0.9008885850991113, 'examples_seen': 222736, 'step': 4350, 'algorithm': 'segments_intersect'},
{'intersect': 0.8955980640700621, 'score': 0.8955980640700621, 'examples_seen': 225360, 'step': 4400, 'algorithm': 'segments_intersect'},
{'intersect': 0.9028835063437138, 'score': 0.9028835063437138, 'examples_seen': 227760, 'step': 4450, 'algorithm': 'segments_intersect'},
{'intersect': 0.8936795688388045, 'score': 0.8936795688388045, 'examples_seen': 230384, 'step': 4500, 'algorithm': 'segments_intersect'},
{'intersect': 0.8926525529265255, 'score': 0.8926525529265255, 'examples_seen': 233008, 'step': 4550, 'algorithm': 'segments_intersect'},
{'intersect': 0.9064039408866995, 'score': 0.9064039408866995, 'examples_seen': 235568, 'step': 4600, 'algorithm': 'segments_intersect'},
{'intersect': 0.8875032475967785, 'score': 0.8875032475967785, 'examples_seen': 238032, 'step': 4650, 'algorithm': 'segments_intersect'},
{'intersect': 0.9015097052480231, 'score': 0.9015097052480231, 'examples_seen': 240656, 'step': 4700, 'algorithm': 'segments_intersect'},
{'intersect': 0.9089548515839362, 'score': 0.9089548515839362, 'examples_seen': 243280, 'step': 4750, 'algorithm': 'segments_intersect'},
{'intersect': 0.8979000724112962, 'score': 0.8979000724112962, 'examples_seen': 245680, 'step': 4800, 'algorithm': 'segments_intersect'},
{'intersect': 0.8793893129770992, 'score': 0.8793893129770992, 'examples_seen': 248304, 'step': 4850, 'algorithm': 'segments_intersect'},
{'intersect': 0.8972267536704731, 'score': 0.8972267536704731, 'examples_seen': 250928, 'step': 4900, 'algorithm': 'segments_intersect'},
{'intersect': 0.9067899732294962, 'score': 0.9067899732294962, 'examples_seen': 253488, 'step': 4950, 'algorithm': 'segments_intersect'},
{'intersect': 0.8935974205435284, 'score': 0.8935974205435284, 'examples_seen': 255952, 'step': 5000, 'algorithm': 'segments_intersect'},
{'intersect': 0.9085012740328933, 'score': 0.9085012740328933, 'examples_seen': 258576, 'step': 5050, 'algorithm': 'segments_intersect'},
{'intersect': 0.8942046855733662, 'score': 0.8942046855733662, 'examples_seen': 261200, 'step': 5100, 'algorithm': 'segments_intersect'},
{'intersect': 0.9148396030463882, 'score': 0.9148396030463882, 'examples_seen': 263600, 'step': 5150, 'algorithm': 'segments_intersect'},
{'intersect': 0.8763736263736264, 'score': 0.8763736263736264, 'examples_seen': 266224, 'step': 5200, 'algorithm': 'segments_intersect'},
{'intersect': 0.9097455592894863, 'score': 0.9097455592894863, 'examples_seen': 268848, 'step': 5250, 'algorithm': 'segments_intersect'},
{'intersect': 0.9027465105808196, 'score': 0.9027465105808196, 'examples_seen': 271408, 'step': 5300, 'algorithm': 'segments_intersect'},
{'intersect': 0.8413637644406874, 'score': 0.8413637644406874, 'examples_seen': 273872, 'step': 5350, 'algorithm': 'segments_intersect'},
{'intersect': 0.9267345948568656, 'score': 0.9267345948568656, 'examples_seen': 276496, 'step': 5400, 'algorithm': 'segments_intersect'},
{'intersect': 0.901722882795438, 'score': 0.901722882795438, 'examples_seen': 279120, 'step': 5450, 'algorithm': 'segments_intersect'},
{'intersect': 0.9078515526382226, 'score': 0.9078515526382226, 'examples_seen': 281520, 'step': 5500, 'algorithm': 'segments_intersect'},
{'intersect': 0.9194756554307116, 'score': 0.9194756554307116, 'examples_seen': 284144, 'step': 5550, 'algorithm': 'segments_intersect'},
{'intersect': 0.9146576663452267, 'score': 0.9146576663452267, 'examples_seen': 286768, 'step': 5600, 'algorithm': 'segments_intersect'},
{'intersect': 0.9082546598886468, 'score': 0.9082546598886468, 'examples_seen': 289328, 'step': 5650, 'algorithm': 'segments_intersect'},
{'intersect': 0.9068973366719781, 'score': 0.9068973366719781, 'examples_seen': 291792, 'step': 5700, 'algorithm': 'segments_intersect'},
{'intersect': 0.9233349305222808, 'score': 0.9233349305222808, 'examples_seen': 294416, 'step': 5750, 'algorithm': 'segments_intersect'},
{'intersect': 0.9203968061940478, 'score': 0.9203968061940478, 'examples_seen': 297040, 'step': 5800, 'algorithm': 'segments_intersect'},
{'intersect': 0.8741240591746692, 'score': 0.8741240591746692, 'examples_seen': 299440, 'step': 5850, 'algorithm': 'segments_intersect'},
{'intersect': 0.9107959743824336, 'score': 0.9107959743824336, 'examples_seen': 302064, 'step': 5900, 'algorithm': 'segments_intersect'},
{'intersect': 0.9051204819277108, 'score': 0.9051204819277108, 'examples_seen': 304688, 'step': 5950, 'algorithm': 'segments_intersect'},
{'intersect': 0.8910154173312068, 'score': 0.8910154173312068, 'examples_seen': 307248, 'step': 6000, 'algorithm': 'segments_intersect'},
{'intersect': 0.9102434077079108, 'score': 0.9102434077079108, 'examples_seen': 309712, 'step': 6050, 'algorithm': 'segments_intersect'},
{'intersect': 0.9131767109295199, 'score': 0.9131767109295199, 'examples_seen': 312336, 'step': 6100, 'algorithm': 'segments_intersect'},
{'intersect': 0.9192187123221606, 'score': 0.9192187123221606, 'examples_seen': 314960, 'step': 6150, 'algorithm': 'segments_intersect'},
{'intersect': 0.896551724137931, 'score': 0.896551724137931, 'examples_seen': 317360, 'step': 6200, 'algorithm': 'segments_intersect'},
