{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 781576, 'step': 8300, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 786330, 'step': 8350, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 791063, 'step': 8400, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 795722, 'step': 8450, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 800244, 'step': 8500, 'algorithm': 'bfs'},
{'pi': 1.0, 'score': 1.0, 'examples_seen': 805019, 'step': 8550, 'algorithm': 'bfs'},
{'pi': 0.9958079268292683, 'score': 0.9958079268292683, 'examples_seen': 809716, 'step': 8600, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 814475, 'step': 8650, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 819186, 'step': 8700, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 823940, 'step': 8750, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 828565, 'step': 8800, 'algorithm': 'bfs'},
{'pi': 0.9958079268292683, 'score': 0.9958079268292683, 'examples_seen': 833251, 'step': 8850, 'algorithm': 'bfs'},
{'pi': 1.0, 'score': 1.0, 'examples_seen': 838015, 'step': 8900, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 842818, 'step': 8950, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 847555, 'step': 9000, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 852279, 'step': 9050, 'algorithm': 'bfs'},
{'pi': 0.9942835365853658, 'score': 0.9942835365853658, 'examples_seen': 857013, 'step': 9100, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 861579, 'step': 9150, 'algorithm': 'bfs'},
{'pi': 0.9977134146341463, 'score': 0.9977134146341463, 'examples_seen': 866349, 'step': 9200, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 871170, 'step': 9250, 'algorithm': 'bfs'},
{'pi': 0.9988567073170732, 'score': 0.9988567073170732, 'examples_seen': 875887, 'step': 9300, 'algorithm': 'bfs'},
{'pi': 0.9980945121951219, 'score': 0.9980945121951219, 'examples_seen': 880602, 'step': 9350, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 885358, 'step': 9400, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 889941, 'step': 9450, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 894616, 'step': 9500, 'algorithm': 'bfs'},
{'pi': 0.9939024390243902, 'score': 0.9939024390243902, 'examples_seen': 899426, 'step': 9550, 'algorithm': 'bfs'},
{'pi': 0.9969512195121951, 'score': 0.9969512195121951, 'examples_seen': 904141, 'step': 9600, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 908839, 'step': 9650, 'algorithm': 'bfs'},
{'pi': 0.9977134146341463, 'score': 0.9977134146341463, 'examples_seen': 913572, 'step': 9700, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 918249, 'step': 9750, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 922817, 'step': 9800, 'algorithm': 'bfs'},
{'pi': 0.9996189024390244, 'score': 0.9996189024390244, 'examples_seen': 927543, 'step': 9850, 'algorithm': 'bfs'},
{'pi': 0.9984756097560976, 'score': 0.9984756097560976, 'examples_seen': 932321, 'step': 9900, 'algorithm': 'bfs'},
{'pi': 0.9992378048780488, 'score': 0.9992378048780488, 'examples_seen': 937013, 'step': 9950, 'algorithm': 'bfs'},
