{'topo_head': 0.984375, 'score': 0.6286204268292683, 'examples_seen': 42463, 'step': 3700, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6438643292682926, 'examples_seen': 42977, 'step': 3750, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6573932926829268, 'examples_seen': 43603, 'step': 3800, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6213795731707317, 'examples_seen': 44172, 'step': 3850, 'algorithm': 'topological_sort'},
{'topo_head': 0.90625, 'score': 0.5657393292682926, 'examples_seen': 44733, 'step': 3900, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6377667682926829, 'examples_seen': 45335, 'step': 3950, 'algorithm': 'topological_sort'},
{'topo_head': 0.90625, 'score': 0.5632621951219512, 'examples_seen': 45865, 'step': 4000, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5992759146341463, 'examples_seen': 46484, 'step': 4050, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6310975609756098, 'examples_seen': 46992, 'step': 4100, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5971798780487805, 'examples_seen': 47609, 'step': 4150, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5554496951219512, 'examples_seen': 48181, 'step': 4200, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6284298780487805, 'examples_seen': 48745, 'step': 4250, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5792682926829268, 'examples_seen': 49344, 'step': 4300, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5825076219512195, 'examples_seen': 49879, 'step': 4350, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6467225609756098, 'examples_seen': 50490, 'step': 4400, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6722560975609756, 'examples_seen': 51003, 'step': 4450, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6274771341463414, 'examples_seen': 51629, 'step': 4500, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6371951219512195, 'examples_seen': 52205, 'step': 4550, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5926067073170732, 'examples_seen': 52754, 'step': 4600, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6796875, 'examples_seen': 53361, 'step': 4650, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6291920731707317, 'examples_seen': 53890, 'step': 4700, 'algorithm': 'topological_sort'},
{'topo_head': 0.90625, 'score': 0.5573551829268293, 'examples_seen': 54505, 'step': 4750, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6116615853658537, 'examples_seen': 55022, 'step': 4800, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.609375, 'examples_seen': 55653, 'step': 4850, 'algorithm': 'topological_sort'},
{'topo_head': 0.78125, 'score': 0.4759908536585366, 'examples_seen': 56221, 'step': 4900, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.610327743902439, 'examples_seen': 56781, 'step': 4950, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6373856707317074, 'examples_seen': 57382, 'step': 5000, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6442454268292683, 'examples_seen': 57925, 'step': 5050, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6204268292682926, 'examples_seen': 58531, 'step': 5100, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6484375, 'examples_seen': 59043, 'step': 5150, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6015625, 'examples_seen': 59667, 'step': 5200, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6478658536585366, 'examples_seen': 60249, 'step': 5250, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5777439024390244, 'examples_seen': 60799, 'step': 5300, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.6158536585365854, 'examples_seen': 61409, 'step': 5350, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6539634146341463, 'examples_seen': 61939, 'step': 5400, 'algorithm': 'topological_sort'},
