{'pi': 0.9535060975609756, 'score': 0.9535060975609756, 'examples_seen': 160468, 'step': 4800, 'algorithm': 'dijkstra'},
{'pi': 0.9073932926829268, 'score': 0.9073932926829268, 'examples_seen': 162288, 'step': 4850, 'algorithm': 'dijkstra'},
{'pi': 0.9596036585365854, 'score': 0.9596036585365854, 'examples_seen': 163949, 'step': 4900, 'algorithm': 'dijkstra'},
{'pi': 0.9512195121951219, 'score': 0.9512195121951219, 'examples_seen': 165581, 'step': 4950, 'algorithm': 'dijkstra'},
{'pi': 0.9512195121951219, 'score': 0.9512195121951219, 'examples_seen': 167342, 'step': 5000, 'algorithm': 'dijkstra'},
{'pi': 0.9725609756097561, 'score': 0.9725609756097561, 'examples_seen': 168901, 'step': 5050, 'algorithm': 'dijkstra'},
{'pi': 0.9561737804878049, 'score': 0.9561737804878049, 'examples_seen': 170694, 'step': 5100, 'algorithm': 'dijkstra'},
{'pi': 0.9721798780487805, 'score': 0.9721798780487805, 'examples_seen': 172193, 'step': 5150, 'algorithm': 'dijkstra'},
{'pi': 0.9721798780487805, 'score': 0.9721798780487805, 'examples_seen': 174024, 'step': 5200, 'algorithm': 'dijkstra'},
{'pi': 0.9161585365853658, 'score': 0.9161585365853658, 'examples_seen': 175693, 'step': 5250, 'algorithm': 'dijkstra'},
{'pi': 0.9645579268292683, 'score': 0.9645579268292683, 'examples_seen': 177339, 'step': 5300, 'algorithm': 'dijkstra'},
{'pi': 0.9607469512195121, 'score': 0.9607469512195121, 'examples_seen': 179102, 'step': 5350, 'algorithm': 'dijkstra'},
{'pi': 0.9546493902439024, 'score': 0.9546493902439024, 'examples_seen': 180668, 'step': 5400, 'algorithm': 'dijkstra'},
{'pi': 0.921875, 'score': 0.921875, 'examples_seen': 182483, 'step': 5450, 'algorithm': 'dijkstra'},
{'pi': 0.9611280487804879, 'score': 0.9611280487804879, 'examples_seen': 183976, 'step': 5500, 'algorithm': 'dijkstra'},
{'pi': 0.9702743902439024, 'score': 0.9702743902439024, 'examples_seen': 185811, 'step': 5550, 'algorithm': 'dijkstra'},
{'pi': 0.9485518292682927, 'score': 0.9485518292682927, 'examples_seen': 187481, 'step': 5600, 'algorithm': 'dijkstra'},
{'pi': 0.9519817073170732, 'score': 0.9519817073170732, 'examples_seen': 189098, 'step': 5650, 'algorithm': 'dijkstra'},
{'pi': 0.9798018292682927, 'score': 0.9798018292682927, 'examples_seen': 190860, 'step': 5700, 'algorithm': 'dijkstra'},
{'pi': 0.9439786585365854, 'score': 0.9439786585365854, 'examples_seen': 192406, 'step': 5750, 'algorithm': 'dijkstra'},
{'pi': 0.9512195121951219, 'score': 0.9512195121951219, 'examples_seen': 194229, 'step': 5800, 'algorithm': 'dijkstra'},
{'pi': 0.9275914634146342, 'score': 0.9275914634146342, 'examples_seen': 195720, 'step': 5850, 'algorithm': 'dijkstra'},
{'pi': 0.9500762195121951, 'score': 0.9500762195121951, 'examples_seen': 197557, 'step': 5900, 'algorithm': 'dijkstra'},
{'pi': 0.9470274390243902, 'score': 0.9470274390243902, 'examples_seen': 199242, 'step': 5950, 'algorithm': 'dijkstra'},
{'pi': 0.9554115853658537, 'score': 0.9554115853658537, 'examples_seen': 200877, 'step': 6000, 'algorithm': 'dijkstra'},
{'pi': 0.973704268292683, 'score': 0.973704268292683, 'examples_seen': 202652, 'step': 6050, 'algorithm': 'dijkstra'},
{'pi': 0.973704268292683, 'score': 0.973704268292683, 'examples_seen': 204177, 'step': 6100, 'algorithm': 'dijkstra'},
{'pi': 0.9653201219512195, 'score': 0.9653201219512195, 'examples_seen': 205964, 'step': 6150, 'algorithm': 'dijkstra'},
{'pi': 0.973704268292683, 'score': 0.973704268292683, 'examples_seen': 207442, 'step': 6200, 'algorithm': 'dijkstra'},
{'pi': 0.961890243902439, 'score': 0.961890243902439, 'examples_seen': 209259, 'step': 6250, 'algorithm': 'dijkstra'},
{'pi': 0.9489329268292683, 'score': 0.9489329268292683, 'examples_seen': 210914, 'step': 6300, 'algorithm': 'dijkstra'},
{'pi': 0.9435975609756098, 'score': 0.9435975609756098, 'examples_seen': 212530, 'step': 6350, 'algorithm': 'dijkstra'},
{'pi': 0.9432164634146342, 'score': 0.9432164634146342, 'examples_seen': 214303, 'step': 6400, 'algorithm': 'dijkstra'},
{'pi': 0.9679878048780488, 'score': 0.9679878048780488, 'examples_seen': 215850, 'step': 6450, 'algorithm': 'dijkstra'},
{'pi': 0.9565548780487805, 'score': 0.9565548780487805, 'examples_seen': 217655, 'step': 6500, 'algorithm': 'dijkstra'},
{'pi': 0.9538871951219512, 'score': 0.9538871951219512, 'examples_seen': 219157, 'step': 6550, 'algorithm': 'dijkstra'},
{'pi': 0.9672256097560976, 'score': 0.9672256097560976, 'examples_seen': 220977, 'step': 6600, 'algorithm': 'dijkstra'},
{'pi': 0.9714176829268293, 'score': 0.9714176829268293, 'examples_seen': 222666, 'step': 6650, 'algorithm': 'dijkstra'},
