{'score': 0.9322617680826636, 'examples_seen': 310688, 'step': 6450, 'algorithm': 'activity_selector'},
{'score': 0.9306029579067122, 'examples_seen': 313248, 'step': 6500, 'algorithm': 'activity_selector'},
{'score': 0.9732739420935412, 'examples_seen': 315360, 'step': 6550, 'algorithm': 'activity_selector'},
{'score': 0.9569160997732427, 'examples_seen': 317920, 'step': 6600, 'algorithm': 'activity_selector'},
{'score': 0.9555302166476625, 'examples_seen': 320416, 'step': 6650, 'algorithm': 'activity_selector'},
{'score': 0.9667049368541907, 'examples_seen': 322784, 'step': 6700, 'algorithm': 'activity_selector'},
{'score': 0.9356321839080459, 'examples_seen': 325312, 'step': 6750, 'algorithm': 'activity_selector'},
{'score': 0.9860465116279069, 'examples_seen': 327456, 'step': 6800, 'algorithm': 'activity_selector'},
{'score': 0.9733487833140209, 'examples_seen': 330080, 'step': 6850, 'algorithm': 'activity_selector'},
{'score': 0.9720044792833147, 'examples_seen': 332256, 'step': 6900, 'algorithm': 'activity_selector'},
{'score': 0.9776286353467561, 'examples_seen': 334880, 'step': 6950, 'algorithm': 'activity_selector'},
{'score': 0.9451575262543758, 'examples_seen': 337248, 'step': 7000, 'algorithm': 'activity_selector'},
{'score': 0.9742990654205608, 'examples_seen': 339616, 'step': 7050, 'algorithm': 'activity_selector'},
{'score': 0.9638273045507585, 'examples_seen': 342080, 'step': 7100, 'algorithm': 'activity_selector'},
{'score': 0.9467592592592593, 'examples_seen': 344352, 'step': 7150, 'algorithm': 'activity_selector'},
{'score': 0.9830890642615558, 'examples_seen': 346944, 'step': 7200, 'algorithm': 'activity_selector'},
{'score': 0.9657615112160566, 'examples_seen': 349120, 'step': 7250, 'algorithm': 'activity_selector'},
{'score': 0.9841628959276019, 'examples_seen': 351648, 'step': 7300, 'algorithm': 'activity_selector'},
{'score': 0.9647577092511013, 'examples_seen': 354080, 'step': 7350, 'algorithm': 'activity_selector'},
{'score': 0.9516129032258065, 'examples_seen': 356416, 'step': 7400, 'algorithm': 'activity_selector'},
{'score': 0.9452380952380952, 'examples_seen': 359008, 'step': 7450, 'algorithm': 'activity_selector'},
{'score': 0.9747126436781609, 'examples_seen': 361248, 'step': 7500, 'algorithm': 'activity_selector'},
{'score': 0.9641255605381166, 'examples_seen': 363840, 'step': 7550, 'algorithm': 'activity_selector'},
{'score': 0.9602803738317757, 'examples_seen': 365952, 'step': 7600, 'algorithm': 'activity_selector'},
