{'selected': 0.9077259931185487, 'score': 0.9077259931185487, 'examples_seen': 166128, 'step': 6900, 'algorithm': 'task_scheduling'},
{'selected': 0.9455943228858663, 'score': 0.9455943228858663, 'examples_seen': 167440, 'step': 6950, 'algorithm': 'task_scheduling'},
{'selected': 0.9224855861627163, 'score': 0.9224855861627163, 'examples_seen': 168624, 'step': 7000, 'algorithm': 'task_scheduling'},
{'selected': 0.6390205371248024, 'score': 0.6390205371248024, 'examples_seen': 169808, 'step': 7050, 'algorithm': 'task_scheduling'},
{'selected': 0.9267030755964358, 'score': 0.9267030755964358, 'examples_seen': 171040, 'step': 7100, 'algorithm': 'task_scheduling'},
{'selected': 0.9502762430939227, 'score': 0.9502762430939227, 'examples_seen': 172176, 'step': 7150, 'algorithm': 'task_scheduling'},
{'selected': 0.940332759609868, 'score': 0.940332759609868, 'examples_seen': 173472, 'step': 7200, 'algorithm': 'task_scheduling'},
{'selected': 0.8951255539143279, 'score': 0.8951255539143279, 'examples_seen': 174560, 'step': 7250, 'algorithm': 'task_scheduling'},
{'selected': 0.9189994044073854, 'score': 0.9189994044073854, 'examples_seen': 175824, 'step': 7300, 'algorithm': 'task_scheduling'},
{'selected': 0.8913342503438789, 'score': 0.8913342503438789, 'examples_seen': 177040, 'step': 7350, 'algorithm': 'task_scheduling'},
{'selected': 0.8656716417910448, 'score': 0.8656716417910448, 'examples_seen': 178208, 'step': 7400, 'algorithm': 'task_scheduling'},
{'selected': 0.9047904191616766, 'score': 0.9047904191616766, 'examples_seen': 179504, 'step': 7450, 'algorithm': 'task_scheduling'},
{'selected': 0.9362701908957415, 'score': 0.9362701908957415, 'examples_seen': 180624, 'step': 7500, 'algorithm': 'task_scheduling'},
{'selected': 0.925282098200671, 'score': 0.925282098200671, 'examples_seen': 181920, 'step': 7550, 'algorithm': 'task_scheduling'},
{'selected': 0.8823367318820612, 'score': 0.8823367318820612, 'examples_seen': 182976, 'step': 7600, 'algorithm': 'task_scheduling'},
{'selected': 0.9079022171688458, 'score': 0.9079022171688458, 'examples_seen': 184256, 'step': 7650, 'algorithm': 'task_scheduling'},
{'selected': 0.9110042092603727, 'score': 0.9110042092603727, 'examples_seen': 185456, 'step': 7700, 'algorithm': 'task_scheduling'},
{'selected': 0.9320882852292021, 'score': 0.9320882852292021, 'examples_seen': 186704, 'step': 7750, 'algorithm': 'task_scheduling'},
{'selected': 0.907651715039578, 'score': 0.907651715039578, 'examples_seen': 187920, 'step': 7800, 'algorithm': 'task_scheduling'},
{'selected': 0.8991140325807374, 'score': 0.8991140325807374, 'examples_seen': 189008, 'step': 7850, 'algorithm': 'task_scheduling'},
{'selected': 0.8952950775088386, 'score': 0.8952950775088386, 'examples_seen': 190304, 'step': 7900, 'algorithm': 'task_scheduling'},
{'selected': 0.9100960139656679, 'score': 0.9100960139656679, 'examples_seen': 191376, 'step': 7950, 'algorithm': 'task_scheduling'},
{'selected': 0.925544794188862, 'score': 0.925544794188862, 'examples_seen': 192704, 'step': 8000, 'algorithm': 'task_scheduling'},
{'selected': 0.9048442906574393, 'score': 0.9048442906574393, 'examples_seen': 193936, 'step': 8050, 'algorithm': 'task_scheduling'},
{'selected': 0.8870460394623964, 'score': 0.8870460394623964, 'examples_seen': 195056, 'step': 8100, 'algorithm': 'task_scheduling'},
{'selected': 0.9085820895522388, 'score': 0.9085820895522388, 'examples_seen': 196336, 'step': 8150, 'algorithm': 'task_scheduling'},
{'selected': 0.90946992257296, 'score': 0.90946992257296, 'examples_seen': 197440, 'step': 8200, 'algorithm': 'task_scheduling'},
{'selected': 0.9230325742288844, 'score': 0.9230325742288844, 'examples_seen': 198768, 'step': 8250, 'algorithm': 'task_scheduling'},
{'selected': 0.893476465730801, 'score': 0.893476465730801, 'examples_seen': 199856, 'step': 8300, 'algorithm': 'task_scheduling'},
{'selected': 0.8837644125895918, 'score': 0.8837644125895918, 'examples_seen': 201120, 'step': 8350, 'algorithm': 'task_scheduling'},
{'selected': 0.9278067526763656, 'score': 0.9278067526763656, 'examples_seen': 202304, 'step': 8400, 'algorithm': 'task_scheduling'},
{'selected': 0.9376661742983753, 'score': 0.9376661742983753, 'examples_seen': 203504, 'step': 8450, 'algorithm': 'task_scheduling'},
{'selected': 0.9253910950661852, 'score': 0.9253910950661852, 'examples_seen': 204784, 'step': 8500, 'algorithm': 'task_scheduling'},
{'selected': 0.881818181818182, 'score': 0.881818181818182, 'examples_seen': 205904, 'step': 8550, 'algorithm': 'task_scheduling'},
{'selected': 0.9220489977728286, 'score': 0.9220489977728286, 'examples_seen': 207184, 'step': 8600, 'algorithm': 'task_scheduling'},
{'selected': 0.9369831765041345, 'score': 0.9369831765041345, 'examples_seen': 208240, 'step': 8650, 'algorithm': 'task_scheduling'},
{'selected': 0.9511323003575685, 'score': 0.9511323003575685, 'examples_seen': 209520, 'step': 8700, 'algorithm': 'task_scheduling'},
{'selected': 0.8935143288084465, 'score': 0.8935143288084465, 'examples_seen': 210752, 'step': 8750, 'algorithm': 'task_scheduling'},
{'selected': 0.900794818957904, 'score': 0.900794818957904, 'examples_seen': 211968, 'step': 8800, 'algorithm': 'task_scheduling'},
{'selected': 0.9271137026239067, 'score': 0.9271137026239067, 'examples_seen': 213200, 'step': 8850, 'algorithm': 'task_scheduling'},
{'selected': 0.9210363972856261, 'score': 0.9210363972856261, 'examples_seen': 214304, 'step': 8900, 'algorithm': 'task_scheduling'},
{'selected': 0.9569924812030075, 'score': 0.9569924812030075, 'examples_seen': 215584, 'step': 8950, 'algorithm': 'task_scheduling'},
{'selected': 0.912590722625434, 'score': 0.912590722625434, 'examples_seen': 216688, 'step': 9000, 'algorithm': 'task_scheduling'},
{'selected': 0.9325259515570934, 'score': 0.9325259515570934, 'examples_seen': 218000, 'step': 9050, 'algorithm': 'task_scheduling'},
{'selected': 0.9176470588235295, 'score': 0.9176470588235295, 'examples_seen': 219216, 'step': 9100, 'algorithm': 'task_scheduling'},
{'selected': 0.9220103986135181, 'score': 0.9220103986135181, 'examples_seen': 220368, 'step': 9150, 'algorithm': 'task_scheduling'},
{'selected': 0.9429294349170649, 'score': 0.9429294349170649, 'examples_seen': 221616, 'step': 9200, 'algorithm': 'task_scheduling'},
{'selected': 0.9564193168433451, 'score': 0.9564193168433451, 'examples_seen': 222720, 'step': 9250, 'algorithm': 'task_scheduling'},
{'selected': 0.9342498505678422, 'score': 0.9342498505678422, 'examples_seen': 224064, 'step': 9300, 'algorithm': 'task_scheduling'},
{'selected': 0.9233370913190531, 'score': 0.9233370913190531, 'examples_seen': 225104, 'step': 9350, 'algorithm': 'task_scheduling'},
{'selected': 0.9292479108635098, 'score': 0.9292479108635098, 'examples_seen': 226416, 'step': 9400, 'algorithm': 'task_scheduling'},
{'selected': 0.9136390708755211, 'score': 0.9136390708755211, 'examples_seen': 227584, 'step': 9450, 'algorithm': 'task_scheduling'},
{'selected': 0.8925987757373399, 'score': 0.8925987757373399, 'examples_seen': 228768, 'step': 9500, 'algorithm': 'task_scheduling'},
{'selected': 0.9562890276538804, 'score': 0.9562890276538804, 'examples_seen': 230064, 'step': 9550, 'algorithm': 'task_scheduling'},
{'selected': 0.9529309846953509, 'score': 0.9529309846953509, 'examples_seen': 231184, 'step': 9600, 'algorithm': 'task_scheduling'},
{'selected': 0.9545189504373177, 'score': 0.9545189504373177, 'examples_seen': 232464, 'step': 9650, 'algorithm': 'task_scheduling'},
{'selected': 0.9341586944288126, 'score': 0.9341586944288126, 'examples_seen': 233536, 'step': 9700, 'algorithm': 'task_scheduling'},
{'selected': 0.9117043121149898, 'score': 0.9117043121149898, 'examples_seen': 234800, 'step': 9750, 'algorithm': 'task_scheduling'},
{'selected': 0.9517241379310344, 'score': 0.9517241379310344, 'examples_seen': 236048, 'step': 9800, 'algorithm': 'task_scheduling'},
{'selected': 0.9525213801238572, 'score': 0.9525213801238572, 'examples_seen': 237248, 'step': 9850, 'algorithm': 'task_scheduling'},
{'selected': 0.9066589124745567, 'score': 0.9066589124745567, 'examples_seen': 238496, 'step': 9900, 'algorithm': 'task_scheduling'},
{'selected': 0.9298521547656495, 'score': 0.9298521547656495, 'examples_seen': 239552, 'step': 9950, 'algorithm': 'task_scheduling'},
