{'is_bridge': 0.7018909899888764, 'score': 0.7018909899888764, 'examples_seen': 67163, 'step': 3850, 'algorithm': 'bridges'},
{'is_bridge': 0.7472868217054265, 'score': 0.7472868217054265, 'examples_seen': 67988, 'step': 3900, 'algorithm': 'bridges'},
{'is_bridge': 0.836451418225709, 'score': 0.836451418225709, 'examples_seen': 68939, 'step': 3950, 'algorithm': 'bridges'},
{'is_bridge': 0.7107843137254901, 'score': 0.7107843137254901, 'examples_seen': 69705, 'step': 4000, 'algorithm': 'bridges'},
{'is_bridge': 0.7360515021459226, 'score': 0.7360515021459226, 'examples_seen': 70644, 'step': 4050, 'algorithm': 'bridges'},
{'is_bridge': 0.6956920256645279, 'score': 0.6956920256645279, 'examples_seen': 71405, 'step': 4100, 'algorithm': 'bridges'},
{'is_bridge': 0.7693175408911449, 'score': 0.7693175408911449, 'examples_seen': 72360, 'step': 4150, 'algorithm': 'bridges'},
{'is_bridge': 0.6236702127659574, 'score': 0.6236702127659574, 'examples_seen': 73261, 'step': 4200, 'algorithm': 'bridges'},
{'is_bridge': 0.8007290400972052, 'score': 0.8007290400972052, 'examples_seen': 74077, 'step': 4250, 'algorithm': 'bridges'},
{'is_bridge': 0.7009685230024212, 'score': 0.7009685230024212, 'examples_seen': 75030, 'step': 4300, 'algorithm': 'bridges'},
{'is_bridge': 0.8194842406876791, 'score': 0.8194842406876791, 'examples_seen': 75807, 'step': 4350, 'algorithm': 'bridges'},
{'is_bridge': 0.7376681614349775, 'score': 0.7376681614349775, 'examples_seen': 76749, 'step': 4400, 'algorithm': 'bridges'},
{'is_bridge': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 77522, 'step': 4450, 'algorithm': 'bridges'},
{'is_bridge': 0.7810917276308386, 'score': 0.7810917276308386, 'examples_seen': 78469, 'step': 4500, 'algorithm': 'bridges'},
{'is_bridge': 0.7566867989646245, 'score': 0.7566867989646245, 'examples_seen': 79362, 'step': 4550, 'algorithm': 'bridges'},
{'is_bridge': 0.8268015170670038, 'score': 0.8268015170670038, 'examples_seen': 80201, 'step': 4600, 'algorithm': 'bridges'},
{'is_bridge': 0.7060590886329494, 'score': 0.7060590886329494, 'examples_seen': 81135, 'step': 4650, 'algorithm': 'bridges'},
{'is_bridge': 0.8349514563106796, 'score': 0.8349514563106796, 'examples_seen': 81916, 'step': 4700, 'algorithm': 'bridges'},
{'is_bridge': 0.7473182359952324, 'score': 0.7473182359952324, 'examples_seen': 82851, 'step': 4750, 'algorithm': 'bridges'},
{'is_bridge': 0.591783671346854, 'score': 0.591783671346854, 'examples_seen': 83616, 'step': 4800, 'algorithm': 'bridges'},
{'is_bridge': 0.7597122302158273, 'score': 0.7597122302158273, 'examples_seen': 84573, 'step': 4850, 'algorithm': 'bridges'},
{'is_bridge': 0.7641509433962265, 'score': 0.7641509433962265, 'examples_seen': 85471, 'step': 4900, 'algorithm': 'bridges'},
{'is_bridge': 0.7912423625254583, 'score': 0.7912423625254583, 'examples_seen': 86289, 'step': 4950, 'algorithm': 'bridges'},
{'is_bridge': 0.7623106060606062, 'score': 0.7623106060606062, 'examples_seen': 87224, 'step': 5000, 'algorithm': 'bridges'},
{'is_bridge': 0.7049608355091384, 'score': 0.7049608355091384, 'examples_seen': 88012, 'step': 5050, 'algorithm': 'bridges'},
{'is_bridge': 0.7760467380720546, 'score': 0.7760467380720546, 'examples_seen': 88957, 'step': 5100, 'algorithm': 'bridges'},
{'is_bridge': 0.7038581856100105, 'score': 0.7038581856100105, 'examples_seen': 89711, 'step': 5150, 'algorithm': 'bridges'},
{'is_bridge': 0.7943977591036415, 'score': 0.7943977591036415, 'examples_seen': 90672, 'step': 5200, 'algorithm': 'bridges'},
{'is_bridge': 0.8286544046466603, 'score': 0.8286544046466603, 'examples_seen': 91566, 'step': 5250, 'algorithm': 'bridges'},
{'is_bridge': 0.8413234301147874, 'score': 0.8413234301147874, 'examples_seen': 92395, 'step': 5300, 'algorithm': 'bridges'},
{'is_bridge': 0.8178041543026706, 'score': 0.8178041543026706, 'examples_seen': 93326, 'step': 5350, 'algorithm': 'bridges'},
{'is_bridge': 0.7909454061251665, 'score': 0.7909454061251665, 'examples_seen': 94121, 'step': 5400, 'algorithm': 'bridges'},
{'is_bridge': 0.7494908350305499, 'score': 0.7494908350305499, 'examples_seen': 95077, 'step': 5450, 'algorithm': 'bridges'},
{'is_bridge': 0.7898609975470156, 'score': 0.7898609975470156, 'examples_seen': 95843, 'step': 5500, 'algorithm': 'bridges'},
{'is_bridge': 0.8014590932777489, 'score': 0.8014590932777489, 'examples_seen': 96799, 'step': 5550, 'algorithm': 'bridges'},
{'is_bridge': 0.8093240093240094, 'score': 0.8093240093240094, 'examples_seen': 97692, 'step': 5600, 'algorithm': 'bridges'},
{'is_bridge': 0.8157758173326414, 'score': 0.8157758173326414, 'examples_seen': 98504, 'step': 5650, 'algorithm': 'bridges'},
{'is_bridge': 0.720447284345048, 'score': 0.720447284345048, 'examples_seen': 99451, 'step': 5700, 'algorithm': 'bridges'},
{'is_bridge': 0.8201634877384196, 'score': 0.8201634877384196, 'examples_seen': 100239, 'step': 5750, 'algorithm': 'bridges'},
{'is_bridge': 0.7363796133567663, 'score': 0.7363796133567663, 'examples_seen': 101181, 'step': 5800, 'algorithm': 'bridges'},
{'is_bridge': 0.8612137203166228, 'score': 0.8612137203166228, 'examples_seen': 101949, 'step': 5850, 'algorithm': 'bridges'},
