{'in_mst': 0.7744788376500314, 'score': 0.7744788376500314, 'examples_seen': 504380, 'step': 6100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8137450199203188, 'score': 0.8137450199203188, 'examples_seen': 508506, 'step': 6150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8034102306920762, 'score': 0.8034102306920762, 'examples_seen': 512546, 'step': 6200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7911275415896488, 'score': 0.7911275415896488, 'examples_seen': 516773, 'step': 6250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8072866730584851, 'score': 0.8072866730584851, 'examples_seen': 521103, 'step': 6300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7933595456531236, 'score': 0.7933595456531236, 'examples_seen': 525291, 'step': 6350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7541169789892107, 'score': 0.7541169789892107, 'examples_seen': 529346, 'step': 6400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7939444911690495, 'score': 0.7939444911690495, 'examples_seen': 533444, 'step': 6450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7960731816153502, 'score': 0.7960731816153502, 'examples_seen': 537444, 'step': 6500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7952267303102626, 'score': 0.7952267303102626, 'examples_seen': 541500, 'step': 6550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8009615384615384, 'score': 0.8009615384615384, 'examples_seen': 545735, 'step': 6600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6709928617780663, 'score': 0.6709928617780663, 'examples_seen': 549996, 'step': 6650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8392664509169364, 'score': 0.8392664509169364, 'examples_seen': 554159, 'step': 6700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.817641228939544, 'score': 0.817641228939544, 'examples_seen': 558263, 'step': 6750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7808880308880309, 'score': 0.7808880308880309, 'examples_seen': 562347, 'step': 6800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7851323828920571, 'score': 0.7851323828920571, 'examples_seen': 566427, 'step': 6850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8111332007952287, 'score': 0.8111332007952287, 'examples_seen': 570480, 'step': 6900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8380774615025665, 'score': 0.8380774615025665, 'examples_seen': 574739, 'step': 6950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7963263101026471, 'score': 0.7963263101026471, 'examples_seen': 578958, 'step': 7000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8126232741617357, 'score': 0.8126232741617357, 'examples_seen': 583081, 'step': 7050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7910447761194029, 'score': 0.7910447761194029, 'examples_seen': 587241, 'step': 7100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8583992963940192, 'score': 0.8583992963940192, 'examples_seen': 591256, 'step': 7150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8456201214223764, 'score': 0.8456201214223764, 'examples_seen': 595196, 'step': 7200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8197781885397412, 'score': 0.8197781885397412, 'examples_seen': 599231, 'step': 7250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8112359550561797, 'score': 0.8112359550561797, 'examples_seen': 603495, 'step': 7300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7944977073780743, 'score': 0.7944977073780743, 'examples_seen': 607719, 'step': 7350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8298086606243706, 'score': 0.8298086606243706, 'examples_seen': 611854, 'step': 7400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8267303102625299, 'score': 0.8267303102625299, 'examples_seen': 615942, 'step': 7450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8105381165919283, 'score': 0.8105381165919283, 'examples_seen': 620008, 'step': 7500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.798961038961039, 'score': 0.798961038961039, 'examples_seen': 623992, 'step': 7550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.821411192214112, 'score': 0.821411192214112, 'examples_seen': 628035, 'step': 7600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.790990990990991, 'score': 0.790990990990991, 'examples_seen': 632291, 'step': 7650, 'algorithm': 'mst_kruskal'}
