I0715 13:58:49.224334 137161025132032 run.py:723] (val) algo bridges step 2400: {'is_bridge': 0.7799295774647886, 'score': 0.7799295774647886, 'examples_seen': 38065, 'step': 2400, 'algorithm': 'bridges'}
I0715 13:58:50.839432 137161025132032 run.py:723] (val) algo bridges step 2450: {'is_bridge': 0.7619848612279226, 'score': 0.7619848612279226, 'examples_seen': 38870, 'step': 2450, 'algorithm': 'bridges'}
I0715 13:58:52.403327 137161025132032 run.py:723] (val) algo bridges step 2500: {'is_bridge': 0.8379204892966362, 'score': 0.8379204892966362, 'examples_seen': 39671, 'step': 2500, 'algorithm': 'bridges'}
I0715 13:58:53.973956 137161025132032 run.py:723] (val) algo bridges step 2550: {'is_bridge': 0.7760758570386579, 'score': 0.7760758570386579, 'examples_seen': 40461, 'step': 2550, 'algorithm': 'bridges'}
I0715 13:58:55.550493 137161025132032 run.py:723] (val) algo bridges step 2600: {'is_bridge': 0.7752380952380952, 'score': 0.7752380952380952, 'examples_seen': 41238, 'step': 2600, 'algorithm': 'bridges'}
I0715 13:58:57.215732 137161025132032 run.py:723] (val) algo bridges step 2650: {'is_bridge': 0.7893738140417457, 'score': 0.7893738140417457, 'examples_seen': 42028, 'step': 2650, 'algorithm': 'bridges'}
I0715 13:58:58.863080 137161025132032 run.py:723] (val) algo bridges step 2700: {'is_bridge': 0.7962003454231434, 'score': 0.7962003454231434, 'examples_seen': 42801, 'step': 2700, 'algorithm': 'bridges'}
I0715 13:59:00.491080 137161025132032 run.py:723] (val) algo bridges step 2750: {'is_bridge': 0.7070110701107012, 'score': 0.7070110701107012, 'examples_seen': 43618, 'step': 2750, 'algorithm': 'bridges'}
I0715 13:59:02.016065 137161025132032 run.py:723] (val) algo bridges step 2800: {'is_bridge': 0.8206751054852321, 'score': 0.8206751054852321, 'examples_seen': 44419, 'step': 2800, 'algorithm': 'bridges'}
I0715 13:59:03.684153 137161025132032 run.py:723] (val) algo bridges step 2850: {'is_bridge': 0.804953560371517, 'score': 0.804953560371517, 'examples_seen': 45215, 'step': 2850, 'algorithm': 'bridges'}
I0715 13:59:05.207129 137161025132032 run.py:723] (val) algo bridges step 2900: {'is_bridge': 0.810248198558847, 'score': 0.810248198558847, 'examples_seen': 46006, 'step': 2900, 'algorithm': 'bridges'}
I0715 13:59:06.848768 137161025132032 run.py:723] (val) algo bridges step 2950: {'is_bridge': 0.7982532751091702, 'score': 0.7982532751091702, 'examples_seen': 46798, 'step': 2950, 'algorithm': 'bridges'}
I0715 13:59:08.445962 137161025132032 run.py:723] (val) algo bridges step 3000: {'is_bridge': 0.872037914691943, 'score': 0.872037914691943, 'examples_seen': 47573, 'step': 3000, 'algorithm': 'bridges'}
I0715 13:59:10.042600 137161025132032 run.py:723] (val) algo bridges step 3050: {'is_bridge': 0.8006617038875105, 'score': 0.8006617038875105, 'examples_seen': 48348, 'step': 3050, 'algorithm': 'bridges'}
I0715 13:59:11.590002 137161025132032 run.py:723] (val) algo bridges step 3100: {'is_bridge': 0.8331907613344739, 'score': 0.8331907613344739, 'examples_seen': 49166, 'step': 3100, 'algorithm': 'bridges'}
I0715 13:59:13.180002 137161025132032 run.py:723] (val) algo bridges step 3150: {'is_bridge': 0.6858924395947, 'score': 0.6858924395947, 'examples_seen': 49966, 'step': 3150, 'algorithm': 'bridges'}
I0715 13:59:14.777422 137161025132032 run.py:723] (val) algo bridges step 3200: {'is_bridge': 0.835920177383592, 'score': 0.835920177383592, 'examples_seen': 50766, 'step': 3200, 'algorithm': 'bridges'}
I0715 13:59:16.367824 137161025132032 run.py:723] (val) algo bridges step 3250: {'is_bridge': 0.8120171673819742, 'score': 0.8120171673819742, 'examples_seen': 51550, 'step': 3250, 'algorithm': 'bridges'}
I0715 13:59:17.960807 137161025132032 run.py:723] (val) algo bridges step 3300: {'is_bridge': 0.7751937984496124, 'score': 0.7751937984496124, 'examples_seen': 52341, 'step': 3300, 'algorithm': 'bridges'}
I0715 13:59:19.600946 137161025132032 run.py:723] (val) algo bridges step 3350: {'is_bridge': 0.7735191637630662, 'score': 0.7735191637630662, 'examples_seen': 53125, 'step': 3350, 'algorithm': 'bridges'}
I0715 13:59:21.205023 137161025132032 run.py:723] (val) algo bridges step 3400: {'is_bridge': 0.8397435897435898, 'score': 0.8397435897435898, 'examples_seen': 53899, 'step': 3400, 'algorithm': 'bridges'}
I0715 13:59:22.860537 137161025132032 run.py:723] (val) algo bridges step 3450: {'is_bridge': 0.815811606391926, 'score': 0.815811606391926, 'examples_seen': 54732, 'step': 3450, 'algorithm': 'bridges'}
I0715 13:59:24.421757 137161025132032 run.py:723] (val) algo bridges step 3500: {'is_bridge': 0.8146341463414634, 'score': 0.8146341463414634, 'examples_seen': 55530, 'step': 3500, 'algorithm': 'bridges'}
I0715 13:59:25.973062 137161025132032 run.py:723] (val) algo bridges step 3550: {'is_bridge': 0.8389982110912343, 'score': 0.8389982110912343, 'examples_seen': 56331, 'step': 3550, 'algorithm': 'bridges'}
I0715 13:59:27.522019 137161025132032 run.py:723] (val) algo bridges step 3600: {'is_bridge': 0.821852731591449, 'score': 0.821852731591449, 'examples_seen': 57113, 'step': 3600, 'algorithm': 'bridges'}
I0715 13:59:29.149573 137161025132032 run.py:723] (val) algo bridges step 3650: {'is_bridge': 0.7325769854132902, 'score': 0.7325769854132902, 'examples_seen': 57901, 'step': 3650, 'algorithm': 'bridges'}
I0715 13:59:30.734397 137161025132032 run.py:723] (val) algo bridges step 3700: {'is_bridge': 0.7728085867620751, 'score': 0.7728085867620751, 'examples_seen': 58688, 'step': 3700, 'algorithm': 'bridges'}
I0715 13:59:32.433717 137161025132032 run.py:723] (val) algo bridges step 3750: {'is_bridge': 0.8156424581005588, 'score': 0.8156424581005588, 'examples_seen': 59466, 'step': 3750, 'algorithm': 'bridges'}
I0715 13:59:34.048861 137161025132032 run.py:723] (val) algo bridges step 3800: {'is_bridge': 0.7846975088967971, 'score': 0.7846975088967971, 'examples_seen': 60287, 'step': 3800, 'algorithm': 'bridges'}
I0715 13:59:35.652127 137161025132032 run.py:723] (val) algo bridges step 3850: {'is_bridge': 0.7573182247403211, 'score': 0.7573182247403211, 'examples_seen': 61091, 'step': 3850, 'algorithm': 'bridges'}
I0715 13:59:37.252021 137161025132032 run.py:723] (val) algo bridges step 3900: {'is_bridge': 0.7968596663395486, 'score': 0.7968596663395486, 'examples_seen': 61882, 'step': 3900, 'algorithm': 'bridges'}
I0715 13:59:38.785057 137161025132032 run.py:723] (val) algo bridges step 3950: {'is_bridge': 0.758679085520745, 'score': 0.758679085520745, 'examples_seen': 62670, 'step': 3950, 'algorithm': 'bridges'}
I0715 13:59:40.391813 137161025132032 run.py:723] (val) algo bridges step 4000: {'is_bridge': 0.8348909657320872, 'score': 0.8348909657320872, 'examples_seen': 63455, 'step': 4000, 'algorithm': 'bridges'}
I0715 13:59:41.966640 137161025132032 run.py:723] (val) algo bridges step 4050: {'is_bridge': 0.7560975609756098, 'score': 0.7560975609756098, 'examples_seen': 64233, 'step': 4050, 'algorithm': 'bridges'}
I0715 13:59:43.646953 137161025132032 run.py:723] (val) algo bridges step 4100: {'is_bridge': 0.7782357790601815, 'score': 0.7782357790601815, 'examples_seen': 65016, 'step': 4100, 'algorithm': 'bridges'}
