I0715 18:33:40.803697 127664416589312 run.py:723] (val) algo segments_intersect step 2350: {'intersect': 0.8627362736273627, 'score': 0.8627362736273627, 'examples_seen': 120352, 'step': 2350, 'algorithm': 'segments_intersect'}
I0715 18:33:43.006596 127664416589312 run.py:723] (val) algo segments_intersect step 2400: {'intersect': 0.8174962292609351, 'score': 0.8174962292609351, 'examples_seen': 122880, 'step': 2400, 'algorithm': 'segments_intersect'}
I0715 18:33:45.293012 127664416589312 run.py:723] (val) algo segments_intersect step 2450: {'intersect': 0.8510736550450242, 'score': 0.8510736550450242, 'examples_seen': 125488, 'step': 2450, 'algorithm': 'segments_intersect'}
I0715 18:33:47.291368 127664416589312 run.py:723] (val) algo segments_intersect step 2500: {'intersect': 0.8338509316770186, 'score': 0.8338509316770186, 'examples_seen': 128000, 'step': 2500, 'algorithm': 'segments_intersect'}
I0715 18:33:49.258985 127664416589312 run.py:723] (val) algo segments_intersect step 2550: {'intersect': 0.8450975668513611, 'score': 0.8450975668513611, 'examples_seen': 130624, 'step': 2550, 'algorithm': 'segments_intersect'}
I0715 18:33:51.212136 127664416589312 run.py:723] (val) algo segments_intersect step 2600: {'intersect': 0.8476495200590696, 'score': 0.8476495200590696, 'examples_seen': 133136, 'step': 2600, 'algorithm': 'segments_intersect'}
I0715 18:33:53.272959 127664416589312 run.py:723] (val) algo segments_intersect step 2650: {'intersect': 0.8605724838411819, 'score': 0.8605724838411819, 'examples_seen': 135744, 'step': 2650, 'algorithm': 'segments_intersect'}
I0715 18:33:55.789106 127664416589312 run.py:723] (val) algo segments_intersect step 2700: {'intersect': 0.8799828546935278, 'score': 0.8799828546935278, 'examples_seen': 138272, 'step': 2700, 'algorithm': 'segments_intersect'}
I0715 18:33:58.162219 127664416589312 run.py:723] (val) algo segments_intersect step 2750: {'intersect': 0.8349860157640479, 'score': 0.8349860157640479, 'examples_seen': 140800, 'step': 2750, 'algorithm': 'segments_intersect'}
I0715 18:34:00.428676 127664416589312 run.py:723] (val) algo segments_intersect step 2800: {'intersect': 0.8229111928533893, 'score': 0.8229111928533893, 'examples_seen': 143408, 'step': 2800, 'algorithm': 'segments_intersect'}
I0715 18:34:02.343219 127664416589312 run.py:723] (val) algo segments_intersect step 2850: {'intersect': 0.866636322257624, 'score': 0.866636322257624, 'examples_seen': 145920, 'step': 2850, 'algorithm': 'segments_intersect'}
I0715 18:34:04.241260 127664416589312 run.py:723] (val) algo segments_intersect step 2900: {'intersect': 0.8703976435935199, 'score': 0.8703976435935199, 'examples_seen': 148544, 'step': 2900, 'algorithm': 'segments_intersect'}
I0715 18:34:06.231626 127664416589312 run.py:723] (val) algo segments_intersect step 2950: {'intersect': 0.8795233892321271, 'score': 0.8795233892321271, 'examples_seen': 151056, 'step': 2950, 'algorithm': 'segments_intersect'}
I0715 18:34:08.101695 127664416589312 run.py:723] (val) algo segments_intersect step 3000: {'intersect': 0.874101553443079, 'score': 0.874101553443079, 'examples_seen': 153664, 'step': 3000, 'algorithm': 'segments_intersect'}
I0715 18:34:10.012683 127664416589312 run.py:723] (val) algo segments_intersect step 3050: {'intersect': 0.8823004904146232, 'score': 0.8823004904146232, 'examples_seen': 156192, 'step': 3050, 'algorithm': 'segments_intersect'}
I0715 18:34:11.913453 127664416589312 run.py:723] (val) algo segments_intersect step 3100: {'intersect': 0.8733705772811917, 'score': 0.8733705772811917, 'examples_seen': 158720, 'step': 3100, 'algorithm': 'segments_intersect'}
I0715 18:34:13.790775 127664416589312 run.py:723] (val) algo segments_intersect step 3150: {'intersect': 0.8821209465381245, 'score': 0.8821209465381245, 'examples_seen': 161328, 'step': 3150, 'algorithm': 'segments_intersect'}
I0715 18:34:15.655472 127664416589312 run.py:723] (val) algo segments_intersect step 3200: {'intersect': 0.8133086876155268, 'score': 0.8133086876155268, 'examples_seen': 163840, 'step': 3200, 'algorithm': 'segments_intersect'}
I0715 18:34:17.517905 127664416589312 run.py:723] (val) algo segments_intersect step 3250: {'intersect': 0.8913146654010442, 'score': 0.8913146654010442, 'examples_seen': 166464, 'step': 3250, 'algorithm': 'segments_intersect'}
I0715 18:34:19.428798 127664416589312 run.py:723] (val) algo segments_intersect step 3300: {'intersect': 0.8814183743955791, 'score': 0.8814183743955791, 'examples_seen': 168976, 'step': 3300, 'algorithm': 'segments_intersect'}
I0715 18:34:21.311101 127664416589312 run.py:723] (val) algo segments_intersect step 3350: {'intersect': 0.8874490040796736, 'score': 0.8874490040796736, 'examples_seen': 171584, 'step': 3350, 'algorithm': 'segments_intersect'}
I0715 18:34:23.193817 127664416589312 run.py:723] (val) algo segments_intersect step 3400: {'intersect': 0.890096903805247, 'score': 0.890096903805247, 'examples_seen': 174112, 'step': 3400, 'algorithm': 'segments_intersect'}
I0715 18:34:25.078629 127664416589312 run.py:723] (val) algo segments_intersect step 3450: {'intersect': 0.8339788277820811, 'score': 0.8339788277820811, 'examples_seen': 176640, 'step': 3450, 'algorithm': 'segments_intersect'}
I0715 18:34:26.950141 127664416589312 run.py:723] (val) algo segments_intersect step 3500: {'intersect': 0.8989037758830695, 'score': 0.8989037758830695, 'examples_seen': 179248, 'step': 3500, 'algorithm': 'segments_intersect'}
I0715 18:34:28.803827 127664416589312 run.py:723] (val) algo segments_intersect step 3550: {'intersect': 0.8727095040312729, 'score': 0.8727095040312729, 'examples_seen': 181760, 'step': 3550, 'algorithm': 'segments_intersect'}
I0715 18:34:30.694008 127664416589312 run.py:723] (val) algo segments_intersect step 3600: {'intersect': 0.8756782259966972, 'score': 0.8756782259966972, 'examples_seen': 184384, 'step': 3600, 'algorithm': 'segments_intersect'}
I0715 18:34:32.556997 127664416589312 run.py:723] (val) algo segments_intersect step 3650: {'intersect': 0.8637974683544304, 'score': 0.8637974683544304, 'examples_seen': 186896, 'step': 3650, 'algorithm': 'segments_intersect'}
I0715 18:34:34.392053 127664416589312 run.py:723] (val) algo segments_intersect step 3700: {'intersect': 0.8923076923076924, 'score': 0.8923076923076924, 'examples_seen': 189504, 'step': 3700, 'algorithm': 'segments_intersect'}
I0715 18:34:36.246083 127664416589312 run.py:723] (val) algo segments_intersect step 3750: {'intersect': 0.8840919755983107, 'score': 0.8840919755983107, 'examples_seen': 192032, 'step': 3750, 'algorithm': 'segments_intersect'}
I0715 18:34:38.063796 127664416589312 run.py:723] (val) algo segments_intersect step 3800: {'intersect': 0.8398807911135194, 'score': 0.8398807911135194, 'examples_seen': 194560, 'step': 3800, 'algorithm': 'segments_intersect'}
I0715 18:34:39.932500 127664416589312 run.py:723] (val) algo segments_intersect step 3850: {'intersect': 0.8614426569797613, 'score': 0.8614426569797613, 'examples_seen': 197168, 'step': 3850, 'algorithm': 'segments_intersect'}
I0715 18:34:41.758280 127664416589312 run.py:723] (val) algo segments_intersect step 3900: {'intersect': 0.8932913102206215, 'score': 0.8932913102206215, 'examples_seen': 199680, 'step': 3900, 'algorithm': 'segments_intersect'}
I0715 18:34:43.621869 127664416589312 run.py:723] (val) algo segments_intersect step 3950: {'intersect': 0.9048682447521215, 'score': 0.9048682447521215, 'examples_seen': 202304, 'step': 3950, 'algorithm': 'segments_intersect'}
I0715 18:34:45.489092 127664416589312 run.py:723] (val) algo segments_intersect step 4000: {'intersect': 0.8152901785714285, 'score': 0.8152901785714285, 'examples_seen': 204816, 'step': 4000, 'algorithm': 'segments_intersect'}
I0715 18:34:47.329711 127664416589312 run.py:723] (val) algo segments_intersect step 4050: {'intersect': 0.8799007444168734, 'score': 0.8799007444168734, 'examples_seen': 207424, 'step': 4050, 'algorithm': 'segments_intersect'}
I0715 18:34:49.207092 127664416589312 run.py:723] (val) algo segments_intersect step 4100: {'intersect': 0.8959512407488027, 'score': 0.8959512407488027, 'examples_seen': 209952, 'step': 4100, 'algorithm': 'segments_intersect'}
I0715 18:34:51.026148 127664416589312 run.py:723] (val) algo segments_intersect step 4150: {'intersect': 0.9043231750531537, 'score': 0.9043231750531537, 'examples_seen': 212480, 'step': 4150, 'algorithm': 'segments_intersect'}
I0715 18:34:52.891707 127664416589312 run.py:723] (val) algo segments_intersect step 4200: {'intersect': 0.8849735716083563, 'score': 0.8849735716083563, 'examples_seen': 215088, 'step': 4200, 'algorithm': 'segments_intersect'}
I0715 18:34:54.724120 127664416589312 run.py:723] (val) algo segments_intersect step 4250: {'intersect': 0.8947122133832476, 'score': 0.8947122133832476, 'examples_seen': 217600, 'step': 4250, 'algorithm': 'segments_intersect'}
I0715 18:34:56.588947 127664416589312 run.py:723] (val) algo segments_intersect step 4300: {'intersect': 0.8936742934051145, 'score': 0.8936742934051145, 'examples_seen': 220224, 'step': 4300, 'algorithm': 'segments_intersect'}
I0715 18:34:58.425217 127664416589312 run.py:723] (val) algo segments_intersect step 4350: {'intersect': 0.9065312716362797, 'score': 0.9065312716362797, 'examples_seen': 222736, 'step': 4350, 'algorithm': 'segments_intersect'}
I0715 18:35:00.294209 127664416589312 run.py:723] (val) algo segments_intersect step 4400: {'intersect': 0.9221808014911465, 'score': 0.9221808014911465, 'examples_seen': 225344, 'step': 4400, 'algorithm': 'segments_intersect'}
I0715 18:35:02.172062 127664416589312 run.py:723] (val) algo segments_intersect step 4450: {'intersect': 0.9142335766423357, 'score': 0.9142335766423357, 'examples_seen': 227872, 'step': 4450, 'algorithm': 'segments_intersect'}
I0715 18:35:04.010792 127664416589312 run.py:723] (val) algo segments_intersect step 4500: {'intersect': 0.8952694751706284, 'score': 0.8952694751706284, 'examples_seen': 230400, 'step': 4500, 'algorithm': 'segments_intersect'}
