I0715 15:36:51.204739 131537578350080 run.py:723] (val) algo insertion_sort step 2350: {'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'insertion_sort'}
I0715 15:36:55.782019 131537578350080 run.py:723] (val) algo insertion_sort step 2400: {'pred': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'insertion_sort'}
I0715 15:37:00.319073 131537578350080 run.py:723] (val) algo insertion_sort step 2450: {'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'insertion_sort'}
I0715 15:37:04.759154 131537578350080 run.py:723] (val) algo insertion_sort step 2500: {'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'insertion_sort'}
I0715 15:37:09.229932 131537578350080 run.py:723] (val) algo insertion_sort step 2550: {'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'insertion_sort'}
I0715 15:37:13.707005 131537578350080 run.py:723] (val) algo insertion_sort step 2600: {'pred': 0.873046875, 'score': 0.873046875, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'insertion_sort'}
I0715 15:37:18.136766 131537578350080 run.py:723] (val) algo insertion_sort step 2650: {'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'insertion_sort'}
I0715 15:37:22.580826 131537578350080 run.py:723] (val) algo insertion_sort step 2700: {'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'insertion_sort'}
I0715 15:37:27.164847 131537578350080 run.py:723] (val) algo insertion_sort step 2750: {'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'insertion_sort'}
I0715 15:37:31.681718 131537578350080 run.py:723] (val) algo insertion_sort step 2800: {'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'insertion_sort'}
I0715 15:37:36.190946 131537578350080 run.py:723] (val) algo insertion_sort step 2850: {'pred': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'insertion_sort'}
I0715 15:37:40.646987 131537578350080 run.py:723] (val) algo insertion_sort step 2900: {'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'insertion_sort'}
I0715 15:37:45.116154 131537578350080 run.py:723] (val) algo insertion_sort step 2950: {'pred': 0.931640625, 'score': 0.931640625, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'insertion_sort'}
I0715 15:37:49.620603 131537578350080 run.py:723] (val) algo insertion_sort step 3000: {'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'insertion_sort'}
I0715 15:37:54.119907 131537578350080 run.py:723] (val) algo insertion_sort step 3050: {'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'insertion_sort'}
I0715 15:37:58.727849 131537578350080 run.py:723] (val) algo insertion_sort step 3100: {'pred': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'insertion_sort'}
I0715 15:38:03.274079 131537578350080 run.py:723] (val) algo insertion_sort step 3150: {'pred': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'insertion_sort'}
I0715 15:38:07.811584 131537578350080 run.py:723] (val) algo insertion_sort step 3200: {'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'insertion_sort'}
I0715 15:38:12.441663 131537578350080 run.py:723] (val) algo insertion_sort step 3250: {'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'insertion_sort'}
I0715 15:38:17.049569 131537578350080 run.py:723] (val) algo insertion_sort step 3300: {'pred': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'insertion_sort'}
I0715 15:38:21.650146 131537578350080 run.py:723] (val) algo insertion_sort step 3350: {'pred': 0.86328125, 'score': 0.86328125, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'insertion_sort'}
I0715 15:38:26.182643 131537578350080 run.py:723] (val) algo insertion_sort step 3400: {'pred': 0.943359375, 'score': 0.943359375, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'insertion_sort'}
I0715 15:38:30.791427 131537578350080 run.py:723] (val) algo insertion_sort step 3450: {'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'insertion_sort'}
I0715 15:38:35.307901 131537578350080 run.py:723] (val) algo insertion_sort step 3500: {'pred': 0.951171875, 'score': 0.951171875, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'insertion_sort'}
I0715 15:38:39.809221 131537578350080 run.py:723] (val) algo insertion_sort step 3550: {'pred': 0.9091796875, 'score': 0.9091796875, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'insertion_sort'}
I0715 15:38:44.355238 131537578350080 run.py:723] (val) algo insertion_sort step 3600: {'pred': 0.916015625, 'score': 0.916015625, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'insertion_sort'}
I0715 15:38:48.843922 131537578350080 run.py:723] (val) algo insertion_sort step 3650: {'pred': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'insertion_sort'}
I0715 15:38:53.333147 131537578350080 run.py:723] (val) algo insertion_sort step 3700: {'pred': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'insertion_sort'}
I0715 15:38:57.863908 131537578350080 run.py:723] (val) algo insertion_sort step 3750: {'pred': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'insertion_sort'}
I0715 15:39:02.504853 131537578350080 run.py:723] (val) algo insertion_sort step 3800: {'pred': 0.947265625, 'score': 0.947265625, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'insertion_sort'}
I0715 15:39:07.033182 131537578350080 run.py:723] (val) algo insertion_sort step 3850: {'pred': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'insertion_sort'}
I0715 15:39:11.555299 131537578350080 run.py:723] (val) algo insertion_sort step 3900: {'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'insertion_sort'}
