I0715 16:31:48.581533 129347681601024 run.py:723] (val) algo matrix_chain_order step 3150: {'s': 0.97747802734375, 'score': 0.97747802734375, 'examples_seen': 259020, 'step': 3150, 'algorithm': 'matrix_chain_order'}
I0715 16:31:52.437421 129347681601024 run.py:723] (val) algo matrix_chain_order step 3200: {'s': 0.98748779296875, 'score': 0.98748779296875, 'examples_seen': 263114, 'step': 3200, 'algorithm': 'matrix_chain_order'}
I0715 16:31:56.256350 129347681601024 run.py:723] (val) algo matrix_chain_order step 3250: {'s': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 267179, 'step': 3250, 'algorithm': 'matrix_chain_order'}
I0715 16:31:59.962035 129347681601024 run.py:723] (val) algo matrix_chain_order step 3300: {'s': 0.98748779296875, 'score': 0.98748779296875, 'examples_seen': 271231, 'step': 3300, 'algorithm': 'matrix_chain_order'}
I0715 16:32:03.693358 129347681601024 run.py:723] (val) algo matrix_chain_order step 3350: {'s': 0.97406005859375, 'score': 0.97406005859375, 'examples_seen': 275293, 'step': 3350, 'algorithm': 'matrix_chain_order'}
I0715 16:32:07.432567 129347681601024 run.py:723] (val) algo matrix_chain_order step 3400: {'s': 0.9898681640625, 'score': 0.9898681640625, 'examples_seen': 279345, 'step': 3400, 'algorithm': 'matrix_chain_order'}
I0715 16:32:11.227250 129347681601024 run.py:723] (val) algo matrix_chain_order step 3450: {'s': 0.98944091796875, 'score': 0.98944091796875, 'examples_seen': 283635, 'step': 3450, 'algorithm': 'matrix_chain_order'}
I0715 16:32:15.125966 129347681601024 run.py:723] (val) algo matrix_chain_order step 3500: {'s': 0.9884033203125, 'score': 0.9884033203125, 'examples_seen': 287787, 'step': 3500, 'algorithm': 'matrix_chain_order'}
I0715 16:32:18.721357 129347681601024 run.py:723] (val) algo matrix_chain_order step 3550: {'s': 0.986572265625, 'score': 0.986572265625, 'examples_seen': 291887, 'step': 3550, 'algorithm': 'matrix_chain_order'}
I0715 16:32:22.339547 129347681601024 run.py:723] (val) algo matrix_chain_order step 3600: {'s': 0.98968505859375, 'score': 0.98968505859375, 'examples_seen': 295954, 'step': 3600, 'algorithm': 'matrix_chain_order'}
I0715 16:32:26.206154 129347681601024 run.py:723] (val) algo matrix_chain_order step 3650: {'s': 0.98931884765625, 'score': 0.98931884765625, 'examples_seen': 300004, 'step': 3650, 'algorithm': 'matrix_chain_order'}
I0715 16:32:30.014892 129347681601024 run.py:723] (val) algo matrix_chain_order step 3700: {'s': 0.98590087890625, 'score': 0.98590087890625, 'examples_seen': 304060, 'step': 3700, 'algorithm': 'matrix_chain_order'}
