I0715 18:20:22.885202 124880143382016 run.py:723] (val) algo quicksort step 2350: {'pred': 0.484375, 'score': 0.484375, 'examples_seen': 81561, 'step': 2350, 'algorithm': 'quicksort'}
I0715 18:20:27.062659 124880143382016 run.py:723] (val) algo quicksort step 2400: {'pred': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 83384, 'step': 2400, 'algorithm': 'quicksort'}
I0715 18:20:31.215672 124880143382016 run.py:723] (val) algo quicksort step 2450: {'pred': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 85132, 'step': 2450, 'algorithm': 'quicksort'}
I0715 18:20:35.284862 124880143382016 run.py:723] (val) algo quicksort step 2500: {'pred': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 86862, 'step': 2500, 'algorithm': 'quicksort'}
I0715 18:20:39.337439 124880143382016 run.py:723] (val) algo quicksort step 2550: {'pred': 0.486328125, 'score': 0.486328125, 'examples_seen': 88565, 'step': 2550, 'algorithm': 'quicksort'}
I0715 18:20:43.383792 124880143382016 run.py:723] (val) algo quicksort step 2600: {'pred': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 90271, 'step': 2600, 'algorithm': 'quicksort'}
I0715 18:20:47.453886 124880143382016 run.py:723] (val) algo quicksort step 2650: {'pred': 0.515625, 'score': 0.515625, 'examples_seen': 91972, 'step': 2650, 'algorithm': 'quicksort'}
I0715 18:20:51.501539 124880143382016 run.py:723] (val) algo quicksort step 2700: {'pred': 0.55078125, 'score': 0.55078125, 'examples_seen': 93671, 'step': 2700, 'algorithm': 'quicksort'}
I0715 18:20:55.661147 124880143382016 run.py:723] (val) algo quicksort step 2750: {'pred': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 95504, 'step': 2750, 'algorithm': 'quicksort'}
I0715 18:20:59.774165 124880143382016 run.py:723] (val) algo quicksort step 2800: {'pred': 0.5029296875, 'score': 0.5029296875, 'examples_seen': 97264, 'step': 2800, 'algorithm': 'quicksort'}
I0715 18:21:03.836114 124880143382016 run.py:723] (val) algo quicksort step 2850: {'pred': 0.580078125, 'score': 0.580078125, 'examples_seen': 98999, 'step': 2850, 'algorithm': 'quicksort'}
I0715 18:21:07.849795 124880143382016 run.py:723] (val) algo quicksort step 2900: {'pred': 0.5859375, 'score': 0.5859375, 'examples_seen': 100705, 'step': 2900, 'algorithm': 'quicksort'}
I0715 18:21:11.949168 124880143382016 run.py:723] (val) algo quicksort step 2950: {'pred': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 102408, 'step': 2950, 'algorithm': 'quicksort'}
I0715 18:21:15.975979 124880143382016 run.py:723] (val) algo quicksort step 3000: {'pred': 0.55078125, 'score': 0.55078125, 'examples_seen': 104116, 'step': 3000, 'algorithm': 'quicksort'}
I0715 18:21:20.024129 124880143382016 run.py:723] (val) algo quicksort step 3050: {'pred': 0.4990234375, 'score': 0.4990234375, 'examples_seen': 105816, 'step': 3050, 'algorithm': 'quicksort'}
I0715 18:21:24.253432 124880143382016 run.py:723] (val) algo quicksort step 3100: {'pred': 0.529296875, 'score': 0.529296875, 'examples_seen': 107659, 'step': 3100, 'algorithm': 'quicksort'}
I0715 18:21:28.358420 124880143382016 run.py:723] (val) algo quicksort step 3150: {'pred': 0.44921875, 'score': 0.44921875, 'examples_seen': 109424, 'step': 3150, 'algorithm': 'quicksort'}
I0715 18:21:32.423668 124880143382016 run.py:723] (val) algo quicksort step 3200: {'pred': 0.4580078125, 'score': 0.4580078125, 'examples_seen': 111152, 'step': 3200, 'algorithm': 'quicksort'}
I0715 18:21:36.489530 124880143382016 run.py:723] (val) algo quicksort step 3250: {'pred': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 112866, 'step': 3250, 'algorithm': 'quicksort'}
I0715 18:21:40.599164 124880143382016 run.py:723] (val) algo quicksort step 3300: {'pred': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 114577, 'step': 3300, 'algorithm': 'quicksort'}
I0715 18:21:44.694873 124880143382016 run.py:723] (val) algo quicksort step 3350: {'pred': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 116277, 'step': 3350, 'algorithm': 'quicksort'}
I0715 18:21:48.791195 124880143382016 run.py:723] (val) algo quicksort step 3400: {'pred': 0.6083984375, 'score': 0.6083984375, 'examples_seen': 118002, 'step': 3400, 'algorithm': 'quicksort'}
I0715 18:21:52.975173 124880143382016 run.py:723] (val) algo quicksort step 3450: {'pred': 0.66015625, 'score': 0.66015625, 'examples_seen': 119823, 'step': 3450, 'algorithm': 'quicksort'}
I0715 18:21:57.096634 124880143382016 run.py:723] (val) algo quicksort step 3500: {'pred': 0.57421875, 'score': 0.57421875, 'examples_seen': 121585, 'step': 3500, 'algorithm': 'quicksort'}
I0715 18:22:01.137678 124880143382016 run.py:723] (val) algo quicksort step 3550: {'pred': 0.626953125, 'score': 0.626953125, 'examples_seen': 123312, 'step': 3550, 'algorithm': 'quicksort'}
I0715 18:22:05.147194 124880143382016 run.py:723] (val) algo quicksort step 3600: {'pred': 0.6826171875, 'score': 0.6826171875, 'examples_seen': 125017, 'step': 3600, 'algorithm': 'quicksort'}
I0715 18:22:09.228999 124880143382016 run.py:723] (val) algo quicksort step 3650: {'pred': 0.693359375, 'score': 0.693359375, 'examples_seen': 126734, 'step': 3650, 'algorithm': 'quicksort'}
I0715 18:22:13.269790 124880143382016 run.py:723] (val) algo quicksort step 3700: {'pred': 0.6826171875, 'score': 0.6826171875, 'examples_seen': 128438, 'step': 3700, 'algorithm': 'quicksort'}
I0715 18:22:17.293825 124880143382016 run.py:723] (val) algo quicksort step 3750: {'pred': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 130142, 'step': 3750, 'algorithm': 'quicksort'}
I0715 18:22:21.458021 124880143382016 run.py:723] (val) algo quicksort step 3800: {'pred': 0.6318359375, 'score': 0.6318359375, 'examples_seen': 131959, 'step': 3800, 'algorithm': 'quicksort'}
I0715 18:22:25.537522 124880143382016 run.py:723] (val) algo quicksort step 3850: {'pred': 0.6201171875, 'score': 0.6201171875, 'examples_seen': 133705, 'step': 3850, 'algorithm': 'quicksort'}
I0715 18:22:29.584196 124880143382016 run.py:723] (val) algo quicksort step 3900: {'pred': 0.5908203125, 'score': 0.5908203125, 'examples_seen': 135435, 'step': 3900, 'algorithm': 'quicksort'}
I0715 18:22:33.642861 124880143382016 run.py:723] (val) algo quicksort step 3950: {'pred': 0.6591796875, 'score': 0.6591796875, 'examples_seen': 137144, 'step': 3950, 'algorithm': 'quicksort'}
I0715 18:22:37.750013 124880143382016 run.py:723] (val) algo quicksort step 4000: {'pred': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 138862, 'step': 4000, 'algorithm': 'quicksort'}
I0715 18:22:41.816138 124880143382016 run.py:723] (val) algo quicksort step 4050: {'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 140556, 'step': 4050, 'algorithm': 'quicksort'}
I0715 18:22:45.865464 124880143382016 run.py:723] (val) algo quicksort step 4100: {'pred': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 142268, 'step': 4100, 'algorithm': 'quicksort'}
I0715 18:22:50.014728 124880143382016 run.py:723] (val) algo quicksort step 4150: {'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 144091, 'step': 4150, 'algorithm': 'quicksort'}
I0715 18:22:54.159427 124880143382016 run.py:723] (val) algo quicksort step 4200: {'pred': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 145862, 'step': 4200, 'algorithm': 'quicksort'}
I0715 18:22:58.237023 124880143382016 run.py:723] (val) algo quicksort step 4250: {'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 147587, 'step': 4250, 'algorithm': 'quicksort'}
I0715 18:23:02.344732 124880143382016 run.py:723] (val) algo quicksort step 4300: {'pred': 0.62109375, 'score': 0.62109375, 'examples_seen': 149316, 'step': 4300, 'algorithm': 'quicksort'}
I0715 18:23:06.415899 124880143382016 run.py:723] (val) algo quicksort step 4350: {'pred': 0.66015625, 'score': 0.66015625, 'examples_seen': 151017, 'step': 4350, 'algorithm': 'quicksort'}
I0715 18:23:10.448069 124880143382016 run.py:723] (val) algo quicksort step 4400: {'pred': 0.6474609375, 'score': 0.6474609375, 'examples_seen': 152731, 'step': 4400, 'algorithm': 'quicksort'}
I0715 18:23:14.547167 124880143382016 run.py:723] (val) algo quicksort step 4450: {'pred': 0.6669921875, 'score': 0.6669921875, 'examples_seen': 154438, 'step': 4450, 'algorithm': 'quicksort'}
I0715 18:23:18.748011 124880143382016 run.py:723] (val) algo quicksort step 4500: {'pred': 0.69921875, 'score': 0.69921875, 'examples_seen': 156275, 'step': 4500, 'algorithm': 'quicksort'}
I0715 18:23:22.848425 124880143382016 run.py:723] (val) algo quicksort step 4550: {'pred': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 158029, 'step': 4550, 'algorithm': 'quicksort'}
I0715 18:23:26.967327 124880143382016 run.py:723] (val) algo quicksort step 4600: {'pred': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 159744, 'step': 4600, 'algorithm': 'quicksort'}
I0715 18:23:31.045408 124880143382016 run.py:723] (val) algo quicksort step 4650: {'pred': 0.693359375, 'score': 0.693359375, 'examples_seen': 161468, 'step': 4650, 'algorithm': 'quicksort'}
I0715 18:23:35.097057 124880143382016 run.py:723] (val) algo quicksort step 4700: {'pred': 0.666015625, 'score': 0.666015625, 'examples_seen': 163175, 'step': 4700, 'algorithm': 'quicksort'}
I0715 18:23:39.158383 124880143382016 run.py:723] (val) algo quicksort step 4750: {'pred': 0.703125, 'score': 0.703125, 'examples_seen': 164879, 'step': 4750, 'algorithm': 'quicksort'}
I0715 18:23:43.247334 124880143382016 run.py:723] (val) algo quicksort step 4800: {'pred': 0.703125, 'score': 0.703125, 'examples_seen': 166576, 'step': 4800, 'algorithm': 'quicksort'}
I0715 18:23:47.421879 124880143382016 run.py:723] (val) algo quicksort step 4850: {'pred': 0.6689453125, 'score': 0.6689453125, 'examples_seen': 168407, 'step': 4850, 'algorithm': 'quicksort'}
I0715 18:23:51.482434 124880143382016 run.py:723] (val) algo quicksort step 4900: {'pred': 0.626953125, 'score': 0.626953125, 'examples_seen': 170160, 'step': 4900, 'algorithm': 'quicksort'}
I0715 18:23:55.554636 124880143382016 run.py:723] (val) algo quicksort step 4950: {'pred': 0.6689453125, 'score': 0.6689453125, 'examples_seen': 171890, 'step': 4950, 'algorithm': 'quicksort'}
I0715 18:23:59.649333 124880143382016 run.py:723] (val) algo quicksort step 5000: {'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 173599, 'step': 5000, 'algorithm': 'quicksort'}
I0715 18:24:03.706560 124880143382016 run.py:723] (val) algo quicksort step 5050: {'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 175313, 'step': 5050, 'algorithm': 'quicksort'}
I0715 18:24:07.694276 124880143382016 run.py:723] (val) algo quicksort step 5100: {'pred': 0.69140625, 'score': 0.69140625, 'examples_seen': 177022, 'step': 5100, 'algorithm': 'quicksort'}
I0715 18:24:11.802898 124880143382016 run.py:723] (val) algo quicksort step 5150: {'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 178730, 'step': 5150, 'algorithm': 'quicksort'}
I0715 18:24:15.967957 124880143382016 run.py:723] (val) algo quicksort step 5200: {'pred': 0.658203125, 'score': 0.658203125, 'examples_seen': 180548, 'step': 5200, 'algorithm': 'quicksort'}
