I0716 16:21:09.113643 123486293136896 run.py:722] (val) algo mst_prim step 2100: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 118463, 'step': 2100, 'algorithm': 'mst_prim'}
I0716 16:21:10.987267 123486293136896 run.py:722] (val) algo mst_prim step 2150: {'pi': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 121281, 'step': 2150, 'algorithm': 'mst_prim'}
I0716 16:21:12.821834 123486293136896 run.py:722] (val) algo mst_prim step 2200: {'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 124110, 'step': 2200, 'algorithm': 'mst_prim'}
I0716 16:21:14.679550 123486293136896 run.py:722] (val) algo mst_prim step 2250: {'pi': 0.916015625, 'score': 0.916015625, 'examples_seen': 126912, 'step': 2250, 'algorithm': 'mst_prim'}
I0716 16:21:16.527511 123486293136896 run.py:722] (val) algo mst_prim step 2300: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 129663, 'step': 2300, 'algorithm': 'mst_prim'}
I0716 16:21:18.394124 123486293136896 run.py:722] (val) algo mst_prim step 2350: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 132480, 'step': 2350, 'algorithm': 'mst_prim'}
I0716 16:21:20.244922 123486293136896 run.py:722] (val) algo mst_prim step 2400: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 135339, 'step': 2400, 'algorithm': 'mst_prim'}
I0716 16:21:22.071987 123486293136896 run.py:722] (val) algo mst_prim step 2450: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 138192, 'step': 2450, 'algorithm': 'mst_prim'}
I0716 16:21:23.998312 123486293136896 run.py:722] (val) algo mst_prim step 2500: {'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 141013, 'step': 2500, 'algorithm': 'mst_prim'}
I0716 16:21:25.760488 123486293136896 run.py:722] (val) algo mst_prim step 2550: {'pi': 0.8984375, 'score': 0.8984375, 'examples_seen': 143836, 'step': 2550, 'algorithm': 'mst_prim'}
I0716 16:21:27.599407 123486293136896 run.py:722] (val) algo mst_prim step 2600: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 146621, 'step': 2600, 'algorithm': 'mst_prim'}
I0716 16:21:29.389542 123486293136896 run.py:722] (val) algo mst_prim step 2650: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 149404, 'step': 2650, 'algorithm': 'mst_prim'}
I0716 16:21:31.238481 123486293136896 run.py:722] (val) algo mst_prim step 2700: {'pi': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 152220, 'step': 2700, 'algorithm': 'mst_prim'}
I0716 16:21:33.131382 123486293136896 run.py:722] (val) algo mst_prim step 2750: {'pi': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 155108, 'step': 2750, 'algorithm': 'mst_prim'}
I0716 16:21:34.946786 123486293136896 run.py:722] (val) algo mst_prim step 2800: {'pi': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 158001, 'step': 2800, 'algorithm': 'mst_prim'}
I0716 16:21:36.801586 123486293136896 run.py:722] (val) algo mst_prim step 2850: {'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 160815, 'step': 2850, 'algorithm': 'mst_prim'}
I0716 16:21:38.633485 123486293136896 run.py:722] (val) algo mst_prim step 2900: {'pi': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 163649, 'step': 2900, 'algorithm': 'mst_prim'}
I0716 16:21:40.493432 123486293136896 run.py:722] (val) algo mst_prim step 2950: {'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 166457, 'step': 2950, 'algorithm': 'mst_prim'}
I0716 16:21:42.346745 123486293136896 run.py:722] (val) algo mst_prim step 3000: {'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 169243, 'step': 3000, 'algorithm': 'mst_prim'}
I0716 16:21:44.266825 123486293136896 run.py:722] (val) algo mst_prim step 3050: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 172034, 'step': 3050, 'algorithm': 'mst_prim'}
I0716 16:21:46.162177 123486293136896 run.py:722] (val) algo mst_prim step 3100: {'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 174905, 'step': 3100, 'algorithm': 'mst_prim'}
I0716 16:21:48.017803 123486293136896 run.py:722] (val) algo mst_prim step 3150: {'pi': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 177747, 'step': 3150, 'algorithm': 'mst_prim'}
I0716 16:21:49.867674 123486293136896 run.py:722] (val) algo mst_prim step 3200: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 180581, 'step': 3200, 'algorithm': 'mst_prim'}
I0716 16:21:51.673254 123486293136896 run.py:722] (val) algo mst_prim step 3250: {'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 183398, 'step': 3250, 'algorithm': 'mst_prim'}
I0716 16:21:53.522678 123486293136896 run.py:722] (val) algo mst_prim step 3300: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 186193, 'step': 3300, 'algorithm': 'mst_prim'}
I0716 16:21:55.357542 123486293136896 run.py:722] (val) algo mst_prim step 3350: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 189015, 'step': 3350, 'algorithm': 'mst_prim'}
I0716 16:21:57.167156 123486293136896 run.py:722] (val) algo mst_prim step 3400: {'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 191793, 'step': 3400, 'algorithm': 'mst_prim'}
I0716 16:21:59.076833 123486293136896 run.py:722] (val) algo mst_prim step 3450: {'pi': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 194694, 'step': 3450, 'algorithm': 'mst_prim'}
I0716 16:22:00.911870 123486293136896 run.py:722] (val) algo mst_prim step 3500: {'pi': 0.8681640625, 'score': 0.8681640625, 'examples_seen': 197588, 'step': 3500, 'algorithm': 'mst_prim'}
I0716 16:22:02.733634 123486293136896 run.py:722] (val) algo mst_prim step 3550: {'pi': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 200382, 'step': 3550, 'algorithm': 'mst_prim'}
I0716 16:22:04.598808 123486293136896 run.py:722] (val) algo mst_prim step 3600: {'pi': 0.87890625, 'score': 0.87890625, 'examples_seen': 203220, 'step': 3600, 'algorithm': 'mst_prim'}
I0716 16:22:06.441510 123486293136896 run.py:722] (val) algo mst_prim step 3650: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 206048, 'step': 3650, 'algorithm': 'mst_prim'}
I0716 16:22:08.226270 123486293136896 run.py:722] (val) algo mst_prim step 3700: {'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 208832, 'step': 3700, 'algorithm': 'mst_prim'}
I0716 16:22:10.040626 123486293136896 run.py:722] (val) algo mst_prim step 3750: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 211606, 'step': 3750, 'algorithm': 'mst_prim'}
I0716 16:22:11.910534 123486293136896 run.py:722] (val) algo mst_prim step 3800: {'pi': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 214476, 'step': 3800, 'algorithm': 'mst_prim'}
I0716 16:22:13.766809 123486293136896 run.py:722] (val) algo mst_prim step 3850: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 217374, 'step': 3850, 'algorithm': 'mst_prim'}
I0716 16:22:15.607116 123486293136896 run.py:722] (val) algo mst_prim step 3900: {'pi': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 220193, 'step': 3900, 'algorithm': 'mst_prim'}
I0716 16:22:17.416075 123486293136896 run.py:722] (val) algo mst_prim step 3950: {'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 223011, 'step': 3950, 'algorithm': 'mst_prim'}
I0716 16:22:19.214895 123486293136896 run.py:722] (val) algo mst_prim step 4000: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 225819, 'step': 4000, 'algorithm': 'mst_prim'}
I0716 16:22:20.998808 123486293136896 run.py:722] (val) algo mst_prim step 4050: {'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 228595, 'step': 4050, 'algorithm': 'mst_prim'}
I0716 16:22:22.886965 123486293136896 run.py:722] (val) algo mst_prim step 4100: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 231403, 'step': 4100, 'algorithm': 'mst_prim'}
I0716 16:22:24.759226 123486293136896 run.py:722] (val) algo mst_prim step 4150: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 234285, 'step': 4150, 'algorithm': 'mst_prim'}
I0716 16:22:26.571441 123486293136896 run.py:722] (val) algo mst_prim step 4200: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 237122, 'step': 4200, 'algorithm': 'mst_prim'}
I0716 16:22:28.424083 123486293136896 run.py:722] (val) algo mst_prim step 4250: {'pi': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 239968, 'step': 4250, 'algorithm': 'mst_prim'}
I0716 16:22:30.254215 123486293136896 run.py:722] (val) algo mst_prim step 4300: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 242782, 'step': 4300, 'algorithm': 'mst_prim'}
I0716 16:22:32.067895 123486293136896 run.py:722] (val) algo mst_prim step 4350: {'pi': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 245570, 'step': 4350, 'algorithm': 'mst_prim'}
I0716 16:22:33.901664 123486293136896 run.py:722] (val) algo mst_prim step 4400: {'pi': 0.9091796875, 'score': 0.9091796875, 'examples_seen': 248310, 'step': 4400, 'algorithm': 'mst_prim'}
I0716 16:22:35.727841 123486293136896 run.py:722] (val) algo mst_prim step 4450: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 251100, 'step': 4450, 'algorithm': 'mst_prim'}
I0716 16:22:37.602108 123486293136896 run.py:722] (val) algo mst_prim step 4500: {'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 253989, 'step': 4500, 'algorithm': 'mst_prim'}
I0716 16:22:39.417442 123486293136896 run.py:722] (val) algo mst_prim step 4550: {'pi': 0.92578125, 'score': 0.92578125, 'examples_seen': 256862, 'step': 4550, 'algorithm': 'mst_prim'}
I0716 16:22:41.196150 123486293136896 run.py:722] (val) algo mst_prim step 4600: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 259677, 'step': 4600, 'algorithm': 'mst_prim'}
I0716 16:22:43.035983 123486293136896 run.py:722] (val) algo mst_prim step 4650: {'pi': 0.900390625, 'score': 0.900390625, 'examples_seen': 262486, 'step': 4650, 'algorithm': 'mst_prim'}
I0716 16:22:44.878422 123486293136896 run.py:722] (val) algo mst_prim step 4700: {'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 265300, 'step': 4700, 'algorithm': 'mst_prim'}
I0716 16:22:46.731195 123486293136896 run.py:722] (val) algo mst_prim step 4750: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 268082, 'step': 4750, 'algorithm': 'mst_prim'}
I0716 16:22:48.596894 123486293136896 run.py:722] (val) algo mst_prim step 4800: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 270868, 'step': 4800, 'algorithm': 'mst_prim'}
I0716 16:22:50.477135 123486293136896 run.py:722] (val) algo mst_prim step 4850: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 273712, 'step': 4850, 'algorithm': 'mst_prim'}
I0716 16:22:52.379491 123486293136896 run.py:722] (val) algo mst_prim step 4900: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 276597, 'step': 4900, 'algorithm': 'mst_prim'}
I0716 16:22:54.214168 123486293136896 run.py:722] (val) algo mst_prim step 4950: {'pi': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 279407, 'step': 4950, 'algorithm': 'mst_prim'}
I0716 16:22:56.041357 123486293136896 run.py:722] (val) algo mst_prim step 5000: {'pi': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 282193, 'step': 5000, 'algorithm': 'mst_prim'}
I0716 16:22:57.840377 123486293136896 run.py:722] (val) algo mst_prim step 5050: {'pi': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 284988, 'step': 5050, 'algorithm': 'mst_prim'}
I0716 16:22:59.728424 123486293136896 run.py:722] (val) algo mst_prim step 5100: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 287799, 'step': 5100, 'algorithm': 'mst_prim'}
I0716 16:23:01.629330 123486293136896 run.py:722] (val) algo mst_prim step 5150: {'pi': 0.92578125, 'score': 0.92578125, 'examples_seen': 290587, 'step': 5150, 'algorithm': 'mst_prim'}
I0716 16:23:03.489810 123486293136896 run.py:722] (val) algo mst_prim step 5200: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 293477, 'step': 5200, 'algorithm': 'mst_prim'}
I0716 16:23:05.391788 123486293136896 run.py:722] (val) algo mst_prim step 5250: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 296379, 'step': 5250, 'algorithm': 'mst_prim'}
I0716 16:23:07.209545 123486293136896 run.py:722] (val) algo mst_prim step 5300: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 299195, 'step': 5300, 'algorithm': 'mst_prim'}
I0716 16:23:09.074819 123486293136896 run.py:722] (val) algo mst_prim step 5350: {'pi': 0.888671875, 'score': 0.888671875, 'examples_seen': 302045, 'step': 5350, 'algorithm': 'mst_prim'}
I0716 16:23:10.937942 123486293136896 run.py:722] (val) algo mst_prim step 5400: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 304844, 'step': 5400, 'algorithm': 'mst_prim'}
I0716 16:23:12.829949 123486293136896 run.py:722] (val) algo mst_prim step 5450: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 307674, 'step': 5450, 'algorithm': 'mst_prim'}
I0716 16:23:14.743111 123486293136896 run.py:722] (val) algo mst_prim step 5500: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 310498, 'step': 5500, 'algorithm': 'mst_prim'}
I0716 16:23:16.583465 123486293136896 run.py:722] (val) algo mst_prim step 5550: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 313348, 'step': 5550, 'algorithm': 'mst_prim'}
I0716 16:23:18.447583 123486293136896 run.py:722] (val) algo mst_prim step 5600: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 316193, 'step': 5600, 'algorithm': 'mst_prim'}
I0716 16:23:20.304802 123486293136896 run.py:722] (val) algo mst_prim step 5650: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 319034, 'step': 5650, 'algorithm': 'mst_prim'}
