I0716 13:07:27.441805 138795964425728 run.py:722] (val) algo binary_search step 4100: {'return': 0.895263671875, 'score': 0.895263671875, 'examples_seen': 315113, 'step': 4100, 'algorithm': 'binary_search'}
I0716 13:07:29.594247 138795964425728 run.py:722] (val) algo binary_search step 4150: {'return': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 319004, 'step': 4150, 'algorithm': 'binary_search'}
I0716 13:07:31.760913 138795964425728 run.py:722] (val) algo binary_search step 4200: {'return': 0.85400390625, 'score': 0.85400390625, 'examples_seen': 322874, 'step': 4200, 'algorithm': 'binary_search'}
I0716 13:07:33.899688 138795964425728 run.py:722] (val) algo binary_search step 4250: {'return': 0.834716796875, 'score': 0.834716796875, 'examples_seen': 326714, 'step': 4250, 'algorithm': 'binary_search'}
I0716 13:07:36.031527 138795964425728 run.py:722] (val) algo binary_search step 4300: {'return': 0.912353515625, 'score': 0.912353515625, 'examples_seen': 330562, 'step': 4300, 'algorithm': 'binary_search'}
I0716 13:07:38.151760 138795964425728 run.py:722] (val) algo binary_search step 4350: {'return': 0.867431640625, 'score': 0.867431640625, 'examples_seen': 334375, 'step': 4350, 'algorithm': 'binary_search'}
I0716 13:07:40.315759 138795964425728 run.py:722] (val) algo binary_search step 4400: {'return': 0.883056640625, 'score': 0.883056640625, 'examples_seen': 338190, 'step': 4400, 'algorithm': 'binary_search'}
I0716 13:07:42.444449 138795964425728 run.py:722] (val) algo binary_search step 4450: {'return': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 342022, 'step': 4450, 'algorithm': 'binary_search'}
I0716 13:07:44.591426 138795964425728 run.py:722] (val) algo binary_search step 4500: {'return': 0.905517578125, 'score': 0.905517578125, 'examples_seen': 345912, 'step': 4500, 'algorithm': 'binary_search'}
I0716 13:07:46.746325 138795964425728 run.py:722] (val) algo binary_search step 4550: {'return': 0.804931640625, 'score': 0.804931640625, 'examples_seen': 349784, 'step': 4550, 'algorithm': 'binary_search'}
I0716 13:07:48.887376 138795964425728 run.py:722] (val) algo binary_search step 4600: {'return': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 353623, 'step': 4600, 'algorithm': 'binary_search'}
I0716 13:07:51.023797 138795964425728 run.py:722] (val) algo binary_search step 4650: {'return': 0.89306640625, 'score': 0.89306640625, 'examples_seen': 357470, 'step': 4650, 'algorithm': 'binary_search'}
I0716 13:07:53.165531 138795964425728 run.py:722] (val) algo binary_search step 4700: {'return': 0.893798828125, 'score': 0.893798828125, 'examples_seen': 361283, 'step': 4700, 'algorithm': 'binary_search'}
I0716 13:07:55.300267 138795964425728 run.py:722] (val) algo binary_search step 4750: {'return': 0.92431640625, 'score': 0.92431640625, 'examples_seen': 365094, 'step': 4750, 'algorithm': 'binary_search'}
I0716 13:07:57.432364 138795964425728 run.py:722] (val) algo binary_search step 4800: {'return': 0.873046875, 'score': 0.873046875, 'examples_seen': 368928, 'step': 4800, 'algorithm': 'binary_search'}
I0716 13:07:59.548098 138795964425728 run.py:722] (val) algo binary_search step 4850: {'return': 0.87255859375, 'score': 0.87255859375, 'examples_seen': 372805, 'step': 4850, 'algorithm': 'binary_search'}
I0716 13:08:01.689810 138795964425728 run.py:722] (val) algo binary_search step 4900: {'return': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 376682, 'step': 4900, 'algorithm': 'binary_search'}
I0716 13:08:03.818442 138795964425728 run.py:722] (val) algo binary_search step 4950: {'return': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 380524, 'step': 4950, 'algorithm': 'binary_search'}
I0716 13:08:05.943621 138795964425728 run.py:722] (val) algo binary_search step 5000: {'return': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 384359, 'step': 5000, 'algorithm': 'binary_search'}
I0716 13:08:08.070807 138795964425728 run.py:722] (val) algo binary_search step 5050: {'return': 0.911376953125, 'score': 0.911376953125, 'examples_seen': 388186, 'step': 5050, 'algorithm': 'binary_search'}
I0716 13:08:10.200657 138795964425728 run.py:722] (val) algo binary_search step 5100: {'return': 0.84716796875, 'score': 0.84716796875, 'examples_seen': 392003, 'step': 5100, 'algorithm': 'binary_search'}
I0716 13:08:12.342196 138795964425728 run.py:722] (val) algo binary_search step 5150: {'return': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 395831, 'step': 5150, 'algorithm': 'binary_search'}
I0716 13:08:14.499581 138795964425728 run.py:722] (val) algo binary_search step 5200: {'return': 0.837890625, 'score': 0.837890625, 'examples_seen': 399719, 'step': 5200, 'algorithm': 'binary_search'}
I0716 13:08:16.678967 138795964425728 run.py:722] (val) algo binary_search step 5250: {'return': 0.85107421875, 'score': 0.85107421875, 'examples_seen': 403606, 'step': 5250, 'algorithm': 'binary_search'}
I0716 13:08:18.809840 138795964425728 run.py:722] (val) algo binary_search step 5300: {'return': 0.868896484375, 'score': 0.868896484375, 'examples_seen': 407447, 'step': 5300, 'algorithm': 'binary_search'}
