I0716 17:30:33.412954 131698539693568 run.py:722] (val) algo quicksort step 3150: {'pred': 0.787109375, 'score': 0.787109375, 'examples_seen': 109424, 'step': 3150, 'algorithm': 'quicksort'}
I0716 17:30:37.441486 131698539693568 run.py:722] (val) algo quicksort step 3200: {'pred': 0.697265625, 'score': 0.697265625, 'examples_seen': 111152, 'step': 3200, 'algorithm': 'quicksort'}
I0716 17:30:41.399249 131698539693568 run.py:722] (val) algo quicksort step 3250: {'pred': 0.775390625, 'score': 0.775390625, 'examples_seen': 112866, 'step': 3250, 'algorithm': 'quicksort'}
I0716 17:30:45.419469 131698539693568 run.py:722] (val) algo quicksort step 3300: {'pred': 0.7939453125, 'score': 0.7939453125, 'examples_seen': 114577, 'step': 3300, 'algorithm': 'quicksort'}
I0716 17:30:49.389213 131698539693568 run.py:722] (val) algo quicksort step 3350: {'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 116277, 'step': 3350, 'algorithm': 'quicksort'}
I0716 17:30:53.395248 131698539693568 run.py:722] (val) algo quicksort step 3400: {'pred': 0.80078125, 'score': 0.80078125, 'examples_seen': 118002, 'step': 3400, 'algorithm': 'quicksort'}
I0716 17:30:57.509077 131698539693568 run.py:722] (val) algo quicksort step 3450: {'pred': 0.7021484375, 'score': 0.7021484375, 'examples_seen': 119823, 'step': 3450, 'algorithm': 'quicksort'}
I0716 17:31:01.562815 131698539693568 run.py:722] (val) algo quicksort step 3500: {'pred': 0.80078125, 'score': 0.80078125, 'examples_seen': 121585, 'step': 3500, 'algorithm': 'quicksort'}
I0716 17:31:05.579974 131698539693568 run.py:722] (val) algo quicksort step 3550: {'pred': 0.712890625, 'score': 0.712890625, 'examples_seen': 123312, 'step': 3550, 'algorithm': 'quicksort'}
I0716 17:31:09.555118 131698539693568 run.py:722] (val) algo quicksort step 3600: {'pred': 0.83203125, 'score': 0.83203125, 'examples_seen': 125017, 'step': 3600, 'algorithm': 'quicksort'}
I0716 17:31:13.575769 131698539693568 run.py:722] (val) algo quicksort step 3650: {'pred': 0.7607421875, 'score': 0.7607421875, 'examples_seen': 126734, 'step': 3650, 'algorithm': 'quicksort'}
I0716 17:31:17.510299 131698539693568 run.py:722] (val) algo quicksort step 3700: {'pred': 0.826171875, 'score': 0.826171875, 'examples_seen': 128438, 'step': 3700, 'algorithm': 'quicksort'}
I0716 17:31:21.468456 131698539693568 run.py:722] (val) algo quicksort step 3750: {'pred': 0.7744140625, 'score': 0.7744140625, 'examples_seen': 130142, 'step': 3750, 'algorithm': 'quicksort'}
I0716 17:31:25.547851 131698539693568 run.py:722] (val) algo quicksort step 3800: {'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 131959, 'step': 3800, 'algorithm': 'quicksort'}
I0716 17:31:29.564782 131698539693568 run.py:722] (val) algo quicksort step 3850: {'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 133705, 'step': 3850, 'algorithm': 'quicksort'}
I0716 17:31:33.563341 131698539693568 run.py:722] (val) algo quicksort step 3900: {'pred': 0.751953125, 'score': 0.751953125, 'examples_seen': 135435, 'step': 3900, 'algorithm': 'quicksort'}
I0716 17:31:37.514284 131698539693568 run.py:722] (val) algo quicksort step 3950: {'pred': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 137144, 'step': 3950, 'algorithm': 'quicksort'}
