{'is_bridge': 0.8198970840480275, 'score': 0.8198970840480275, 'examples_seen': 61882, 'step': 3900, 'algorithm': 'bridges'}
{'is_bridge': 0.7606232294617564, 'score': 0.7606232294617564, 'examples_seen': 62670, 'step': 3950, 'algorithm': 'bridges'}
{'is_bridge': 0.7895247332686712, 'score': 0.7895247332686712, 'examples_seen': 63455, 'step': 4000, 'algorithm': 'bridges'}
{'is_bridge': 0.8157099697885195, 'score': 0.8157099697885195, 'examples_seen': 64233, 'step': 4050, 'algorithm': 'bridges'}
{'is_bridge': 0.753956834532374, 'score': 0.753956834532374, 'examples_seen': 65016, 'step': 4100, 'algorithm': 'bridges'}
{'is_bridge': 0.7568366592756837, 'score': 0.7568366592756837, 'examples_seen': 65832, 'step': 4150, 'algorithm': 'bridges'}
{'is_bridge': 0.7950987066031314, 'score': 0.7950987066031314, 'examples_seen': 66636, 'step': 4200, 'algorithm': 'bridges'}
{'is_bridge': 0.7642384105960264, 'score': 0.7642384105960264, 'examples_seen': 67428, 'step': 4250, 'algorithm': 'bridges'}
{'is_bridge': 0.7314814814814814, 'score': 0.7314814814814814, 'examples_seen': 68211, 'step': 4300, 'algorithm': 'bridges'}
{'is_bridge': 0.7136690647482015, 'score': 0.7136690647482015, 'examples_seen': 68994, 'step': 4350, 'algorithm': 'bridges'}
{'is_bridge': 0.8251946213729653, 'score': 0.8251946213729653, 'examples_seen': 69775, 'step': 4400, 'algorithm': 'bridges'}
{'is_bridge': 0.792890262751159, 'score': 0.792890262751159, 'examples_seen': 70558, 'step': 4450, 'algorithm': 'bridges'}
{'is_bridge': 0.7854183927091963, 'score': 0.7854183927091963, 'examples_seen': 71376, 'step': 4500, 'algorithm': 'bridges'}
{'is_bridge': 0.7572815533980582, 'score': 0.7572815533980582, 'examples_seen': 72190, 'step': 4550, 'algorithm': 'bridges'}
{'is_bridge': 0.8290062667860341, 'score': 0.8290062667860341, 'examples_seen': 72975, 'step': 4600, 'algorithm': 'bridges'}
