{'s': 0.98968505859375, 'score': 0.98968505859375, 'examples_seen': 300004, 'step': 3650, 'algorithm': 'matrix_chain_order'}
{'s': 0.98663330078125, 'score': 0.98663330078125, 'examples_seen': 304060, 'step': 3700, 'algorithm': 'matrix_chain_order'}
{'s': 0.9920654296875, 'score': 0.9920654296875, 'examples_seen': 308118, 'step': 3750, 'algorithm': 'matrix_chain_order'}
{'s': 0.9906005859375, 'score': 0.9906005859375, 'examples_seen': 312409, 'step': 3800, 'algorithm': 'matrix_chain_order'}
{'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 316570, 'step': 3850, 'algorithm': 'matrix_chain_order'}
{'s': 0.9906005859375, 'score': 0.9906005859375, 'examples_seen': 320654, 'step': 3900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9827880859375, 'score': 0.9827880859375, 'examples_seen': 324732, 'step': 3950, 'algorithm': 'matrix_chain_order'}
{'s': 0.9910888671875, 'score': 0.9910888671875, 'examples_seen': 328777, 'step': 4000, 'algorithm': 'matrix_chain_order'}
{'s': 0.990234375, 'score': 0.990234375, 'examples_seen': 332848, 'step': 4050, 'algorithm': 'matrix_chain_order'}
{'s': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 336897, 'step': 4100, 'algorithm': 'matrix_chain_order'}
{'s': 0.9871826171875, 'score': 0.9871826171875, 'examples_seen': 341184, 'step': 4150, 'algorithm': 'matrix_chain_order'}
{'s': 0.98846435546875, 'score': 0.98846435546875, 'examples_seen': 345331, 'step': 4200, 'algorithm': 'matrix_chain_order'}
{'s': 0.99078369140625, 'score': 0.99078369140625, 'examples_seen': 349423, 'step': 4250, 'algorithm': 'matrix_chain_order'}
{'s': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 353500, 'step': 4300, 'algorithm': 'matrix_chain_order'}
{'s': 0.991455078125, 'score': 0.991455078125, 'examples_seen': 357558, 'step': 4350, 'algorithm': 'matrix_chain_order'}
{'s': 0.9925537109375, 'score': 0.9925537109375, 'examples_seen': 361607, 'step': 4400, 'algorithm': 'matrix_chain_order'}
{'s': 0.99102783203125, 'score': 0.99102783203125, 'examples_seen': 365664, 'step': 4450, 'algorithm': 'matrix_chain_order'}
{'s': 0.99066162109375, 'score': 0.99066162109375, 'examples_seen': 369938, 'step': 4500, 'algorithm': 'matrix_chain_order'}
{'s': 0.99029541015625, 'score': 0.99029541015625, 'examples_seen': 374079, 'step': 4550, 'algorithm': 'matrix_chain_order'}
{'s': 0.9886474609375, 'score': 0.9886474609375, 'examples_seen': 378183, 'step': 4600, 'algorithm': 'matrix_chain_order'}
{'s': 0.98370361328125, 'score': 0.98370361328125, 'examples_seen': 382243, 'step': 4650, 'algorithm': 'matrix_chain_order'}
{'s': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 386304, 'step': 4700, 'algorithm': 'matrix_chain_order'}
{'s': 0.9937744140625, 'score': 0.9937744140625, 'examples_seen': 390351, 'step': 4750, 'algorithm': 'matrix_chain_order'}
{'s': 0.9771728515625, 'score': 0.9771728515625, 'examples_seen': 394402, 'step': 4800, 'algorithm': 'matrix_chain_order'}
{'s': 0.9932861328125, 'score': 0.9932861328125, 'examples_seen': 398680, 'step': 4850, 'algorithm': 'matrix_chain_order'}
{'s': 0.99322509765625, 'score': 0.99322509765625, 'examples_seen': 402829, 'step': 4900, 'algorithm': 'matrix_chain_order'}
{'s': 0.99407958984375, 'score': 0.99407958984375, 'examples_seen': 406932, 'step': 4950, 'algorithm': 'matrix_chain_order'}
{'s': 0.98748779296875, 'score': 0.98748779296875, 'examples_seen': 411000, 'step': 5000, 'algorithm': 'matrix_chain_order'}
{'s': 0.99468994140625, 'score': 0.99468994140625, 'examples_seen': 415068, 'step': 5050, 'algorithm': 'matrix_chain_order'}
{'s': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 419122, 'step': 5100, 'algorithm': 'matrix_chain_order'}
{'s': 0.9862060546875, 'score': 0.9862060546875, 'examples_seen': 423178, 'step': 5150, 'algorithm': 'matrix_chain_order'}
{'s': 0.9947509765625, 'score': 0.9947509765625, 'examples_seen': 427458, 'step': 5200, 'algorithm': 'matrix_chain_order'}
{'s': 0.98455810546875, 'score': 0.98455810546875, 'examples_seen': 431606, 'step': 5250, 'algorithm': 'matrix_chain_order'}
{'s': 0.99224853515625, 'score': 0.99224853515625, 'examples_seen': 435714, 'step': 5300, 'algorithm': 'matrix_chain_order'}
{'s': 0.98651123046875, 'score': 0.98651123046875, 'examples_seen': 439802, 'step': 5350, 'algorithm': 'matrix_chain_order'}
{'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 443843, 'step': 5400, 'algorithm': 'matrix_chain_order'}
{'s': 0.99249267578125, 'score': 0.99249267578125, 'examples_seen': 447900, 'step': 5450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9945068359375, 'score': 0.9945068359375, 'examples_seen': 451937, 'step': 5500, 'algorithm': 'matrix_chain_order'}
{'s': 0.98834228515625, 'score': 0.98834228515625, 'examples_seen': 456230, 'step': 5550, 'algorithm': 'matrix_chain_order'}
{'s': 0.99151611328125, 'score': 0.99151611328125, 'examples_seen': 460382, 'step': 5600, 'algorithm': 'matrix_chain_order'}
{'s': 0.9842529296875, 'score': 0.9842529296875, 'examples_seen': 464465, 'step': 5650, 'algorithm': 'matrix_chain_order'}
{'s': 0.99322509765625, 'score': 0.99322509765625, 'examples_seen': 468540, 'step': 5700, 'algorithm': 'matrix_chain_order'}
{'s': 0.99053955078125, 'score': 0.99053955078125, 'examples_seen': 472598, 'step': 5750, 'algorithm': 'matrix_chain_order'}
{'s': 0.99273681640625, 'score': 0.99273681640625, 'examples_seen': 476650, 'step': 5800, 'algorithm': 'matrix_chain_order'}
{'s': 0.99224853515625, 'score': 0.99224853515625, 'examples_seen': 480693, 'step': 5850, 'algorithm': 'matrix_chain_order'}
{'s': 0.9913330078125, 'score': 0.9913330078125, 'examples_seen': 484978, 'step': 5900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 489138, 'step': 5950, 'algorithm': 'matrix_chain_order'}
{'s': 0.9774169921875, 'score': 0.9774169921875, 'examples_seen': 493225, 'step': 6000, 'algorithm': 'matrix_chain_order'}
{'s': 0.99298095703125, 'score': 0.99298095703125, 'examples_seen': 497301, 'step': 6050, 'algorithm': 'matrix_chain_order'}
{'s': 0.98968505859375, 'score': 0.98968505859375, 'examples_seen': 501353, 'step': 6100, 'algorithm': 'matrix_chain_order'}
{'s': 0.99151611328125, 'score': 0.99151611328125, 'examples_seen': 505404, 'step': 6150, 'algorithm': 'matrix_chain_order'}
{'s': 0.98919677734375, 'score': 0.98919677734375, 'examples_seen': 509447, 'step': 6200, 'algorithm': 'matrix_chain_order'}
{'s': 0.98980712890625, 'score': 0.98980712890625, 'examples_seen': 513729, 'step': 6250, 'algorithm': 'matrix_chain_order'}
{'s': 0.9884033203125, 'score': 0.9884033203125, 'examples_seen': 517877, 'step': 6300, 'algorithm': 'matrix_chain_order'}
{'s': 0.99346923828125, 'score': 0.99346923828125, 'examples_seen': 521980, 'step': 6350, 'algorithm': 'matrix_chain_order'}
{'s': 0.9913330078125, 'score': 0.9913330078125, 'examples_seen': 526058, 'step': 6400, 'algorithm': 'matrix_chain_order'}
{'s': 0.99493408203125, 'score': 0.99493408203125, 'examples_seen': 530112, 'step': 6450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9901123046875, 'score': 0.9901123046875, 'examples_seen': 534174, 'step': 6500, 'algorithm': 'matrix_chain_order'}
{'s': 0.98626708984375, 'score': 0.98626708984375, 'examples_seen': 538226, 'step': 6550, 'algorithm': 'matrix_chain_order'}
{'s': 0.99334716796875, 'score': 0.99334716796875, 'examples_seen': 542517, 'step': 6600, 'algorithm': 'matrix_chain_order'}
{'s': 0.9913330078125, 'score': 0.9913330078125, 'examples_seen': 546671, 'step': 6650, 'algorithm': 'matrix_chain_order'}
{'s': 0.97259521484375, 'score': 0.97259521484375, 'examples_seen': 550759, 'step': 6700, 'algorithm': 'matrix_chain_order'}
{'s': 0.9854736328125, 'score': 0.9854736328125, 'examples_seen': 554853, 'step': 6750, 'algorithm': 'matrix_chain_order'}
{'s': 0.99188232421875, 'score': 0.99188232421875, 'examples_seen': 558906, 'step': 6800, 'algorithm': 'matrix_chain_order'}
{'s': 0.98687744140625, 'score': 0.98687744140625, 'examples_seen': 562957, 'step': 6850, 'algorithm': 'matrix_chain_order'}
{'s': 0.98663330078125, 'score': 0.98663330078125, 'examples_seen': 567008, 'step': 6900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9937744140625, 'score': 0.9937744140625, 'examples_seen': 571289, 'step': 6950, 'algorithm': 'matrix_chain_order'}
{'s': 0.98321533203125, 'score': 0.98321533203125, 'examples_seen': 575448, 'step': 7000, 'algorithm': 'matrix_chain_order'}
{'s': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 579539, 'step': 7050, 'algorithm': 'matrix_chain_order'}
{'s': 0.99395751953125, 'score': 0.99395751953125, 'examples_seen': 583617, 'step': 7100, 'algorithm': 'matrix_chain_order'}
{'s': 0.9901123046875, 'score': 0.9901123046875, 'examples_seen': 587678, 'step': 7150, 'algorithm': 'matrix_chain_order'}
{'s': 0.98907470703125, 'score': 0.98907470703125, 'examples_seen': 591723, 'step': 7200, 'algorithm': 'matrix_chain_order'}
{'s': 0.983642578125, 'score': 0.983642578125, 'examples_seen': 595781, 'step': 7250, 'algorithm': 'matrix_chain_order'}
{'s': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 600059, 'step': 7300, 'algorithm': 'matrix_chain_order'}
{'s': 0.991455078125, 'score': 0.991455078125, 'examples_seen': 604225, 'step': 7350, 'algorithm': 'matrix_chain_order'}
{'s': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 608318, 'step': 7400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9918212890625, 'score': 0.9918212890625, 'examples_seen': 612400, 'step': 7450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9918212890625, 'score': 0.9918212890625, 'examples_seen': 616466, 'step': 7500, 'algorithm': 'matrix_chain_order'}
{'s': 0.9925537109375, 'score': 0.9925537109375, 'examples_seen': 620522, 'step': 7550, 'algorithm': 'matrix_chain_order'}
{'s': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 624568, 'step': 7600, 'algorithm': 'matrix_chain_order'}
{'s': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 628853, 'step': 7650, 'algorithm': 'matrix_chain_order'}
