I0716 17:57:37.299610 136905113048576 run.py:722] (val) algo topological_sort step 2300: {'topo': 0.4453125, 'topo_head': 0.984375, 'score': 0.71484375, 'examples_seen': 43863, 'step': 2300, 'algorithm': 'topological_sort'}
I0716 17:57:38.673437 136905113048576 run.py:722] (val) algo topological_sort step 2350: {'topo': 0.3115234375, 'topo_head': 0.90625, 'score': 0.60888671875, 'examples_seen': 44802, 'step': 2350, 'algorithm': 'topological_sort'}
I0716 17:57:40.003485 136905113048576 run.py:722] (val) algo topological_sort step 2400: {'topo': 0.388671875, 'topo_head': 0.984375, 'score': 0.6865234375, 'examples_seen': 45781, 'step': 2400, 'algorithm': 'topological_sort'}
I0716 17:57:41.336205 136905113048576 run.py:722] (val) algo topological_sort step 2450: {'topo': 0.40234375, 'topo_head': 0.953125, 'score': 0.677734375, 'examples_seen': 46750, 'step': 2450, 'algorithm': 'topological_sort'}
I0716 17:57:42.664416 136905113048576 run.py:722] (val) algo topological_sort step 2500: {'topo': 0.5537109375, 'topo_head': 1.0, 'score': 0.77685546875, 'examples_seen': 47701, 'step': 2500, 'algorithm': 'topological_sort'}
I0716 17:57:43.992047 136905113048576 run.py:722] (val) algo topological_sort step 2550: {'topo': 0.4609375, 'topo_head': 0.96875, 'score': 0.71484375, 'examples_seen': 48651, 'step': 2550, 'algorithm': 'topological_sort'}
I0716 17:57:45.312736 136905113048576 run.py:722] (val) algo topological_sort step 2600: {'topo': 0.41796875, 'topo_head': 0.96875, 'score': 0.693359375, 'examples_seen': 49594, 'step': 2600, 'algorithm': 'topological_sort'}
I0716 17:57:46.683114 136905113048576 run.py:722] (val) algo topological_sort step 2650: {'topo': 0.390625, 'topo_head': 0.96875, 'score': 0.6796875, 'examples_seen': 50537, 'step': 2650, 'algorithm': 'topological_sort'}
I0716 17:57:48.050130 136905113048576 run.py:722] (val) algo topological_sort step 2700: {'topo': 0.40234375, 'topo_head': 0.984375, 'score': 0.693359375, 'examples_seen': 51491, 'step': 2700, 'algorithm': 'topological_sort'}
I0716 17:57:49.377219 136905113048576 run.py:722] (val) algo topological_sort step 2750: {'topo': 0.3642578125, 'topo_head': 0.96875, 'score': 0.66650390625, 'examples_seen': 52462, 'step': 2750, 'algorithm': 'topological_sort'}
I0716 17:57:50.728677 136905113048576 run.py:722] (val) algo topological_sort step 2800: {'topo': 0.5234375, 'topo_head': 1.0, 'score': 0.76171875, 'examples_seen': 53428, 'step': 2800, 'algorithm': 'topological_sort'}
I0716 17:57:52.065573 136905113048576 run.py:722] (val) algo topological_sort step 2850: {'topo': 0.5166015625, 'topo_head': 0.953125, 'score': 0.73486328125, 'examples_seen': 54385, 'step': 2850, 'algorithm': 'topological_sort'}
I0716 17:57:53.395627 136905113048576 run.py:722] (val) algo topological_sort step 2900: {'topo': 0.4736328125, 'topo_head': 1.0, 'score': 0.73681640625, 'examples_seen': 55330, 'step': 2900, 'algorithm': 'topological_sort'}
