{'Pi': 0.7998046875, 'score': 0.7998046875, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7930908203125, 'score': 0.7930908203125, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.75543212890625, 'score': 0.75543212890625, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.788330078125, 'score': 0.788330078125, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80950927734375, 'score': 0.80950927734375, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78680419921875, 'score': 0.78680419921875, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.811279296875, 'score': 0.811279296875, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.77349853515625, 'score': 0.77349853515625, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79351806640625, 'score': 0.79351806640625, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7978515625, 'score': 0.7978515625, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7791748046875, 'score': 0.7791748046875, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7974853515625, 'score': 0.7974853515625, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.823486328125, 'score': 0.823486328125, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79632568359375, 'score': 0.79632568359375, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7935791015625, 'score': 0.7935791015625, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80694580078125, 'score': 0.80694580078125, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79669189453125, 'score': 0.79669189453125, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7855224609375, 'score': 0.7855224609375, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84039306640625, 'score': 0.84039306640625, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7999267578125, 'score': 0.7999267578125, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83026123046875, 'score': 0.83026123046875, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.792724609375, 'score': 0.792724609375, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.810791015625, 'score': 0.810791015625, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7960205078125, 'score': 0.7960205078125, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83355712890625, 'score': 0.83355712890625, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7991943359375, 'score': 0.7991943359375, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79791259765625, 'score': 0.79791259765625, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7994384765625, 'score': 0.7994384765625, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.76153564453125, 'score': 0.76153564453125, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8228759765625, 'score': 0.8228759765625, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80572509765625, 'score': 0.80572509765625, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.795166015625, 'score': 0.795166015625, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8458251953125, 'score': 0.8458251953125, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81207275390625, 'score': 0.81207275390625, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7586669921875, 'score': 0.7586669921875, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81768798828125, 'score': 0.81768798828125, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.78814697265625, 'score': 0.78814697265625, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7803955078125, 'score': 0.7803955078125, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81549072265625, 'score': 0.81549072265625, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8099365234375, 'score': 0.8099365234375, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82781982421875, 'score': 0.82781982421875, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82421875, 'score': 0.82421875, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8121337890625, 'score': 0.8121337890625, 'examples_seen': 347280, 'step': 6750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.825927734375, 'score': 0.825927734375, 'examples_seen': 349824, 'step': 6800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.808349609375, 'score': 0.808349609375, 'examples_seen': 352368, 'step': 6850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80975341796875, 'score': 0.80975341796875, 'examples_seen': 354896, 'step': 6900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81829833984375, 'score': 0.81829833984375, 'examples_seen': 357536, 'step': 6950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81756591796875, 'score': 0.81756591796875, 'examples_seen': 360176, 'step': 7000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83050537109375, 'score': 0.83050537109375, 'examples_seen': 362720, 'step': 7050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81536865234375, 'score': 0.81536865234375, 'examples_seen': 365280, 'step': 7100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81292724609375, 'score': 0.81292724609375, 'examples_seen': 367824, 'step': 7150, 'algorithm': 'floyd_warshall'}
