I0716 16:08:05.612559 128490841785856 run.py:722] (val) algo mst_kruskal step 2200: {'in_mst': 0.7941320293398535, 'score': 0.7941320293398535, 'examples_seen': 182316, 'step': 2200, 'algorithm': 'mst_kruskal'}
I0716 16:08:08.667128 128490841785856 run.py:722] (val) algo mst_kruskal step 2250: {'in_mst': 0.715530497180933, 'score': 0.715530497180933, 'examples_seen': 186367, 'step': 2250, 'algorithm': 'mst_kruskal'}
I0716 16:08:11.855637 128490841785856 run.py:722] (val) algo mst_kruskal step 2300: {'in_mst': 0.699718309859155, 'score': 0.699718309859155, 'examples_seen': 190412, 'step': 2300, 'algorithm': 'mst_kruskal'}
I0716 16:08:15.174132 128490841785856 run.py:722] (val) algo mst_kruskal step 2350: {'in_mst': 0.6492353231376419, 'score': 0.6492353231376419, 'examples_seen': 194466, 'step': 2350, 'algorithm': 'mst_kruskal'}
I0716 16:08:18.593290 128490841785856 run.py:722] (val) algo mst_kruskal step 2400: {'in_mst': 0.7267015706806282, 'score': 0.7267015706806282, 'examples_seen': 198751, 'step': 2400, 'algorithm': 'mst_kruskal'}
I0716 16:08:21.908165 128490841785856 run.py:722] (val) algo mst_kruskal step 2450: {'in_mst': 0.783975659229209, 'score': 0.783975659229209, 'examples_seen': 202922, 'step': 2450, 'algorithm': 'mst_kruskal'}
I0716 16:08:25.150741 128490841785856 run.py:722] (val) algo mst_kruskal step 2500: {'in_mst': 0.7771226415094339, 'score': 0.7771226415094339, 'examples_seen': 207050, 'step': 2500, 'algorithm': 'mst_kruskal'}
I0716 16:08:28.440765 128490841785856 run.py:722] (val) algo mst_kruskal step 2550: {'in_mst': 0.7860642351660315, 'score': 0.7860642351660315, 'examples_seen': 211121, 'step': 2550, 'algorithm': 'mst_kruskal'}
I0716 16:08:31.581143 128490841785856 run.py:722] (val) algo mst_kruskal step 2600: {'in_mst': 0.7095823095823095, 'score': 0.7095823095823095, 'examples_seen': 215141, 'step': 2600, 'algorithm': 'mst_kruskal'}
I0716 16:08:34.679919 128490841785856 run.py:722] (val) algo mst_kruskal step 2650: {'in_mst': 0.7991218441273326, 'score': 0.7991218441273326, 'examples_seen': 219120, 'step': 2650, 'algorithm': 'mst_kruskal'}
I0716 16:08:37.900796 128490841785856 run.py:722] (val) algo mst_kruskal step 2700: {'in_mst': 0.7660056657223795, 'score': 0.7660056657223795, 'examples_seen': 223194, 'step': 2700, 'algorithm': 'mst_kruskal'}
I0716 16:08:41.175297 128490841785856 run.py:722] (val) algo mst_kruskal step 2750: {'in_mst': 0.751101321585903, 'score': 0.751101321585903, 'examples_seen': 227498, 'step': 2750, 'algorithm': 'mst_kruskal'}
I0716 16:08:44.477849 128490841785856 run.py:722] (val) algo mst_kruskal step 2800: {'in_mst': 0.7671905697445973, 'score': 0.7671905697445973, 'examples_seen': 231716, 'step': 2800, 'algorithm': 'mst_kruskal'}
I0716 16:08:47.623194 128490841785856 run.py:722] (val) algo mst_kruskal step 2850: {'in_mst': 0.785524215007983, 'score': 0.785524215007983, 'examples_seen': 235735, 'step': 2850, 'algorithm': 'mst_kruskal'}
I0716 16:08:50.990139 128490841785856 run.py:722] (val) algo mst_kruskal step 2900: {'in_mst': 0.8339587242026267, 'score': 0.8339587242026267, 'examples_seen': 239883, 'step': 2900, 'algorithm': 'mst_kruskal'}
I0716 16:08:54.294382 128490841785856 run.py:722] (val) algo mst_kruskal step 2950: {'in_mst': 0.7635270541082163, 'score': 0.7635270541082163, 'examples_seen': 244016, 'step': 2950, 'algorithm': 'mst_kruskal'}
I0716 16:08:57.610487 128490841785856 run.py:722] (val) algo mst_kruskal step 3000: {'in_mst': 0.7993003935286401, 'score': 0.7993003935286401, 'examples_seen': 248024, 'step': 3000, 'algorithm': 'mst_kruskal'}
I0716 16:09:00.988284 128490841785856 run.py:722] (val) algo mst_kruskal step 3050: {'in_mst': 0.6918103448275863, 'score': 0.6918103448275863, 'examples_seen': 252129, 'step': 3050, 'algorithm': 'mst_kruskal'}
I0716 16:09:04.204889 128490841785856 run.py:722] (val) algo mst_kruskal step 3100: {'in_mst': 0.7624242424242423, 'score': 0.7624242424242423, 'examples_seen': 256390, 'step': 3100, 'algorithm': 'mst_kruskal'}
I0716 16:09:07.462613 128490841785856 run.py:722] (val) algo mst_kruskal step 3150: {'in_mst': 0.8314298766560072, 'score': 0.8314298766560072, 'examples_seen': 260590, 'step': 3150, 'algorithm': 'mst_kruskal'}
I0716 16:09:10.992800 128490841785856 run.py:722] (val) algo mst_kruskal step 3200: {'in_mst': 0.7741147741147741, 'score': 0.7741147741147741, 'examples_seen': 264819, 'step': 3200, 'algorithm': 'mst_kruskal'}
I0716 16:09:14.372491 128490841785856 run.py:722] (val) algo mst_kruskal step 3250: {'in_mst': 0.7145993413830956, 'score': 0.7145993413830956, 'examples_seen': 268973, 'step': 3250, 'algorithm': 'mst_kruskal'}
I0716 16:09:17.679071 128490841785856 run.py:722] (val) algo mst_kruskal step 3300: {'in_mst': 0.7834593152512228, 'score': 0.7834593152512228, 'examples_seen': 272965, 'step': 3300, 'algorithm': 'mst_kruskal'}
I0716 16:09:20.770236 128490841785856 run.py:722] (val) algo mst_kruskal step 3350: {'in_mst': 0.71, 'score': 0.71, 'examples_seen': 276955, 'step': 3350, 'algorithm': 'mst_kruskal'}
I0716 16:09:23.991733 128490841785856 run.py:722] (val) algo mst_kruskal step 3400: {'in_mst': 0.7746031746031746, 'score': 0.7746031746031746, 'examples_seen': 280943, 'step': 3400, 'algorithm': 'mst_kruskal'}
I0716 16:09:27.271990 128490841785856 run.py:722] (val) algo mst_kruskal step 3450: {'in_mst': 0.8121779859484778, 'score': 0.8121779859484778, 'examples_seen': 285132, 'step': 3450, 'algorithm': 'mst_kruskal'}
I0716 16:09:30.677809 128490841785856 run.py:722] (val) algo mst_kruskal step 3500: {'in_mst': 0.8028107158541942, 'score': 0.8028107158541942, 'examples_seen': 289302, 'step': 3500, 'algorithm': 'mst_kruskal'}
