I0716 13:26:42.745794 134814337697280 run.py:722] (val) algo bubble_sort step 2250: {'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 76112, 'step': 2250, 'algorithm': 'bubble_sort'}
I0716 13:26:46.503114 134814337697280 run.py:722] (val) algo bubble_sort step 2300: {'pred': 0.875, 'score': 0.875, 'examples_seen': 77792, 'step': 2300, 'algorithm': 'bubble_sort'}
I0716 13:26:50.336134 134814337697280 run.py:722] (val) algo bubble_sort step 2350: {'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 79456, 'step': 2350, 'algorithm': 'bubble_sort'}
I0716 13:26:54.215332 134814337697280 run.py:722] (val) algo bubble_sort step 2400: {'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 81232, 'step': 2400, 'algorithm': 'bubble_sort'}
I0716 13:26:58.043959 134814337697280 run.py:722] (val) algo bubble_sort step 2450: {'pred': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 82960, 'step': 2450, 'algorithm': 'bubble_sort'}
I0716 13:27:01.798152 134814337697280 run.py:722] (val) algo bubble_sort step 2500: {'pred': 0.82421875, 'score': 0.82421875, 'examples_seen': 84640, 'step': 2500, 'algorithm': 'bubble_sort'}
I0716 13:27:05.501299 134814337697280 run.py:722] (val) algo bubble_sort step 2550: {'pred': 0.7890625, 'score': 0.7890625, 'examples_seen': 86304, 'step': 2550, 'algorithm': 'bubble_sort'}
I0716 13:27:09.261023 134814337697280 run.py:722] (val) algo bubble_sort step 2600: {'pred': 0.8125, 'score': 0.8125, 'examples_seen': 87968, 'step': 2600, 'algorithm': 'bubble_sort'}
I0716 13:27:13.002335 134814337697280 run.py:722] (val) algo bubble_sort step 2650: {'pred': 0.8037109375, 'score': 0.8037109375, 'examples_seen': 89616, 'step': 2650, 'algorithm': 'bubble_sort'}
I0716 13:27:16.738545 134814337697280 run.py:722] (val) algo bubble_sort step 2700: {'pred': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 91280, 'step': 2700, 'algorithm': 'bubble_sort'}
I0716 13:27:20.633979 134814337697280 run.py:722] (val) algo bubble_sort step 2750: {'pred': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 93072, 'step': 2750, 'algorithm': 'bubble_sort'}
I0716 13:27:24.412286 134814337697280 run.py:722] (val) algo bubble_sort step 2800: {'pred': 0.84375, 'score': 0.84375, 'examples_seen': 94800, 'step': 2800, 'algorithm': 'bubble_sort'}
I0716 13:27:28.108115 134814337697280 run.py:722] (val) algo bubble_sort step 2850: {'pred': 0.7890625, 'score': 0.7890625, 'examples_seen': 96448, 'step': 2850, 'algorithm': 'bubble_sort'}
I0716 13:27:31.884850 134814337697280 run.py:722] (val) algo bubble_sort step 2900: {'pred': 0.802734375, 'score': 0.802734375, 'examples_seen': 98144, 'step': 2900, 'algorithm': 'bubble_sort'}
I0716 13:27:35.619361 134814337697280 run.py:722] (val) algo bubble_sort step 2950: {'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 99792, 'step': 2950, 'algorithm': 'bubble_sort'}
I0716 13:27:39.396208 134814337697280 run.py:722] (val) algo bubble_sort step 3000: {'pred': 0.80078125, 'score': 0.80078125, 'examples_seen': 101456, 'step': 3000, 'algorithm': 'bubble_sort'}
I0716 13:27:43.169452 134814337697280 run.py:722] (val) algo bubble_sort step 3050: {'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 103104, 'step': 3050, 'algorithm': 'bubble_sort'}
I0716 13:27:47.058141 134814337697280 run.py:722] (val) algo bubble_sort step 3100: {'pred': 0.853515625, 'score': 0.853515625, 'examples_seen': 104880, 'step': 3100, 'algorithm': 'bubble_sort'}
I0716 13:27:50.913889 134814337697280 run.py:722] (val) algo bubble_sort step 3150: {'pred': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 106640, 'step': 3150, 'algorithm': 'bubble_sort'}
I0716 13:27:54.684010 134814337697280 run.py:722] (val) algo bubble_sort step 3200: {'pred': 0.8203125, 'score': 0.8203125, 'examples_seen': 108304, 'step': 3200, 'algorithm': 'bubble_sort'}
I0716 13:27:58.413437 134814337697280 run.py:722] (val) algo bubble_sort step 3250: {'pred': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 109968, 'step': 3250, 'algorithm': 'bubble_sort'}
I0716 13:28:02.220805 134814337697280 run.py:722] (val) algo bubble_sort step 3300: {'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 111664, 'step': 3300, 'algorithm': 'bubble_sort'}
I0716 13:28:06.007087 134814337697280 run.py:722] (val) algo bubble_sort step 3350: {'pred': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 113328, 'step': 3350, 'algorithm': 'bubble_sort'}
I0716 13:28:09.747767 134814337697280 run.py:722] (val) algo bubble_sort step 3400: {'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 114976, 'step': 3400, 'algorithm': 'bubble_sort'}
I0716 13:28:13.708139 134814337697280 run.py:722] (val) algo bubble_sort step 3450: {'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 116768, 'step': 3450, 'algorithm': 'bubble_sort'}
I0716 13:28:17.523215 134814337697280 run.py:722] (val) algo bubble_sort step 3500: {'pred': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 118480, 'step': 3500, 'algorithm': 'bubble_sort'}
I0716 13:28:21.277748 134814337697280 run.py:722] (val) algo bubble_sort step 3550: {'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 120160, 'step': 3550, 'algorithm': 'bubble_sort'}
I0716 13:28:25.101260 134814337697280 run.py:722] (val) algo bubble_sort step 3600: {'pred': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 121840, 'step': 3600, 'algorithm': 'bubble_sort'}
I0716 13:28:28.826430 134814337697280 run.py:722] (val) algo bubble_sort step 3650: {'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 123488, 'step': 3650, 'algorithm': 'bubble_sort'}
I0716 13:28:32.546097 134814337697280 run.py:722] (val) algo bubble_sort step 3700: {'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 125136, 'step': 3700, 'algorithm': 'bubble_sort'}
I0716 13:28:36.396186 134814337697280 run.py:722] (val) algo bubble_sort step 3750: {'pred': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 126816, 'step': 3750, 'algorithm': 'bubble_sort'}
I0716 13:28:40.268752 134814337697280 run.py:722] (val) algo bubble_sort step 3800: {'pred': 0.865234375, 'score': 0.865234375, 'examples_seen': 128592, 'step': 3800, 'algorithm': 'bubble_sort'}
I0716 13:28:44.070668 134814337697280 run.py:722] (val) algo bubble_sort step 3850: {'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 130304, 'step': 3850, 'algorithm': 'bubble_sort'}
I0716 13:28:47.868651 134814337697280 run.py:722] (val) algo bubble_sort step 3900: {'pred': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 132000, 'step': 3900, 'algorithm': 'bubble_sort'}
I0716 13:28:51.603968 134814337697280 run.py:722] (val) algo bubble_sort step 3950: {'pred': 0.8173828125, 'score': 0.8173828125, 'examples_seen': 133664, 'step': 3950, 'algorithm': 'bubble_sort'}
I0716 13:28:55.336475 134814337697280 run.py:722] (val) algo bubble_sort step 4000: {'pred': 0.916015625, 'score': 0.916015625, 'examples_seen': 135312, 'step': 4000, 'algorithm': 'bubble_sort'}
I0716 13:28:59.165611 134814337697280 run.py:722] (val) algo bubble_sort step 4050: {'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 136976, 'step': 4050, 'algorithm': 'bubble_sort'}
I0716 13:29:02.911860 134814337697280 run.py:722] (val) algo bubble_sort step 4100: {'pred': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 138624, 'step': 4100, 'algorithm': 'bubble_sort'}
I0716 13:29:06.859372 134814337697280 run.py:722] (val) algo bubble_sort step 4150: {'pred': 0.82421875, 'score': 0.82421875, 'examples_seen': 140448, 'step': 4150, 'algorithm': 'bubble_sort'}
