{'pred': 0.5869140625, 'score': 0.5869140625, 'examples_seen': 159744, 'step': 4600, 'algorithm': 'quicksort'}
{'pred': 0.6328125, 'score': 0.6328125, 'examples_seen': 161468, 'step': 4650, 'algorithm': 'quicksort'}
{'pred': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 163175, 'step': 4700, 'algorithm': 'quicksort'}
{'pred': 0.564453125, 'score': 0.564453125, 'examples_seen': 164879, 'step': 4750, 'algorithm': 'quicksort'}
{'pred': 0.658203125, 'score': 0.658203125, 'examples_seen': 166576, 'step': 4800, 'algorithm': 'quicksort'}
{'pred': 0.580078125, 'score': 0.580078125, 'examples_seen': 168407, 'step': 4850, 'algorithm': 'quicksort'}
{'pred': 0.62890625, 'score': 0.62890625, 'examples_seen': 170160, 'step': 4900, 'algorithm': 'quicksort'}
{'pred': 0.619140625, 'score': 0.619140625, 'examples_seen': 171890, 'step': 4950, 'algorithm': 'quicksort'}
{'pred': 0.609375, 'score': 0.609375, 'examples_seen': 173599, 'step': 5000, 'algorithm': 'quicksort'}
{'pred': 0.6787109375, 'score': 0.6787109375, 'examples_seen': 175313, 'step': 5050, 'algorithm': 'quicksort'}
{'pred': 0.6884765625, 'score': 0.6884765625, 'examples_seen': 177022, 'step': 5100, 'algorithm': 'quicksort'}
{'pred': 0.7275390625, 'score': 0.7275390625, 'examples_seen': 178730, 'step': 5150, 'algorithm': 'quicksort'}
{'pred': 0.626953125, 'score': 0.626953125, 'examples_seen': 180548, 'step': 5200, 'algorithm': 'quicksort'}
{'pred': 0.6689453125, 'score': 0.6689453125, 'examples_seen': 182320, 'step': 5250, 'algorithm': 'quicksort'}
{'pred': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 184039, 'step': 5300, 'algorithm': 'quicksort'}
{'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 185749, 'step': 5350, 'algorithm': 'quicksort'}
{'pred': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 187469, 'step': 5400, 'algorithm': 'quicksort'}
{'pred': 0.697265625, 'score': 0.697265625, 'examples_seen': 189173, 'step': 5450, 'algorithm': 'quicksort'}
{'pred': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 190881, 'step': 5500, 'algorithm': 'quicksort'}
{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 192725, 'step': 5550, 'algorithm': 'quicksort'}
{'pred': 0.669921875, 'score': 0.669921875, 'examples_seen': 194484, 'step': 5600, 'algorithm': 'quicksort'}
{'pred': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 196211, 'step': 5650, 'algorithm': 'quicksort'}
{'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 197927, 'step': 5700, 'algorithm': 'quicksort'}
{'pred': 0.59375, 'score': 0.59375, 'examples_seen': 199642, 'step': 5750, 'algorithm': 'quicksort'}
{'pred': 0.7041015625, 'score': 0.7041015625, 'examples_seen': 201346, 'step': 5800, 'algorithm': 'quicksort'}
{'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 203048, 'step': 5850, 'algorithm': 'quicksort'}
{'pred': 0.6572265625, 'score': 0.6572265625, 'examples_seen': 204883, 'step': 5900, 'algorithm': 'quicksort'}
{'pred': 0.7109375, 'score': 0.7109375, 'examples_seen': 206643, 'step': 5950, 'algorithm': 'quicksort'}
{'pred': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 208390, 'step': 6000, 'algorithm': 'quicksort'}
{'pred': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 210109, 'step': 6050, 'algorithm': 'quicksort'}
{'pred': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 211813, 'step': 6100, 'algorithm': 'quicksort'}
{'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 213516, 'step': 6150, 'algorithm': 'quicksort'}
{'pred': 0.685546875, 'score': 0.685546875, 'examples_seen': 215210, 'step': 6200, 'algorithm': 'quicksort'}
{'pred': 0.6708984375, 'score': 0.6708984375, 'examples_seen': 217031, 'step': 6250, 'algorithm': 'quicksort'}
{'pred': 0.6220703125, 'score': 0.6220703125, 'examples_seen': 218793, 'step': 6300, 'algorithm': 'quicksort'}
{'pred': 0.658203125, 'score': 0.658203125, 'examples_seen': 220515, 'step': 6350, 'algorithm': 'quicksort'}
{'pred': 0.669921875, 'score': 0.669921875, 'examples_seen': 222232, 'step': 6400, 'algorithm': 'quicksort'}
{'pred': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 223938, 'step': 6450, 'algorithm': 'quicksort'}
{'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 225652, 'step': 6500, 'algorithm': 'quicksort'}
{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 227364, 'step': 6550, 'algorithm': 'quicksort'}
{'pred': 0.7119140625, 'score': 0.7119140625, 'examples_seen': 229186, 'step': 6600, 'algorithm': 'quicksort'}
{'pred': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 230947, 'step': 6650, 'algorithm': 'quicksort'}
{'pred': 0.69140625, 'score': 0.69140625, 'examples_seen': 232676, 'step': 6700, 'algorithm': 'quicksort'}
{'pred': 0.703125, 'score': 0.703125, 'examples_seen': 234395, 'step': 6750, 'algorithm': 'quicksort'}
{'pred': 0.69140625, 'score': 0.69140625, 'examples_seen': 236102, 'step': 6800, 'algorithm': 'quicksort'}
{'pred': 0.6533203125, 'score': 0.6533203125, 'examples_seen': 237800, 'step': 6850, 'algorithm': 'quicksort'}
{'pred': 0.6748046875, 'score': 0.6748046875, 'examples_seen': 239507, 'step': 6900, 'algorithm': 'quicksort'}
{'pred': 0.669921875, 'score': 0.669921875, 'examples_seen': 241329, 'step': 6950, 'algorithm': 'quicksort'}
{'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 243088, 'step': 7000, 'algorithm': 'quicksort'}
{'pred': 0.6240234375, 'score': 0.6240234375, 'examples_seen': 244819, 'step': 7050, 'algorithm': 'quicksort'}
{'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 246526, 'step': 7100, 'algorithm': 'quicksort'}
{'pred': 0.6982421875, 'score': 0.6982421875, 'examples_seen': 248238, 'step': 7150, 'algorithm': 'quicksort'}
{'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 249948, 'step': 7200, 'algorithm': 'quicksort'}
{'pred': 0.6875, 'score': 0.6875, 'examples_seen': 251655, 'step': 7250, 'algorithm': 'quicksort'}
{'pred': 0.724609375, 'score': 0.724609375, 'examples_seen': 253484, 'step': 7300, 'algorithm': 'quicksort'}
{'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 255246, 'step': 7350, 'algorithm': 'quicksort'}
{'pred': 0.7275390625, 'score': 0.7275390625, 'examples_seen': 256973, 'step': 7400, 'algorithm': 'quicksort'}
{'pred': 0.638671875, 'score': 0.638671875, 'examples_seen': 258682, 'step': 7450, 'algorithm': 'quicksort'}
{'pred': 0.7177734375, 'score': 0.7177734375, 'examples_seen': 260394, 'step': 7500, 'algorithm': 'quicksort'}
{'pred': 0.7109375, 'score': 0.7109375, 'examples_seen': 262097, 'step': 7550, 'algorithm': 'quicksort'}
{'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 263800, 'step': 7600, 'algorithm': 'quicksort'}
{'pred': 0.6845703125, 'score': 0.6845703125, 'examples_seen': 265628, 'step': 7650, 'algorithm': 'quicksort'}
{'pred': 0.6767578125, 'score': 0.6767578125, 'examples_seen': 267397, 'step': 7700, 'algorithm': 'quicksort'}
{'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 269118, 'step': 7750, 'algorithm': 'quicksort'}
{'pred': 0.7236328125, 'score': 0.7236328125, 'examples_seen': 270847, 'step': 7800, 'algorithm': 'quicksort'}
{'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 272555, 'step': 7850, 'algorithm': 'quicksort'}
{'pred': 0.703125, 'score': 0.703125, 'examples_seen': 274264, 'step': 7900, 'algorithm': 'quicksort'}
{'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 275983, 'step': 7950, 'algorithm': 'quicksort'}
{'pred': 0.7216796875, 'score': 0.7216796875, 'examples_seen': 277816, 'step': 8000, 'algorithm': 'quicksort'}
{'pred': 0.677734375, 'score': 0.677734375, 'examples_seen': 279569, 'step': 8050, 'algorithm': 'quicksort'}
{'pred': 0.673828125, 'score': 0.673828125, 'examples_seen': 281300, 'step': 8100, 'algorithm': 'quicksort'}
{'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 283022, 'step': 8150, 'algorithm': 'quicksort'}
{'pred': 0.6552734375, 'score': 0.6552734375, 'examples_seen': 284735, 'step': 8200, 'algorithm': 'quicksort'}
{'pred': 0.662109375, 'score': 0.662109375, 'examples_seen': 286446, 'step': 8250, 'algorithm': 'quicksort'}
{'pred': 0.7236328125, 'score': 0.7236328125, 'examples_seen': 288158, 'step': 8300, 'algorithm': 'quicksort'}
{'pred': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 289996, 'step': 8350, 'algorithm': 'quicksort'}
{'pred': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 291753, 'step': 8400, 'algorithm': 'quicksort'}
{'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 293473, 'step': 8450, 'algorithm': 'quicksort'}
{'pred': 0.7099609375, 'score': 0.7099609375, 'examples_seen': 295184, 'step': 8500, 'algorithm': 'quicksort'}
{'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 296902, 'step': 8550, 'algorithm': 'quicksort'}
{'pred': 0.775390625, 'score': 0.775390625, 'examples_seen': 298609, 'step': 8600, 'algorithm': 'quicksort'}
{'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 300315, 'step': 8650, 'algorithm': 'quicksort'}
{'pred': 0.7109375, 'score': 0.7109375, 'examples_seen': 302146, 'step': 8700, 'algorithm': 'quicksort'}
{'pred': 0.7265625, 'score': 0.7265625, 'examples_seen': 303912, 'step': 8750, 'algorithm': 'quicksort'}
{'pred': 0.6884765625, 'score': 0.6884765625, 'examples_seen': 305633, 'step': 8800, 'algorithm': 'quicksort'}
{'pred': 0.7216796875, 'score': 0.7216796875, 'examples_seen': 307359, 'step': 8850, 'algorithm': 'quicksort'}
{'pred': 0.669921875, 'score': 0.669921875, 'examples_seen': 309070, 'step': 8900, 'algorithm': 'quicksort'}
{'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 310770, 'step': 8950, 'algorithm': 'quicksort'}
