{'return': 0.90087890625, 'score': 0.90087890625, 'examples_seen': 311310, 'step': 4050, 'algorithm': 'binary_search'}
{'return': 0.92529296875, 'score': 0.92529296875, 'examples_seen': 315113, 'step': 4100, 'algorithm': 'binary_search'}
{'return': 0.891357421875, 'score': 0.891357421875, 'examples_seen': 319004, 'step': 4150, 'algorithm': 'binary_search'}
{'return': 0.88916015625, 'score': 0.88916015625, 'examples_seen': 322874, 'step': 4200, 'algorithm': 'binary_search'}
{'return': 0.912841796875, 'score': 0.912841796875, 'examples_seen': 326714, 'step': 4250, 'algorithm': 'binary_search'}
{'return': 0.925048828125, 'score': 0.925048828125, 'examples_seen': 330562, 'step': 4300, 'algorithm': 'binary_search'}
{'return': 0.822021484375, 'score': 0.822021484375, 'examples_seen': 334375, 'step': 4350, 'algorithm': 'binary_search'}
{'return': 0.899169921875, 'score': 0.899169921875, 'examples_seen': 338190, 'step': 4400, 'algorithm': 'binary_search'}
{'return': 0.87060546875, 'score': 0.87060546875, 'examples_seen': 342022, 'step': 4450, 'algorithm': 'binary_search'}
{'return': 0.876953125, 'score': 0.876953125, 'examples_seen': 345912, 'step': 4500, 'algorithm': 'binary_search'}
{'return': 0.7490234375, 'score': 0.7490234375, 'examples_seen': 349784, 'step': 4550, 'algorithm': 'binary_search'}
{'return': 0.716796875, 'score': 0.716796875, 'examples_seen': 353623, 'step': 4600, 'algorithm': 'binary_search'}
{'return': 0.937255859375, 'score': 0.937255859375, 'examples_seen': 357470, 'step': 4650, 'algorithm': 'binary_search'}
{'return': 0.803466796875, 'score': 0.803466796875, 'examples_seen': 361283, 'step': 4700, 'algorithm': 'binary_search'}
{'return': 0.89892578125, 'score': 0.89892578125, 'examples_seen': 365094, 'step': 4750, 'algorithm': 'binary_search'}
{'return': 0.924072265625, 'score': 0.924072265625, 'examples_seen': 368928, 'step': 4800, 'algorithm': 'binary_search'}
{'return': 0.91552734375, 'score': 0.91552734375, 'examples_seen': 372805, 'step': 4850, 'algorithm': 'binary_search'}
