I0716 19:49:27.390992 132276257179136 run.py:722] (val) algo dfs step 2550: {'pi': 0.521484375, 'score': 0.521484375, 'examples_seen': 43712, 'step': 2550, 'algorithm': 'dfs'}
I0716 19:49:28.855053 132276257179136 run.py:722] (val) algo dfs step 2600: {'pi': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 44576, 'step': 2600, 'algorithm': 'dfs'}
I0716 19:49:30.339449 132276257179136 run.py:722] (val) algo dfs step 2650: {'pi': 0.5185546875, 'score': 0.5185546875, 'examples_seen': 45424, 'step': 2650, 'algorithm': 'dfs'}
I0716 19:49:31.783264 132276257179136 run.py:722] (val) algo dfs step 2700: {'pi': 0.513671875, 'score': 0.513671875, 'examples_seen': 46272, 'step': 2700, 'algorithm': 'dfs'}
I0716 19:49:33.272362 132276257179136 run.py:722] (val) algo dfs step 2750: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 47168, 'step': 2750, 'algorithm': 'dfs'}
I0716 19:49:34.678251 132276257179136 run.py:722] (val) algo dfs step 2800: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 48016, 'step': 2800, 'algorithm': 'dfs'}
I0716 19:49:36.136961 132276257179136 run.py:722] (val) algo dfs step 2850: {'pi': 0.53125, 'score': 0.53125, 'examples_seen': 48880, 'step': 2850, 'algorithm': 'dfs'}
I0716 19:49:37.585057 132276257179136 run.py:722] (val) algo dfs step 2900: {'pi': 0.4365234375, 'score': 0.4365234375, 'examples_seen': 49728, 'step': 2900, 'algorithm': 'dfs'}
I0716 19:49:38.990842 132276257179136 run.py:722] (val) algo dfs step 2950: {'pi': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 50608, 'step': 2950, 'algorithm': 'dfs'}
I0716 19:49:40.447941 132276257179136 run.py:722] (val) algo dfs step 3000: {'pi': 0.5390625, 'score': 0.5390625, 'examples_seen': 51424, 'step': 3000, 'algorithm': 'dfs'}
I0716 19:49:41.902504 132276257179136 run.py:722] (val) algo dfs step 3050: {'pi': 0.4716796875, 'score': 0.4716796875, 'examples_seen': 52256, 'step': 3050, 'algorithm': 'dfs'}
I0716 19:49:43.392733 132276257179136 run.py:722] (val) algo dfs step 3100: {'pi': 0.41015625, 'score': 0.41015625, 'examples_seen': 53168, 'step': 3100, 'algorithm': 'dfs'}
I0716 19:49:44.821491 132276257179136 run.py:722] (val) algo dfs step 3150: {'pi': 0.53515625, 'score': 0.53515625, 'examples_seen': 54032, 'step': 3150, 'algorithm': 'dfs'}
I0716 19:49:46.267914 132276257179136 run.py:722] (val) algo dfs step 3200: {'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 54880, 'step': 3200, 'algorithm': 'dfs'}
I0716 19:49:47.685587 132276257179136 run.py:722] (val) algo dfs step 3250: {'pi': 0.41015625, 'score': 0.41015625, 'examples_seen': 55744, 'step': 3250, 'algorithm': 'dfs'}
I0716 19:49:49.130884 132276257179136 run.py:722] (val) algo dfs step 3300: {'pi': 0.4228515625, 'score': 0.4228515625, 'examples_seen': 56576, 'step': 3300, 'algorithm': 'dfs'}
I0716 19:49:50.553079 132276257179136 run.py:722] (val) algo dfs step 3350: {'pi': 0.486328125, 'score': 0.486328125, 'examples_seen': 57424, 'step': 3350, 'algorithm': 'dfs'}
