I0716 19:58:23.499452 140603330549248 run.py:722] (val) algo dijkstra step 2950: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 166457, 'step': 2950, 'algorithm': 'dijkstra'}
I0716 19:58:25.420238 140603330549248 run.py:722] (val) algo dijkstra step 3000: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 169243, 'step': 3000, 'algorithm': 'dijkstra'}
I0716 19:58:27.451369 140603330549248 run.py:722] (val) algo dijkstra step 3050: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 172034, 'step': 3050, 'algorithm': 'dijkstra'}
I0716 19:58:29.430003 140603330549248 run.py:722] (val) algo dijkstra step 3100: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 174905, 'step': 3100, 'algorithm': 'dijkstra'}
I0716 19:58:31.361404 140603330549248 run.py:722] (val) algo dijkstra step 3150: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 177747, 'step': 3150, 'algorithm': 'dijkstra'}
I0716 19:58:33.352430 140603330549248 run.py:722] (val) algo dijkstra step 3200: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 180581, 'step': 3200, 'algorithm': 'dijkstra'}
I0716 19:58:35.251401 140603330549248 run.py:722] (val) algo dijkstra step 3250: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 183398, 'step': 3250, 'algorithm': 'dijkstra'}
I0716 19:58:37.205439 140603330549248 run.py:722] (val) algo dijkstra step 3300: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 186193, 'step': 3300, 'algorithm': 'dijkstra'}
I0716 19:58:39.152842 140603330549248 run.py:722] (val) algo dijkstra step 3350: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 189015, 'step': 3350, 'algorithm': 'dijkstra'}
I0716 19:58:41.067301 140603330549248 run.py:722] (val) algo dijkstra step 3400: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 191793, 'step': 3400, 'algorithm': 'dijkstra'}
I0716 19:58:43.148255 140603330549248 run.py:722] (val) algo dijkstra step 3450: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 194694, 'step': 3450, 'algorithm': 'dijkstra'}
I0716 19:58:45.114053 140603330549248 run.py:722] (val) algo dijkstra step 3500: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 197588, 'step': 3500, 'algorithm': 'dijkstra'}
I0716 19:58:47.006206 140603330549248 run.py:722] (val) algo dijkstra step 3550: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 200382, 'step': 3550, 'algorithm': 'dijkstra'}
I0716 19:58:49.041283 140603330549248 run.py:722] (val) algo dijkstra step 3600: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 203220, 'step': 3600, 'algorithm': 'dijkstra'}
I0716 19:58:51.017407 140603330549248 run.py:722] (val) algo dijkstra step 3650: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 206048, 'step': 3650, 'algorithm': 'dijkstra'}
I0716 19:58:52.944152 140603330549248 run.py:722] (val) algo dijkstra step 3700: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 208832, 'step': 3700, 'algorithm': 'dijkstra'}
I0716 19:58:54.856704 140603330549248 run.py:722] (val) algo dijkstra step 3750: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 211606, 'step': 3750, 'algorithm': 'dijkstra'}
I0716 19:58:56.785866 140603330549248 run.py:722] (val) algo dijkstra step 3800: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 214476, 'step': 3800, 'algorithm': 'dijkstra'}
I0716 19:58:58.744999 140603330549248 run.py:722] (val) algo dijkstra step 3850: {'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 217374, 'step': 3850, 'algorithm': 'dijkstra'}
I0716 19:59:00.661044 140603330549248 run.py:722] (val) algo dijkstra step 3900: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 220193, 'step': 3900, 'algorithm': 'dijkstra'}
I0716 19:59:02.492632 140603330549248 run.py:722] (val) algo dijkstra step 3950: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 223011, 'step': 3950, 'algorithm': 'dijkstra'}
I0716 19:59:04.350308 140603330549248 run.py:722] (val) algo dijkstra step 4000: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 225819, 'step': 4000, 'algorithm': 'dijkstra'}
I0716 19:59:06.245079 140603330549248 run.py:722] (val) algo dijkstra step 4050: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 228595, 'step': 4050, 'algorithm': 'dijkstra'}
I0716 19:59:08.213869 140603330549248 run.py:722] (val) algo dijkstra step 4100: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 231403, 'step': 4100, 'algorithm': 'dijkstra'}
I0716 19:59:10.237031 140603330549248 run.py:722] (val) algo dijkstra step 4150: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 234285, 'step': 4150, 'algorithm': 'dijkstra'}
