I0716 21:53:21.407089 130696166696448 run.py:722] (val) algo minimum step 3650: {'min': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'minimum'}
I0716 21:53:23.110415 130696166696448 run.py:722] (val) algo minimum step 3700: {'min': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'minimum'}
I0716 21:53:24.805608 130696166696448 run.py:722] (val) algo minimum step 3750: {'min': 0.985595703125, 'score': 0.985595703125, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'minimum'}
I0716 21:53:26.522421 130696166696448 run.py:722] (val) algo minimum step 3800: {'min': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'minimum'}
I0716 21:53:28.229045 130696166696448 run.py:722] (val) algo minimum step 3850: {'min': 0.97509765625, 'score': 0.97509765625, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'minimum'}
I0716 21:53:29.921088 130696166696448 run.py:722] (val) algo minimum step 3900: {'min': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'minimum'}
I0716 21:53:31.627745 130696166696448 run.py:722] (val) algo minimum step 3950: {'min': 0.978271484375, 'score': 0.978271484375, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'minimum'}
I0716 21:53:33.312666 130696166696448 run.py:722] (val) algo minimum step 4000: {'min': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'minimum'}
I0716 21:53:35.211032 130696166696448 run.py:722] (val) algo minimum step 4050: {'min': 0.978759765625, 'score': 0.978759765625, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'minimum'}
I0716 21:53:36.904248 130696166696448 run.py:722] (val) algo minimum step 4100: {'min': 0.966796875, 'score': 0.966796875, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'minimum'}
I0716 21:53:38.616958 130696166696448 run.py:722] (val) algo minimum step 4150: {'min': 0.970947265625, 'score': 0.970947265625, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'minimum'}
I0716 21:53:40.322980 130696166696448 run.py:722] (val) algo minimum step 4200: {'min': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'minimum'}
I0716 21:53:42.035332 130696166696448 run.py:722] (val) algo minimum step 4250: {'min': 0.963134765625, 'score': 0.963134765625, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'minimum'}
I0716 21:53:43.724200 130696166696448 run.py:722] (val) algo minimum step 4300: {'min': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'minimum'}
I0716 21:53:45.421510 130696166696448 run.py:722] (val) algo minimum step 4350: {'min': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'minimum'}
I0716 21:53:47.112673 130696166696448 run.py:722] (val) algo minimum step 4400: {'min': 0.969482421875, 'score': 0.969482421875, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'minimum'}
I0716 21:53:48.809566 130696166696448 run.py:722] (val) algo minimum step 4450: {'min': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'minimum'}
I0716 21:53:50.515784 130696166696448 run.py:722] (val) algo minimum step 4500: {'min': 0.962646484375, 'score': 0.962646484375, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'minimum'}
I0716 21:53:52.206597 130696166696448 run.py:722] (val) algo minimum step 4550: {'min': 0.981201171875, 'score': 0.981201171875, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'minimum'}
I0716 21:53:53.899754 130696166696448 run.py:722] (val) algo minimum step 4600: {'min': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'minimum'}
I0716 21:53:55.583957 130696166696448 run.py:722] (val) algo minimum step 4650: {'min': 0.978515625, 'score': 0.978515625, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'minimum'}
I0716 21:53:57.266775 130696166696448 run.py:722] (val) algo minimum step 4700: {'min': 0.975341796875, 'score': 0.975341796875, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'minimum'}
I0716 21:53:58.948892 130696166696448 run.py:722] (val) algo minimum step 4750: {'min': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'minimum'}
I0716 21:54:00.633734 130696166696448 run.py:722] (val) algo minimum step 4800: {'min': 0.949462890625, 'score': 0.949462890625, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'minimum'}
I0716 21:54:02.335658 130696166696448 run.py:722] (val) algo minimum step 4850: {'min': 0.975830078125, 'score': 0.975830078125, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'minimum'}
I0716 21:54:04.039804 130696166696448 run.py:722] (val) algo minimum step 4900: {'min': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'minimum'}
I0716 21:54:05.736548 130696166696448 run.py:722] (val) algo minimum step 4950: {'min': 0.960205078125, 'score': 0.960205078125, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'minimum'}
I0716 21:54:07.424071 130696166696448 run.py:722] (val) algo minimum step 5000: {'min': 0.950927734375, 'score': 0.950927734375, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'minimum'}
I0716 21:54:09.114989 130696166696448 run.py:722] (val) algo minimum step 5050: {'min': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'minimum'}
I0716 21:54:10.810525 130696166696448 run.py:722] (val) algo minimum step 5100: {'min': 0.973388671875, 'score': 0.973388671875, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'minimum'}
I0716 21:54:12.512560 130696166696448 run.py:722] (val) algo minimum step 5150: {'min': 0.975341796875, 'score': 0.975341796875, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'minimum'}
I0716 21:54:14.209095 130696166696448 run.py:722] (val) algo minimum step 5200: {'min': 0.978515625, 'score': 0.978515625, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'minimum'}
I0716 21:54:15.913754 130696166696448 run.py:722] (val) algo minimum step 5250: {'min': 0.97509765625, 'score': 0.97509765625, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'minimum'}
I0716 21:54:17.595484 130696166696448 run.py:722] (val) algo minimum step 5300: {'min': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'minimum'}
I0716 21:54:19.296128 130696166696448 run.py:722] (val) algo minimum step 5350: {'min': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'minimum'}
I0716 21:54:20.993344 130696166696448 run.py:722] (val) algo minimum step 5400: {'min': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'minimum'}
I0716 21:54:22.703159 130696166696448 run.py:722] (val) algo minimum step 5450: {'min': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'minimum'}
I0716 21:54:24.400134 130696166696448 run.py:722] (val) algo minimum step 5500: {'min': 0.975830078125, 'score': 0.975830078125, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'minimum'}
I0716 21:54:26.112323 130696166696448 run.py:722] (val) algo minimum step 5550: {'min': 0.982421875, 'score': 0.982421875, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'minimum'}
I0716 21:54:27.822537 130696166696448 run.py:722] (val) algo minimum step 5600: {'min': 0.97119140625, 'score': 0.97119140625, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'minimum'}
I0716 21:54:29.507810 130696166696448 run.py:722] (val) algo minimum step 5650: {'min': 0.97998046875, 'score': 0.97998046875, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'minimum'}
I0716 21:54:31.204043 130696166696448 run.py:722] (val) algo minimum step 5700: {'min': 0.94287109375, 'score': 0.94287109375, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'minimum'}
I0716 21:54:32.891911 130696166696448 run.py:722] (val) algo minimum step 5750: {'min': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'minimum'}
