I0716 19:40:38.588419 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4300: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 127258, 'step': 4300, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:40.603786 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4350: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 128715, 'step': 4350, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:42.797304 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4400: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 130213, 'step': 4400, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:44.944673 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4450: {'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 131686, 'step': 4450, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:46.994542 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4500: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 133197, 'step': 4500, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:49.196539 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4550: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 134690, 'step': 4550, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:51.273882 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4600: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 136172, 'step': 4600, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:53.375977 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4650: {'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 137676, 'step': 4650, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:55.542039 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4700: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 139137, 'step': 4700, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:57.652135 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4750: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 140557, 'step': 4750, 'algorithm': 'dag_shortest_paths'}
I0716 19:40:59.819384 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4800: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 142019, 'step': 4800, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:01.997832 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4850: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 143490, 'step': 4850, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:04.179896 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4900: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 144990, 'step': 4900, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:06.221119 132227552474624 run.py:722] (val) algo dag_shortest_paths step 4950: {'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 146484, 'step': 4950, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:08.330654 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5000: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 147967, 'step': 5000, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:10.396777 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5050: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 149444, 'step': 5050, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:12.697671 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5100: {'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 150917, 'step': 5100, 'algorithm': 'dag_shortest_paths'}
