I0715 09:00:56.651174 128389015430656 run.py:723] (val) algo dijkstra step 2350: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 132480, 'step': 2350, 'algorithm': 'dijkstra'}
I0715 09:00:58.518509 128389015430656 run.py:723] (val) algo dijkstra step 2400: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 135339, 'step': 2400, 'algorithm': 'dijkstra'}
I0715 09:01:00.357775 128389015430656 run.py:723] (val) algo dijkstra step 2450: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 138192, 'step': 2450, 'algorithm': 'dijkstra'}
I0715 09:01:02.296689 128389015430656 run.py:723] (val) algo dijkstra step 2500: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 141013, 'step': 2500, 'algorithm': 'dijkstra'}
I0715 09:01:04.084690 128389015430656 run.py:723] (val) algo dijkstra step 2550: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 143836, 'step': 2550, 'algorithm': 'dijkstra'}
I0715 09:01:05.915226 128389015430656 run.py:723] (val) algo dijkstra step 2600: {'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 146621, 'step': 2600, 'algorithm': 'dijkstra'}
I0715 09:01:07.701045 128389015430656 run.py:723] (val) algo dijkstra step 2650: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 149404, 'step': 2650, 'algorithm': 'dijkstra'}
I0715 09:01:09.576320 128389015430656 run.py:723] (val) algo dijkstra step 2700: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 152220, 'step': 2700, 'algorithm': 'dijkstra'}
I0715 09:01:11.438513 128389015430656 run.py:723] (val) algo dijkstra step 2750: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 155108, 'step': 2750, 'algorithm': 'dijkstra'}
I0715 09:01:13.232676 128389015430656 run.py:723] (val) algo dijkstra step 2800: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 158001, 'step': 2800, 'algorithm': 'dijkstra'}
I0715 09:01:15.063019 128389015430656 run.py:723] (val) algo dijkstra step 2850: {'pi': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 160815, 'step': 2850, 'algorithm': 'dijkstra'}
I0715 09:01:16.868279 128389015430656 run.py:723] (val) algo dijkstra step 2900: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 163649, 'step': 2900, 'algorithm': 'dijkstra'}
I0715 09:01:18.699617 128389015430656 run.py:723] (val) algo dijkstra step 2950: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 166457, 'step': 2950, 'algorithm': 'dijkstra'}
I0715 09:01:20.532810 128389015430656 run.py:723] (val) algo dijkstra step 3000: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 169243, 'step': 3000, 'algorithm': 'dijkstra'}
I0715 09:01:22.424947 128389015430656 run.py:723] (val) algo dijkstra step 3050: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 172034, 'step': 3050, 'algorithm': 'dijkstra'}
I0715 09:01:24.301927 128389015430656 run.py:723] (val) algo dijkstra step 3100: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 174905, 'step': 3100, 'algorithm': 'dijkstra'}
I0715 09:01:26.131273 128389015430656 run.py:723] (val) algo dijkstra step 3150: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 177747, 'step': 3150, 'algorithm': 'dijkstra'}
I0715 09:01:27.978925 128389015430656 run.py:723] (val) algo dijkstra step 3200: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 180581, 'step': 3200, 'algorithm': 'dijkstra'}
I0715 09:01:29.803797 128389015430656 run.py:723] (val) algo dijkstra step 3250: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 183398, 'step': 3250, 'algorithm': 'dijkstra'}
I0715 09:01:31.661294 128389015430656 run.py:723] (val) algo dijkstra step 3300: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 186193, 'step': 3300, 'algorithm': 'dijkstra'}
I0715 09:01:33.515351 128389015430656 run.py:723] (val) algo dijkstra step 3350: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 189015, 'step': 3350, 'algorithm': 'dijkstra'}
I0715 09:01:35.341342 128389015430656 run.py:723] (val) algo dijkstra step 3400: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 191793, 'step': 3400, 'algorithm': 'dijkstra'}
I0715 09:01:37.253038 128389015430656 run.py:723] (val) algo dijkstra step 3450: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 194694, 'step': 3450, 'algorithm': 'dijkstra'}
I0715 09:01:39.090017 128389015430656 run.py:723] (val) algo dijkstra step 3500: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 197588, 'step': 3500, 'algorithm': 'dijkstra'}
I0715 09:01:40.902756 128389015430656 run.py:723] (val) algo dijkstra step 3550: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 200382, 'step': 3550, 'algorithm': 'dijkstra'}
I0715 09:01:42.761427 128389015430656 run.py:723] (val) algo dijkstra step 3600: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 203220, 'step': 3600, 'algorithm': 'dijkstra'}
I0715 09:01:44.600617 128389015430656 run.py:723] (val) algo dijkstra step 3650: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 206048, 'step': 3650, 'algorithm': 'dijkstra'}
I0715 09:01:46.385867 128389015430656 run.py:723] (val) algo dijkstra step 3700: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 208832, 'step': 3700, 'algorithm': 'dijkstra'}
I0715 09:01:48.236952 128389015430656 run.py:723] (val) algo dijkstra step 3750: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 211606, 'step': 3750, 'algorithm': 'dijkstra'}
I0715 09:01:50.110404 128389015430656 run.py:723] (val) algo dijkstra step 3800: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 214476, 'step': 3800, 'algorithm': 'dijkstra'}
I0715 09:01:51.962415 128389015430656 run.py:723] (val) algo dijkstra step 3850: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 217374, 'step': 3850, 'algorithm': 'dijkstra'}
I0715 09:01:53.803414 128389015430656 run.py:723] (val) algo dijkstra step 3900: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 220193, 'step': 3900, 'algorithm': 'dijkstra'}
I0715 09:01:55.610235 128389015430656 run.py:723] (val) algo dijkstra step 3950: {'pi': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 223011, 'step': 3950, 'algorithm': 'dijkstra'}
I0715 09:01:57.407105 128389015430656 run.py:723] (val) algo dijkstra step 4000: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 225819, 'step': 4000, 'algorithm': 'dijkstra'}
I0715 09:01:59.195283 128389015430656 run.py:723] (val) algo dijkstra step 4050: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 228595, 'step': 4050, 'algorithm': 'dijkstra'}
I0715 09:02:01.115611 128389015430656 run.py:723] (val) algo dijkstra step 4100: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 231403, 'step': 4100, 'algorithm': 'dijkstra'}
I0715 09:02:03.006778 128389015430656 run.py:723] (val) algo dijkstra step 4150: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 234285, 'step': 4150, 'algorithm': 'dijkstra'}
I0715 09:02:04.837430 128389015430656 run.py:723] (val) algo dijkstra step 4200: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 237122, 'step': 4200, 'algorithm': 'dijkstra'}
I0715 09:02:06.709406 128389015430656 run.py:723] (val) algo dijkstra step 4250: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 239968, 'step': 4250, 'algorithm': 'dijkstra'}
I0715 09:02:08.555907 128389015430656 run.py:723] (val) algo dijkstra step 4300: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 242782, 'step': 4300, 'algorithm': 'dijkstra'}
I0715 09:02:10.387009 128389015430656 run.py:723] (val) algo dijkstra step 4350: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 245570, 'step': 4350, 'algorithm': 'dijkstra'}
I0715 09:02:12.240607 128389015430656 run.py:723] (val) algo dijkstra step 4400: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 248310, 'step': 4400, 'algorithm': 'dijkstra'}
I0715 09:02:14.082159 128389015430656 run.py:723] (val) algo dijkstra step 4450: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 251100, 'step': 4450, 'algorithm': 'dijkstra'}
I0715 09:02:15.967529 128389015430656 run.py:723] (val) algo dijkstra step 4500: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 253989, 'step': 4500, 'algorithm': 'dijkstra'}
I0715 09:02:17.798226 128389015430656 run.py:723] (val) algo dijkstra step 4550: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 256862, 'step': 4550, 'algorithm': 'dijkstra'}
I0715 09:02:19.595067 128389015430656 run.py:723] (val) algo dijkstra step 4600: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 259677, 'step': 4600, 'algorithm': 'dijkstra'}
I0715 09:02:21.457302 128389015430656 run.py:723] (val) algo dijkstra step 4650: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 262486, 'step': 4650, 'algorithm': 'dijkstra'}
I0715 09:02:23.270611 128389015430656 run.py:723] (val) algo dijkstra step 4700: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 265300, 'step': 4700, 'algorithm': 'dijkstra'}
I0715 09:02:25.095583 128389015430656 run.py:723] (val) algo dijkstra step 4750: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 268082, 'step': 4750, 'algorithm': 'dijkstra'}
I0715 09:02:26.951154 128389015430656 run.py:723] (val) algo dijkstra step 4800: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 270868, 'step': 4800, 'algorithm': 'dijkstra'}
I0715 09:02:28.804764 128389015430656 run.py:723] (val) algo dijkstra step 4850: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 273712, 'step': 4850, 'algorithm': 'dijkstra'}
I0715 09:02:30.637247 128389015430656 run.py:723] (val) algo dijkstra step 4900: {'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 276597, 'step': 4900, 'algorithm': 'dijkstra'}
I0715 09:02:32.473771 128389015430656 run.py:723] (val) algo dijkstra step 4950: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 279407, 'step': 4950, 'algorithm': 'dijkstra'}
I0715 09:02:34.282791 128389015430656 run.py:723] (val) algo dijkstra step 5000: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 282193, 'step': 5000, 'algorithm': 'dijkstra'}
I0715 09:02:36.064790 128389015430656 run.py:723] (val) algo dijkstra step 5050: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 284988, 'step': 5050, 'algorithm': 'dijkstra'}
I0715 09:02:37.935145 128389015430656 run.py:723] (val) algo dijkstra step 5100: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 287799, 'step': 5100, 'algorithm': 'dijkstra'}
I0715 09:02:39.821579 128389015430656 run.py:723] (val) algo dijkstra step 5150: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 290587, 'step': 5150, 'algorithm': 'dijkstra'}
I0715 09:02:41.651614 128389015430656 run.py:723] (val) algo dijkstra step 5200: {'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 293477, 'step': 5200, 'algorithm': 'dijkstra'}
I0715 09:02:43.532158 128389015430656 run.py:723] (val) algo dijkstra step 5250: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 296379, 'step': 5250, 'algorithm': 'dijkstra'}
I0715 09:02:45.313328 128389015430656 run.py:723] (val) algo dijkstra step 5300: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 299195, 'step': 5300, 'algorithm': 'dijkstra'}
I0715 09:02:47.146599 128389015430656 run.py:723] (val) algo dijkstra step 5350: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 302045, 'step': 5350, 'algorithm': 'dijkstra'}
I0715 09:02:48.972143 128389015430656 run.py:723] (val) algo dijkstra step 5400: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 304844, 'step': 5400, 'algorithm': 'dijkstra'}
I0715 09:02:50.849569 128389015430656 run.py:723] (val) algo dijkstra step 5450: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 307674, 'step': 5450, 'algorithm': 'dijkstra'}
I0715 09:02:52.758716 128389015430656 run.py:723] (val) algo dijkstra step 5500: {'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 310498, 'step': 5500, 'algorithm': 'dijkstra'}
I0715 09:02:54.590946 128389015430656 run.py:723] (val) algo dijkstra step 5550: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 313348, 'step': 5550, 'algorithm': 'dijkstra'}
