I0715 10:16:46.905498 135459720447488 run.py:723] (val) algo kmp_matcher step 2500: {'match': 0.961181640625, 'score': 0.961181640625, 'examples_seen': 42168, 'step': 2500, 'algorithm': 'kmp_matcher'}
I0715 10:16:50.620931 135459720447488 run.py:723] (val) algo kmp_matcher step 2550: {'match': 0.849365234375, 'score': 0.849365234375, 'examples_seen': 43016, 'step': 2550, 'algorithm': 'kmp_matcher'}
I0715 10:16:54.322584 135459720447488 run.py:723] (val) algo kmp_matcher step 2600: {'match': 0.92333984375, 'score': 0.92333984375, 'examples_seen': 43857, 'step': 2600, 'algorithm': 'kmp_matcher'}
I0715 10:16:58.049847 135459720447488 run.py:723] (val) algo kmp_matcher step 2650: {'match': 0.955322265625, 'score': 0.955322265625, 'examples_seen': 44700, 'step': 2650, 'algorithm': 'kmp_matcher'}
I0715 10:17:01.759898 135459720447488 run.py:723] (val) algo kmp_matcher step 2700: {'match': 0.83935546875, 'score': 0.83935546875, 'examples_seen': 45549, 'step': 2700, 'algorithm': 'kmp_matcher'}
I0715 10:17:05.463967 135459720447488 run.py:723] (val) algo kmp_matcher step 2750: {'match': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 46395, 'step': 2750, 'algorithm': 'kmp_matcher'}
I0715 10:17:09.149532 135459720447488 run.py:723] (val) algo kmp_matcher step 2800: {'match': 0.953369140625, 'score': 0.953369140625, 'examples_seen': 47240, 'step': 2800, 'algorithm': 'kmp_matcher'}
I0715 10:17:12.855436 135459720447488 run.py:723] (val) algo kmp_matcher step 2850: {'match': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 48079, 'step': 2850, 'algorithm': 'kmp_matcher'}
I0715 10:17:16.564467 135459720447488 run.py:723] (val) algo kmp_matcher step 2900: {'match': 0.924072265625, 'score': 0.924072265625, 'examples_seen': 48930, 'step': 2900, 'algorithm': 'kmp_matcher'}
I0715 10:17:20.292567 135459720447488 run.py:723] (val) algo kmp_matcher step 2950: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 49769, 'step': 2950, 'algorithm': 'kmp_matcher'}
I0715 10:17:24.050676 135459720447488 run.py:723] (val) algo kmp_matcher step 3000: {'match': 0.967041015625, 'score': 0.967041015625, 'examples_seen': 50618, 'step': 3000, 'algorithm': 'kmp_matcher'}
I0715 10:17:27.763973 135459720447488 run.py:723] (val) algo kmp_matcher step 3050: {'match': 0.938232421875, 'score': 0.938232421875, 'examples_seen': 51445, 'step': 3050, 'algorithm': 'kmp_matcher'}
I0715 10:17:31.497869 135459720447488 run.py:723] (val) algo kmp_matcher step 3100: {'match': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 52292, 'step': 3100, 'algorithm': 'kmp_matcher'}
I0715 10:17:35.220022 135459720447488 run.py:723] (val) algo kmp_matcher step 3150: {'match': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 53143, 'step': 3150, 'algorithm': 'kmp_matcher'}
I0715 10:17:38.915662 135459720447488 run.py:723] (val) algo kmp_matcher step 3200: {'match': 0.96337890625, 'score': 0.96337890625, 'examples_seen': 53984, 'step': 3200, 'algorithm': 'kmp_matcher'}
I0715 10:17:42.616017 135459720447488 run.py:723] (val) algo kmp_matcher step 3250: {'match': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 54836, 'step': 3250, 'algorithm': 'kmp_matcher'}
I0715 10:17:46.308170 135459720447488 run.py:723] (val) algo kmp_matcher step 3300: {'match': 0.94287109375, 'score': 0.94287109375, 'examples_seen': 55677, 'step': 3300, 'algorithm': 'kmp_matcher'}
I0715 10:17:50.001139 135459720447488 run.py:723] (val) algo kmp_matcher step 3350: {'match': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 56525, 'step': 3350, 'algorithm': 'kmp_matcher'}
I0715 10:17:53.701694 135459720447488 run.py:723] (val) algo kmp_matcher step 3400: {'match': 0.928955078125, 'score': 0.928955078125, 'examples_seen': 57384, 'step': 3400, 'algorithm': 'kmp_matcher'}
I0715 10:17:57.427728 135459720447488 run.py:723] (val) algo kmp_matcher step 3450: {'match': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 58253, 'step': 3450, 'algorithm': 'kmp_matcher'}
I0715 10:18:01.148979 135459720447488 run.py:723] (val) algo kmp_matcher step 3500: {'match': 0.907470703125, 'score': 0.907470703125, 'examples_seen': 59103, 'step': 3500, 'algorithm': 'kmp_matcher'}
I0715 10:18:04.878978 135459720447488 run.py:723] (val) algo kmp_matcher step 3550: {'match': 0.941650390625, 'score': 0.941650390625, 'examples_seen': 59943, 'step': 3550, 'algorithm': 'kmp_matcher'}
