I0715 12:52:57.475108 137617489782272 run.py:723] (val) algo task_scheduling step 2650: {'selected': 0.9216867469879517, 'score': 0.9216867469879517, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'task_scheduling'}
I0715 12:52:58.495372 137617489782272 run.py:723] (val) algo task_scheduling step 2700: {'selected': 0.9475920679886685, 'score': 0.9475920679886685, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'task_scheduling'}
I0715 12:52:59.524561 137617489782272 run.py:723] (val) algo task_scheduling step 2750: {'selected': 0.9393290506780871, 'score': 0.9393290506780871, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'task_scheduling'}
I0715 12:53:00.563456 137617489782272 run.py:723] (val) algo task_scheduling step 2800: {'selected': 0.9552457813646369, 'score': 0.9552457813646369, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'task_scheduling'}
I0715 12:53:01.588495 137617489782272 run.py:723] (val) algo task_scheduling step 2850: {'selected': 0.9357664233576642, 'score': 0.9357664233576642, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'task_scheduling'}
I0715 12:53:02.618769 137617489782272 run.py:723] (val) algo task_scheduling step 2900: {'selected': 0.9326788218793829, 'score': 0.9326788218793829, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'task_scheduling'}
I0715 12:53:03.629984 137617489782272 run.py:723] (val) algo task_scheduling step 2950: {'selected': 0.9454001495886313, 'score': 0.9454001495886313, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'task_scheduling'}
I0715 12:53:04.643142 137617489782272 run.py:723] (val) algo task_scheduling step 3000: {'selected': 0.9379727685325265, 'score': 0.9379727685325265, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'task_scheduling'}
I0715 12:53:05.675094 137617489782272 run.py:723] (val) algo task_scheduling step 3050: {'selected': 0.9570459683496608, 'score': 0.9570459683496608, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'task_scheduling'}
I0715 12:53:06.709591 137617489782272 run.py:723] (val) algo task_scheduling step 3100: {'selected': 0.9106999195494769, 'score': 0.9106999195494769, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'task_scheduling'}
I0715 12:53:07.729662 137617489782272 run.py:723] (val) algo task_scheduling step 3150: {'selected': 0.9426656738644825, 'score': 0.9426656738644825, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'task_scheduling'}
I0715 12:53:08.752355 137617489782272 run.py:723] (val) algo task_scheduling step 3200: {'selected': 0.9464150943396227, 'score': 0.9464150943396227, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'task_scheduling'}
I0715 12:53:09.767878 137617489782272 run.py:723] (val) algo task_scheduling step 3250: {'selected': 0.9364968597348221, 'score': 0.9364968597348221, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'task_scheduling'}
I0715 12:53:10.797163 137617489782272 run.py:723] (val) algo task_scheduling step 3300: {'selected': 0.9480712166172107, 'score': 0.9480712166172107, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'task_scheduling'}
I0715 12:53:11.792080 137617489782272 run.py:723] (val) algo task_scheduling step 3350: {'selected': 0.9476702508960573, 'score': 0.9476702508960573, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'task_scheduling'}
I0715 12:53:12.816904 137617489782272 run.py:723] (val) algo task_scheduling step 3400: {'selected': 0.9484218629715166, 'score': 0.9484218629715166, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'task_scheduling'}
I0715 12:53:13.830988 137617489782272 run.py:723] (val) algo task_scheduling step 3450: {'selected': 0.9346210995542348, 'score': 0.9346210995542348, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'task_scheduling'}
I0715 12:53:14.852735 137617489782272 run.py:723] (val) algo task_scheduling step 3500: {'selected': 0.9023789991796553, 'score': 0.9023789991796553, 'examples_seen': 139424, 'step': 3500, 'algorithm': 'task_scheduling'}
I0715 12:53:15.884631 137617489782272 run.py:723] (val) algo task_scheduling step 3550: {'selected': 0.9492273730684326, 'score': 0.9492273730684326, 'examples_seen': 141408, 'step': 3550, 'algorithm': 'task_scheduling'}
I0715 12:53:16.885366 137617489782272 run.py:723] (val) algo task_scheduling step 3600: {'selected': 0.9246963562753037, 'score': 0.9246963562753037, 'examples_seen': 143392, 'step': 3600, 'algorithm': 'task_scheduling'}
I0715 12:53:17.907486 137617489782272 run.py:723] (val) algo task_scheduling step 3650: {'selected': 0.956268221574344, 'score': 0.956268221574344, 'examples_seen': 145360, 'step': 3650, 'algorithm': 'task_scheduling'}
I0715 12:53:18.906112 137617489782272 run.py:723] (val) algo task_scheduling step 3700: {'selected': 0.9400151860288535, 'score': 0.9400151860288535, 'examples_seen': 147312, 'step': 3700, 'algorithm': 'task_scheduling'}
I0715 12:53:19.926874 137617489782272 run.py:723] (val) algo task_scheduling step 3750: {'selected': 0.9590733590733591, 'score': 0.9590733590733591, 'examples_seen': 149312, 'step': 3750, 'algorithm': 'task_scheduling'}
I0715 12:53:20.989570 137617489782272 run.py:723] (val) algo task_scheduling step 3800: {'selected': 0.949618320610687, 'score': 0.949618320610687, 'examples_seen': 151328, 'step': 3800, 'algorithm': 'task_scheduling'}
I0715 12:53:22.005923 137617489782272 run.py:723] (val) algo task_scheduling step 3850: {'selected': 0.9275766016713092, 'score': 0.9275766016713092, 'examples_seen': 153344, 'step': 3850, 'algorithm': 'task_scheduling'}
I0715 12:53:23.020396 137617489782272 run.py:723] (val) algo task_scheduling step 3900: {'selected': 0.9390787518573552, 'score': 0.9390787518573552, 'examples_seen': 155344, 'step': 3900, 'algorithm': 'task_scheduling'}
I0715 12:53:24.028769 137617489782272 run.py:723] (val) algo task_scheduling step 3950: {'selected': 0.9439880507841673, 'score': 0.9439880507841673, 'examples_seen': 157312, 'step': 3950, 'algorithm': 'task_scheduling'}
I0715 12:53:25.033978 137617489782272 run.py:723] (val) algo task_scheduling step 4000: {'selected': 0.9450381679389313, 'score': 0.9450381679389313, 'examples_seen': 159312, 'step': 4000, 'algorithm': 'task_scheduling'}
I0715 12:53:26.066614 137617489782272 run.py:723] (val) algo task_scheduling step 4050: {'selected': 0.9520912547528516, 'score': 0.9520912547528516, 'examples_seen': 161248, 'step': 4050, 'algorithm': 'task_scheduling'}
I0715 12:53:27.086521 137617489782272 run.py:723] (val) algo task_scheduling step 4100: {'selected': 0.951588502269289, 'score': 0.951588502269289, 'examples_seen': 163216, 'step': 4100, 'algorithm': 'task_scheduling'}
I0715 12:53:28.116362 137617489782272 run.py:723] (val) algo task_scheduling step 4150: {'selected': 0.9235720032180208, 'score': 0.9235720032180208, 'examples_seen': 165280, 'step': 4150, 'algorithm': 'task_scheduling'}
I0715 12:53:29.132247 137617489782272 run.py:723] (val) algo task_scheduling step 4200: {'selected': 0.9517345399698341, 'score': 0.9517345399698341, 'examples_seen': 167264, 'step': 4200, 'algorithm': 'task_scheduling'}
I0715 12:53:30.141863 137617489782272 run.py:723] (val) algo task_scheduling step 4250: {'selected': 0.938871473354232, 'score': 0.938871473354232, 'examples_seen': 169280, 'step': 4250, 'algorithm': 'task_scheduling'}
I0715 12:53:31.146567 137617489782272 run.py:723] (val) algo task_scheduling step 4300: {'selected': 0.9494047619047619, 'score': 0.9494047619047619, 'examples_seen': 171248, 'step': 4300, 'algorithm': 'task_scheduling'}
I0715 12:53:32.159614 137617489782272 run.py:723] (val) algo task_scheduling step 4350: {'selected': 0.9505247376311844, 'score': 0.9505247376311844, 'examples_seen': 173216, 'step': 4350, 'algorithm': 'task_scheduling'}
I0715 12:53:33.154834 137617489782272 run.py:723] (val) algo task_scheduling step 4400: {'selected': 0.94356005788712, 'score': 0.94356005788712, 'examples_seen': 175232, 'step': 4400, 'algorithm': 'task_scheduling'}
I0715 12:53:34.177773 137617489782272 run.py:723] (val) algo task_scheduling step 4450: {'selected': 0.963235294117647, 'score': 0.963235294117647, 'examples_seen': 177168, 'step': 4450, 'algorithm': 'task_scheduling'}
I0715 12:53:35.213186 137617489782272 run.py:723] (val) algo task_scheduling step 4500: {'selected': 0.9476082004555809, 'score': 0.9476082004555809, 'examples_seen': 179216, 'step': 4500, 'algorithm': 'task_scheduling'}
I0715 12:53:36.220403 137617489782272 run.py:723] (val) algo task_scheduling step 4550: {'selected': 0.9582089552238806, 'score': 0.9582089552238806, 'examples_seen': 181232, 'step': 4550, 'algorithm': 'task_scheduling'}
I0715 12:53:37.258096 137617489782272 run.py:723] (val) algo task_scheduling step 4600: {'selected': 0.9374550682961899, 'score': 0.9374550682961899, 'examples_seen': 183216, 'step': 4600, 'algorithm': 'task_scheduling'}
I0715 12:53:38.261112 137617489782272 run.py:723] (val) algo task_scheduling step 4650: {'selected': 0.9369779802581625, 'score': 0.9369779802581625, 'examples_seen': 185200, 'step': 4650, 'algorithm': 'task_scheduling'}
