{'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 125017, 'step': 3600, 'algorithm': 'quicksort'}
{'pred': 0.7109375, 'score': 0.7109375, 'examples_seen': 126734, 'step': 3650, 'algorithm': 'quicksort'}
{'pred': 0.8115234375, 'score': 0.8115234375, 'examples_seen': 128438, 'step': 3700, 'algorithm': 'quicksort'}
{'pred': 0.7431640625, 'score': 0.7431640625, 'examples_seen': 130142, 'step': 3750, 'algorithm': 'quicksort'}
{'pred': 0.7177734375, 'score': 0.7177734375, 'examples_seen': 131959, 'step': 3800, 'algorithm': 'quicksort'}
{'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 133705, 'step': 3850, 'algorithm': 'quicksort'}
{'pred': 0.75390625, 'score': 0.75390625, 'examples_seen': 135435, 'step': 3900, 'algorithm': 'quicksort'}
{'pred': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 137144, 'step': 3950, 'algorithm': 'quicksort'}
{'pred': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 138862, 'step': 4000, 'algorithm': 'quicksort'}
{'pred': 0.82421875, 'score': 0.82421875, 'examples_seen': 140556, 'step': 4050, 'algorithm': 'quicksort'}
{'pred': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 142268, 'step': 4100, 'algorithm': 'quicksort'}
{'pred': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 144091, 'step': 4150, 'algorithm': 'quicksort'}
{'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 145862, 'step': 4200, 'algorithm': 'quicksort'}
{'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 147587, 'step': 4250, 'algorithm': 'quicksort'}
{'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 149316, 'step': 4300, 'algorithm': 'quicksort'}
{'pred': 0.81640625, 'score': 0.81640625, 'examples_seen': 151017, 'step': 4350, 'algorithm': 'quicksort'}
{'pred': 0.8173828125, 'score': 0.8173828125, 'examples_seen': 152731, 'step': 4400, 'algorithm': 'quicksort'}
{'pred': 0.7734375, 'score': 0.7734375, 'examples_seen': 154438, 'step': 4450, 'algorithm': 'quicksort'}
{'pred': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 156275, 'step': 4500, 'algorithm': 'quicksort'}
{'pred': 0.7509765625, 'score': 0.7509765625, 'examples_seen': 158029, 'step': 4550, 'algorithm': 'quicksort'}
{'pred': 0.7958984375, 'score': 0.7958984375, 'examples_seen': 159744, 'step': 4600, 'algorithm': 'quicksort'}
{'pred': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 161468, 'step': 4650, 'algorithm': 'quicksort'}
{'pred': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 163175, 'step': 4700, 'algorithm': 'quicksort'}
{'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 164879, 'step': 4750, 'algorithm': 'quicksort'}
{'pred': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 166576, 'step': 4800, 'algorithm': 'quicksort'}
{'pred': 0.7421875, 'score': 0.7421875, 'examples_seen': 168407, 'step': 4850, 'algorithm': 'quicksort'}
{'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 170160, 'step': 4900, 'algorithm': 'quicksort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 171890, 'step': 4950, 'algorithm': 'quicksort'}
{'pred': 0.888671875, 'score': 0.888671875, 'examples_seen': 173599, 'step': 5000, 'algorithm': 'quicksort'}
{'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 175313, 'step': 5050, 'algorithm': 'quicksort'}
{'pred': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 177022, 'step': 5100, 'algorithm': 'quicksort'}
{'pred': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 178730, 'step': 5150, 'algorithm': 'quicksort'}
{'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 180548, 'step': 5200, 'algorithm': 'quicksort'}
{'pred': 0.8203125, 'score': 0.8203125, 'examples_seen': 182320, 'step': 5250, 'algorithm': 'quicksort'}
{'pred': 0.828125, 'score': 0.828125, 'examples_seen': 184039, 'step': 5300, 'algorithm': 'quicksort'}
{'pred': 0.763671875, 'score': 0.763671875, 'examples_seen': 185749, 'step': 5350, 'algorithm': 'quicksort'}
{'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 187469, 'step': 5400, 'algorithm': 'quicksort'}
{'pred': 0.7998046875, 'score': 0.7998046875, 'examples_seen': 189173, 'step': 5450, 'algorithm': 'quicksort'}
{'pred': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 190881, 'step': 5500, 'algorithm': 'quicksort'}
{'pred': 0.87890625, 'score': 0.87890625, 'examples_seen': 192725, 'step': 5550, 'algorithm': 'quicksort'}
{'pred': 0.8359375, 'score': 0.8359375, 'examples_seen': 194484, 'step': 5600, 'algorithm': 'quicksort'}
{'pred': 0.865234375, 'score': 0.865234375, 'examples_seen': 196211, 'step': 5650, 'algorithm': 'quicksort'}
{'pred': 0.83203125, 'score': 0.83203125, 'examples_seen': 197927, 'step': 5700, 'algorithm': 'quicksort'}
{'pred': 0.7666015625, 'score': 0.7666015625, 'examples_seen': 199642, 'step': 5750, 'algorithm': 'quicksort'}
{'pred': 0.8349609375, 'score': 0.8349609375, 'examples_seen': 201346, 'step': 5800, 'algorithm': 'quicksort'}
{'pred': 0.765625, 'score': 0.765625, 'examples_seen': 203048, 'step': 5850, 'algorithm': 'quicksort'}
{'pred': 0.8232421875, 'score': 0.8232421875, 'examples_seen': 204883, 'step': 5900, 'algorithm': 'quicksort'}
{'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 206643, 'step': 5950, 'algorithm': 'quicksort'}
{'pred': 0.8515625, 'score': 0.8515625, 'examples_seen': 208390, 'step': 6000, 'algorithm': 'quicksort'}
{'pred': 0.8818359375, 'score': 0.8818359375, 'examples_seen': 210109, 'step': 6050, 'algorithm': 'quicksort'}
{'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 211813, 'step': 6100, 'algorithm': 'quicksort'}
{'pred': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 213516, 'step': 6150, 'algorithm': 'quicksort'}
{'pred': 0.806640625, 'score': 0.806640625, 'examples_seen': 215210, 'step': 6200, 'algorithm': 'quicksort'}
{'pred': 0.8291015625, 'score': 0.8291015625, 'examples_seen': 217031, 'step': 6250, 'algorithm': 'quicksort'}
{'pred': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 218793, 'step': 6300, 'algorithm': 'quicksort'}
{'pred': 0.7978515625, 'score': 0.7978515625, 'examples_seen': 220515, 'step': 6350, 'algorithm': 'quicksort'}
{'pred': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 222232, 'step': 6400, 'algorithm': 'quicksort'}
{'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 223938, 'step': 6450, 'algorithm': 'quicksort'}
{'pred': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 225652, 'step': 6500, 'algorithm': 'quicksort'}
{'pred': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 227364, 'step': 6550, 'algorithm': 'quicksort'}
{'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 229186, 'step': 6600, 'algorithm': 'quicksort'}
{'pred': 0.859375, 'score': 0.859375, 'examples_seen': 230947, 'step': 6650, 'algorithm': 'quicksort'}
{'pred': 0.8427734375, 'score': 0.8427734375, 'examples_seen': 232676, 'step': 6700, 'algorithm': 'quicksort'}
{'pred': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 234395, 'step': 6750, 'algorithm': 'quicksort'}
{'pred': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 236102, 'step': 6800, 'algorithm': 'quicksort'}
{'pred': 0.818359375, 'score': 0.818359375, 'examples_seen': 237800, 'step': 6850, 'algorithm': 'quicksort'}
{'pred': 0.8349609375, 'score': 0.8349609375, 'examples_seen': 239507, 'step': 6900, 'algorithm': 'quicksort'}
{'pred': 0.86328125, 'score': 0.86328125, 'examples_seen': 241329, 'step': 6950, 'algorithm': 'quicksort'}
{'pred': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 243088, 'step': 7000, 'algorithm': 'quicksort'}
{'pred': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 244819, 'step': 7050, 'algorithm': 'quicksort'}
{'pred': 0.859375, 'score': 0.859375, 'examples_seen': 246526, 'step': 7100, 'algorithm': 'quicksort'}
{'pred': 0.798828125, 'score': 0.798828125, 'examples_seen': 248238, 'step': 7150, 'algorithm': 'quicksort'}
{'pred': 0.8427734375, 'score': 0.8427734375, 'examples_seen': 249948, 'step': 7200, 'algorithm': 'quicksort'}
{'pred': 0.830078125, 'score': 0.830078125, 'examples_seen': 251655, 'step': 7250, 'algorithm': 'quicksort'}
{'pred': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 253484, 'step': 7300, 'algorithm': 'quicksort'}
{'pred': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 255246, 'step': 7350, 'algorithm': 'quicksort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 256973, 'step': 7400, 'algorithm': 'quicksort'}
{'pred': 0.873046875, 'score': 0.873046875, 'examples_seen': 258682, 'step': 7450, 'algorithm': 'quicksort'}
{'pred': 0.8515625, 'score': 0.8515625, 'examples_seen': 260394, 'step': 7500, 'algorithm': 'quicksort'}
{'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 262097, 'step': 7550, 'algorithm': 'quicksort'}
{'pred': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 263800, 'step': 7600, 'algorithm': 'quicksort'}
{'pred': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 265628, 'step': 7650, 'algorithm': 'quicksort'}
{'pred': 0.857421875, 'score': 0.857421875, 'examples_seen': 267397, 'step': 7700, 'algorithm': 'quicksort'}
{'pred': 0.87890625, 'score': 0.87890625, 'examples_seen': 269118, 'step': 7750, 'algorithm': 'quicksort'}
{'pred': 0.83203125, 'score': 0.83203125, 'examples_seen': 270847, 'step': 7800, 'algorithm': 'quicksort'}
{'pred': 0.90234375, 'score': 0.90234375, 'examples_seen': 272555, 'step': 7850, 'algorithm': 'quicksort'}
{'pred': 0.859375, 'score': 0.859375, 'examples_seen': 274264, 'step': 7900, 'algorithm': 'quicksort'}
