I0715 08:52:53.447385 137093019534848 run.py:723] (val) algo dfs step 2250: {'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 38592, 'step': 2250, 'algorithm': 'dfs'}
I0715 08:52:54.731265 137093019534848 run.py:723] (val) algo dfs step 2300: {'pi': 0.48828125, 'score': 0.48828125, 'examples_seen': 39440, 'step': 2300, 'algorithm': 'dfs'}
I0715 08:52:56.096006 137093019534848 run.py:723] (val) algo dfs step 2350: {'pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 40272, 'step': 2350, 'algorithm': 'dfs'}
I0715 08:52:57.437994 137093019534848 run.py:723] (val) algo dfs step 2400: {'pi': 0.4921875, 'score': 0.4921875, 'examples_seen': 41152, 'step': 2400, 'algorithm': 'dfs'}
I0715 08:52:58.787827 137093019534848 run.py:723] (val) algo dfs step 2450: {'pi': 0.5341796875, 'score': 0.5341796875, 'examples_seen': 42032, 'step': 2450, 'algorithm': 'dfs'}
I0715 08:53:00.092653 137093019534848 run.py:723] (val) algo dfs step 2500: {'pi': 0.5517578125, 'score': 0.5517578125, 'examples_seen': 42864, 'step': 2500, 'algorithm': 'dfs'}
I0715 08:53:01.460454 137093019534848 run.py:723] (val) algo dfs step 2550: {'pi': 0.478515625, 'score': 0.478515625, 'examples_seen': 43712, 'step': 2550, 'algorithm': 'dfs'}
I0715 08:53:02.817190 137093019534848 run.py:723] (val) algo dfs step 2600: {'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 44576, 'step': 2600, 'algorithm': 'dfs'}
I0715 08:53:04.185660 137093019534848 run.py:723] (val) algo dfs step 2650: {'pi': 0.5029296875, 'score': 0.5029296875, 'examples_seen': 45424, 'step': 2650, 'algorithm': 'dfs'}
I0715 08:53:05.524041 137093019534848 run.py:723] (val) algo dfs step 2700: {'pi': 0.470703125, 'score': 0.470703125, 'examples_seen': 46272, 'step': 2700, 'algorithm': 'dfs'}
I0715 08:53:06.923008 137093019534848 run.py:723] (val) algo dfs step 2750: {'pi': 0.4921875, 'score': 0.4921875, 'examples_seen': 47168, 'step': 2750, 'algorithm': 'dfs'}
I0715 08:53:08.246013 137093019534848 run.py:723] (val) algo dfs step 2800: {'pi': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 48016, 'step': 2800, 'algorithm': 'dfs'}
