I0715 09:39:25.408602 124715881965056 run.py:723] (val) algo heapsort step 2400: {'pred': 0.607421875, 'score': 0.607421875, 'examples_seen': 37310, 'step': 2400, 'algorithm': 'heapsort'}
I0715 09:39:28.657431 124715881965056 run.py:723] (val) algo heapsort step 2450: {'pred': 0.6044921875, 'score': 0.6044921875, 'examples_seen': 38092, 'step': 2450, 'algorithm': 'heapsort'}
I0715 09:39:31.916769 124715881965056 run.py:723] (val) algo heapsort step 2500: {'pred': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 38867, 'step': 2500, 'algorithm': 'heapsort'}
I0715 09:39:35.152992 124715881965056 run.py:723] (val) algo heapsort step 2550: {'pred': 0.638671875, 'score': 0.638671875, 'examples_seen': 39634, 'step': 2550, 'algorithm': 'heapsort'}
I0715 09:39:38.389921 124715881965056 run.py:723] (val) algo heapsort step 2600: {'pred': 0.62890625, 'score': 0.62890625, 'examples_seen': 40404, 'step': 2600, 'algorithm': 'heapsort'}
I0715 09:39:41.618972 124715881965056 run.py:723] (val) algo heapsort step 2650: {'pred': 0.68359375, 'score': 0.68359375, 'examples_seen': 41170, 'step': 2650, 'algorithm': 'heapsort'}
I0715 09:39:44.896225 124715881965056 run.py:723] (val) algo heapsort step 2700: {'pred': 0.6640625, 'score': 0.6640625, 'examples_seen': 41939, 'step': 2700, 'algorithm': 'heapsort'}
I0715 09:39:48.195124 124715881965056 run.py:723] (val) algo heapsort step 2750: {'pred': 0.6640625, 'score': 0.6640625, 'examples_seen': 42744, 'step': 2750, 'algorithm': 'heapsort'}
I0715 09:39:51.445410 124715881965056 run.py:723] (val) algo heapsort step 2800: {'pred': 0.671875, 'score': 0.671875, 'examples_seen': 43535, 'step': 2800, 'algorithm': 'heapsort'}
I0715 09:39:54.699865 124715881965056 run.py:723] (val) algo heapsort step 2850: {'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 44306, 'step': 2850, 'algorithm': 'heapsort'}
I0715 09:39:57.974436 124715881965056 run.py:723] (val) algo heapsort step 2900: {'pred': 0.6318359375, 'score': 0.6318359375, 'examples_seen': 45084, 'step': 2900, 'algorithm': 'heapsort'}
