{'pred': 0.90234375, 'score': 0.90234375, 'examples_seen': 228400, 'step': 6750, 'algorithm': 'bubble_sort'}
{'pred': 0.8583984375, 'score': 0.8583984375, 'examples_seen': 230064, 'step': 6800, 'algorithm': 'bubble_sort'}
{'pred': 0.8232421875, 'score': 0.8232421875, 'examples_seen': 231728, 'step': 6850, 'algorithm': 'bubble_sort'}
{'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 233376, 'step': 6900, 'algorithm': 'bubble_sort'}
{'pred': 0.8984375, 'score': 0.8984375, 'examples_seen': 235168, 'step': 6950, 'algorithm': 'bubble_sort'}
{'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 236912, 'step': 7000, 'algorithm': 'bubble_sort'}
{'pred': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 238592, 'step': 7050, 'algorithm': 'bubble_sort'}
{'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 240240, 'step': 7100, 'algorithm': 'bubble_sort'}
{'pred': 0.884765625, 'score': 0.884765625, 'examples_seen': 241920, 'step': 7150, 'algorithm': 'bubble_sort'}
{'pred': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 243584, 'step': 7200, 'algorithm': 'bubble_sort'}
{'pred': 0.9296875, 'score': 0.9296875, 'examples_seen': 245248, 'step': 7250, 'algorithm': 'bubble_sort'}
{'pred': 0.9140625, 'score': 0.9140625, 'examples_seen': 247024, 'step': 7300, 'algorithm': 'bubble_sort'}
{'pred': 0.912109375, 'score': 0.912109375, 'examples_seen': 248720, 'step': 7350, 'algorithm': 'bubble_sort'}
{'pred': 0.91015625, 'score': 0.91015625, 'examples_seen': 250416, 'step': 7400, 'algorithm': 'bubble_sort'}
{'pred': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 252080, 'step': 7450, 'algorithm': 'bubble_sort'}
{'pred': 0.916015625, 'score': 0.916015625, 'examples_seen': 253744, 'step': 7500, 'algorithm': 'bubble_sort'}
{'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 255392, 'step': 7550, 'algorithm': 'bubble_sort'}
{'pred': 0.94140625, 'score': 0.94140625, 'examples_seen': 257072, 'step': 7600, 'algorithm': 'bubble_sort'}
{'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 258848, 'step': 7650, 'algorithm': 'bubble_sort'}
{'pred': 0.8134765625, 'score': 0.8134765625, 'examples_seen': 260560, 'step': 7700, 'algorithm': 'bubble_sort'}
{'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 262256, 'step': 7750, 'algorithm': 'bubble_sort'}
{'pred': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 263920, 'step': 7800, 'algorithm': 'bubble_sort'}
{'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 265584, 'step': 7850, 'algorithm': 'bubble_sort'}
{'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 267232, 'step': 7900, 'algorithm': 'bubble_sort'}
{'pred': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 268896, 'step': 7950, 'algorithm': 'bubble_sort'}
{'pred': 0.8876953125, 'score': 0.8876953125, 'examples_seen': 270704, 'step': 8000, 'algorithm': 'bubble_sort'}
{'pred': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 272432, 'step': 8050, 'algorithm': 'bubble_sort'}
{'pred': 0.873046875, 'score': 0.873046875, 'examples_seen': 274096, 'step': 8100, 'algorithm': 'bubble_sort'}
{'pred': 0.94140625, 'score': 0.94140625, 'examples_seen': 275776, 'step': 8150, 'algorithm': 'bubble_sort'}
{'pred': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 277440, 'step': 8200, 'algorithm': 'bubble_sort'}
{'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 279088, 'step': 8250, 'algorithm': 'bubble_sort'}
{'pred': 0.912109375, 'score': 0.912109375, 'examples_seen': 280752, 'step': 8300, 'algorithm': 'bubble_sort'}
{'pred': 0.908203125, 'score': 0.908203125, 'examples_seen': 282528, 'step': 8350, 'algorithm': 'bubble_sort'}
{'pred': 0.931640625, 'score': 0.931640625, 'examples_seen': 284256, 'step': 8400, 'algorithm': 'bubble_sort'}
{'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 285936, 'step': 8450, 'algorithm': 'bubble_sort'}
{'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 287616, 'step': 8500, 'algorithm': 'bubble_sort'}
{'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 289264, 'step': 8550, 'algorithm': 'bubble_sort'}
{'pred': 0.884765625, 'score': 0.884765625, 'examples_seen': 290944, 'step': 8600, 'algorithm': 'bubble_sort'}
{'pred': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 292592, 'step': 8650, 'algorithm': 'bubble_sort'}
{'pred': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 294368, 'step': 8700, 'algorithm': 'bubble_sort'}
{'pred': 0.869140625, 'score': 0.869140625, 'examples_seen': 296096, 'step': 8750, 'algorithm': 'bubble_sort'}
{'pred': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 297776, 'step': 8800, 'algorithm': 'bubble_sort'}
{'pred': 0.841796875, 'score': 0.841796875, 'examples_seen': 299456, 'step': 8850, 'algorithm': 'bubble_sort'}
{'pred': 0.8818359375, 'score': 0.8818359375, 'examples_seen': 301104, 'step': 8900, 'algorithm': 'bubble_sort'}
{'pred': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 302768, 'step': 8950, 'algorithm': 'bubble_sort'}
{'pred': 0.8740234375, 'score': 0.8740234375, 'examples_seen': 304448, 'step': 9000, 'algorithm': 'bubble_sort'}
{'pred': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 306240, 'step': 9050, 'algorithm': 'bubble_sort'}
{'pred': 0.896484375, 'score': 0.896484375, 'examples_seen': 307952, 'step': 9100, 'algorithm': 'bubble_sort'}
{'pred': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 309616, 'step': 9150, 'algorithm': 'bubble_sort'}
{'pred': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 311296, 'step': 9200, 'algorithm': 'bubble_sort'}
{'pred': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 312960, 'step': 9250, 'algorithm': 'bubble_sort'}
