{'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 127258, 'step': 4300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 128715, 'step': 4350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 130213, 'step': 4400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 131686, 'step': 4450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 133197, 'step': 4500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 134690, 'step': 4550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 136172, 'step': 4600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 137676, 'step': 4650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 139137, 'step': 4700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 140557, 'step': 4750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 142019, 'step': 4800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 143490, 'step': 4850, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 144990, 'step': 4900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 146484, 'step': 4950, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 147967, 'step': 5000, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 149444, 'step': 5050, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9453125, 'score': 0.9453125, 'examples_seen': 150917, 'step': 5100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 152383, 'step': 5150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 153880, 'step': 5200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 155407, 'step': 5250, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 156895, 'step': 5300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 158393, 'step': 5350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 159884, 'step': 5400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 161363, 'step': 5450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 162788, 'step': 5500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 164309, 'step': 5550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 165815, 'step': 5600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 167332, 'step': 5650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 168816, 'step': 5700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 170296, 'step': 5750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 171765, 'step': 5800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 173252, 'step': 5850, 'algorithm': 'dag_shortest_paths'}
