I0716 00:32:59.737478 136599232906752 run.py:722] (val) algo naive_string_matcher step 4100: {'match': 0.998779296875, 'score': 0.998779296875, 'examples_seen': 94286, 'step': 4100, 'algorithm': 'naive_string_matcher'}
I0716 00:33:01.720597 136599232906752 run.py:722] (val) algo naive_string_matcher step 4150: {'match': 0.986328125, 'score': 0.986328125, 'examples_seen': 95437, 'step': 4150, 'algorithm': 'naive_string_matcher'}
I0716 00:33:03.723324 136599232906752 run.py:722] (val) algo naive_string_matcher step 4200: {'match': 0.9921875, 'score': 0.9921875, 'examples_seen': 96573, 'step': 4200, 'algorithm': 'naive_string_matcher'}
I0716 00:33:05.735659 136599232906752 run.py:722] (val) algo naive_string_matcher step 4250: {'match': 0.99169921875, 'score': 0.99169921875, 'examples_seen': 97748, 'step': 4250, 'algorithm': 'naive_string_matcher'}
I0716 00:33:07.773636 136599232906752 run.py:722] (val) algo naive_string_matcher step 4300: {'match': 0.999267578125, 'score': 0.999267578125, 'examples_seen': 98921, 'step': 4300, 'algorithm': 'naive_string_matcher'}
I0716 00:33:09.812201 136599232906752 run.py:722] (val) algo naive_string_matcher step 4350: {'match': 0.99609375, 'score': 0.99609375, 'examples_seen': 100063, 'step': 4350, 'algorithm': 'naive_string_matcher'}
I0716 00:33:11.828866 136599232906752 run.py:722] (val) algo naive_string_matcher step 4400: {'match': 0.995849609375, 'score': 0.995849609375, 'examples_seen': 101231, 'step': 4400, 'algorithm': 'naive_string_matcher'}
I0716 00:33:13.826078 136599232906752 run.py:722] (val) algo naive_string_matcher step 4450: {'match': 0.999267578125, 'score': 0.999267578125, 'examples_seen': 102381, 'step': 4450, 'algorithm': 'naive_string_matcher'}
I0716 00:33:15.870038 136599232906752 run.py:722] (val) algo naive_string_matcher step 4500: {'match': 0.998779296875, 'score': 0.998779296875, 'examples_seen': 103533, 'step': 4500, 'algorithm': 'naive_string_matcher'}
I0716 00:33:17.859452 136599232906752 run.py:722] (val) algo naive_string_matcher step 4550: {'match': 0.997314453125, 'score': 0.997314453125, 'examples_seen': 104695, 'step': 4550, 'algorithm': 'naive_string_matcher'}
I0716 00:33:19.849571 136599232906752 run.py:722] (val) algo naive_string_matcher step 4600: {'match': 0.998291015625, 'score': 0.998291015625, 'examples_seen': 105853, 'step': 4600, 'algorithm': 'naive_string_matcher'}
I0716 00:33:21.869487 136599232906752 run.py:722] (val) algo naive_string_matcher step 4650: {'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 106995, 'step': 4650, 'algorithm': 'naive_string_matcher'}
