I0715 21:31:14.637639 139361375352320 run.py:722] (val) algo bridges step 4650: {'is_bridge': 0.7896879240162823, 'score': 0.7896879240162823, 'examples_seen': 73768, 'step': 4650, 'algorithm': 'bridges'}
I0715 21:31:16.206593 139361375352320 run.py:722] (val) algo bridges step 4700: {'is_bridge': 0.788128606760099, 'score': 0.788128606760099, 'examples_seen': 74547, 'step': 4700, 'algorithm': 'bridges'}
I0715 21:31:17.775022 139361375352320 run.py:722] (val) algo bridges step 4750: {'is_bridge': 0.7607687210072896, 'score': 0.7607687210072896, 'examples_seen': 75326, 'step': 4750, 'algorithm': 'bridges'}
I0715 21:31:19.376768 139361375352320 run.py:722] (val) algo bridges step 4800: {'is_bridge': 0.7626774847870181, 'score': 0.7626774847870181, 'examples_seen': 76108, 'step': 4800, 'algorithm': 'bridges'}
I0715 21:31:20.969270 139361375352320 run.py:722] (val) algo bridges step 4850: {'is_bridge': 0.7671232876712328, 'score': 0.7671232876712328, 'examples_seen': 76931, 'step': 4850, 'algorithm': 'bridges'}
I0715 21:31:22.545114 139361375352320 run.py:722] (val) algo bridges step 4900: {'is_bridge': 0.7956403269754769, 'score': 0.7956403269754769, 'examples_seen': 77727, 'step': 4900, 'algorithm': 'bridges'}
I0715 21:31:24.083120 139361375352320 run.py:722] (val) algo bridges step 4950: {'is_bridge': 0.7933130699088147, 'score': 0.7933130699088147, 'examples_seen': 78527, 'step': 4950, 'algorithm': 'bridges'}
I0715 21:31:25.649125 139361375352320 run.py:722] (val) algo bridges step 5000: {'is_bridge': 0.7166337935568705, 'score': 0.7166337935568705, 'examples_seen': 79314, 'step': 5000, 'algorithm': 'bridges'}
I0715 21:31:27.223511 139361375352320 run.py:722] (val) algo bridges step 5050: {'is_bridge': 0.7669053301511536, 'score': 0.7669053301511536, 'examples_seen': 80101, 'step': 5050, 'algorithm': 'bridges'}
I0715 21:31:28.821458 139361375352320 run.py:722] (val) algo bridges step 5100: {'is_bridge': 0.8290668868703552, 'score': 0.8290668868703552, 'examples_seen': 80879, 'step': 5100, 'algorithm': 'bridges'}
I0715 21:31:30.461580 139361375352320 run.py:722] (val) algo bridges step 5150: {'is_bridge': 0.8034398034398035, 'score': 0.8034398034398035, 'examples_seen': 81662, 'step': 5150, 'algorithm': 'bridges'}
I0715 21:31:31.970564 139361375352320 run.py:722] (val) algo bridges step 5200: {'is_bridge': 0.839344262295082, 'score': 0.839344262295082, 'examples_seen': 82480, 'step': 5200, 'algorithm': 'bridges'}
I0715 21:31:33.578127 139361375352320 run.py:722] (val) algo bridges step 5250: {'is_bridge': 0.8175182481751825, 'score': 0.8175182481751825, 'examples_seen': 83294, 'step': 5250, 'algorithm': 'bridges'}
I0715 21:31:35.106302 139361375352320 run.py:722] (val) algo bridges step 5300: {'is_bridge': 0.8225584594222835, 'score': 0.8225584594222835, 'examples_seen': 84080, 'step': 5300, 'algorithm': 'bridges'}
I0715 21:31:36.690621 139361375352320 run.py:722] (val) algo bridges step 5350: {'is_bridge': 0.8016597510373443, 'score': 0.8016597510373443, 'examples_seen': 84873, 'step': 5350, 'algorithm': 'bridges'}
I0715 21:31:38.216159 139361375352320 run.py:722] (val) algo bridges step 5400: {'is_bridge': 0.8484375, 'score': 0.8484375, 'examples_seen': 85657, 'step': 5400, 'algorithm': 'bridges'}
I0715 21:31:39.795897 139361375352320 run.py:722] (val) algo bridges step 5450: {'is_bridge': 0.8365310821181888, 'score': 0.8365310821181888, 'examples_seen': 86431, 'step': 5450, 'algorithm': 'bridges'}
I0715 21:31:41.400021 139361375352320 run.py:722] (val) algo bridges step 5500: {'is_bridge': 0.7834890965732086, 'score': 0.7834890965732086, 'examples_seen': 87219, 'step': 5500, 'algorithm': 'bridges'}
I0715 21:31:42.998788 139361375352320 run.py:722] (val) algo bridges step 5550: {'is_bridge': 0.755056179775281, 'score': 0.755056179775281, 'examples_seen': 88046, 'step': 5550, 'algorithm': 'bridges'}
I0715 21:31:44.631746 139361375352320 run.py:722] (val) algo bridges step 5600: {'is_bridge': 0.6789574062301333, 'score': 0.6789574062301333, 'examples_seen': 88846, 'step': 5600, 'algorithm': 'bridges'}
I0715 21:31:46.215070 139361375352320 run.py:722] (val) algo bridges step 5650: {'is_bridge': 0.7702089009990917, 'score': 0.7702089009990917, 'examples_seen': 89638, 'step': 5650, 'algorithm': 'bridges'}
I0715 21:31:47.762489 139361375352320 run.py:722] (val) algo bridges step 5700: {'is_bridge': 0.7914012738853503, 'score': 0.7914012738853503, 'examples_seen': 90427, 'step': 5700, 'algorithm': 'bridges'}
I0715 21:31:49.354503 139361375352320 run.py:722] (val) algo bridges step 5750: {'is_bridge': 0.7483974358974359, 'score': 0.7483974358974359, 'examples_seen': 91206, 'step': 5750, 'algorithm': 'bridges'}
I0715 21:31:51.021264 139361375352320 run.py:722] (val) algo bridges step 5800: {'is_bridge': 0.8198581560283689, 'score': 0.8198581560283689, 'examples_seen': 91993, 'step': 5800, 'algorithm': 'bridges'}
I0715 21:31:52.592430 139361375352320 run.py:722] (val) algo bridges step 5850: {'is_bridge': 0.8170542635658915, 'score': 0.8170542635658915, 'examples_seen': 92776, 'step': 5850, 'algorithm': 'bridges'}
I0715 21:31:54.188791 139361375352320 run.py:722] (val) algo bridges step 5900: {'is_bridge': 0.7789084181313599, 'score': 0.7789084181313599, 'examples_seen': 93595, 'step': 5900, 'algorithm': 'bridges'}
I0715 21:31:55.807477 139361375352320 run.py:722] (val) algo bridges step 5950: {'is_bridge': 0.7868852459016393, 'score': 0.7868852459016393, 'examples_seen': 94394, 'step': 5950, 'algorithm': 'bridges'}
I0715 21:31:57.383395 139361375352320 run.py:722] (val) algo bridges step 6000: {'is_bridge': 0.7685459940652819, 'score': 0.7685459940652819, 'examples_seen': 95185, 'step': 6000, 'algorithm': 'bridges'}
I0715 21:31:58.887811 139361375352320 run.py:722] (val) algo bridges step 6050: {'is_bridge': 0.8112206216830933, 'score': 0.8112206216830933, 'examples_seen': 95970, 'step': 6050, 'algorithm': 'bridges'}
I0715 21:32:00.456680 139361375352320 run.py:722] (val) algo bridges step 6100: {'is_bridge': 0.7887323943661971, 'score': 0.7887323943661971, 'examples_seen': 96745, 'step': 6100, 'algorithm': 'bridges'}
I0715 21:32:02.049227 139361375352320 run.py:722] (val) algo bridges step 6150: {'is_bridge': 0.8098891730605285, 'score': 0.8098891730605285, 'examples_seen': 97528, 'step': 6150, 'algorithm': 'bridges'}
I0715 21:32:03.641015 139361375352320 run.py:722] (val) algo bridges step 6200: {'is_bridge': 0.830376153300213, 'score': 0.830376153300213, 'examples_seen': 98310, 'step': 6200, 'algorithm': 'bridges'}
I0715 21:32:05.228560 139361375352320 run.py:722] (val) algo bridges step 6250: {'is_bridge': 0.7524454477050414, 'score': 0.7524454477050414, 'examples_seen': 99125, 'step': 6250, 'algorithm': 'bridges'}
I0715 21:32:06.811196 139361375352320 run.py:722] (val) algo bridges step 6300: {'is_bridge': 0.8888888888888888, 'score': 0.8888888888888888, 'examples_seen': 99930, 'step': 6300, 'algorithm': 'bridges'}
I0715 21:32:08.441046 139361375352320 run.py:722] (val) algo bridges step 6350: {'is_bridge': 0.8417564208782105, 'score': 0.8417564208782105, 'examples_seen': 100714, 'step': 6350, 'algorithm': 'bridges'}
I0715 21:32:09.970397 139361375352320 run.py:722] (val) algo bridges step 6400: {'is_bridge': 0.8402832415420929, 'score': 0.8402832415420929, 'examples_seen': 101505, 'step': 6400, 'algorithm': 'bridges'}
I0715 21:32:11.512774 139361375352320 run.py:722] (val) algo bridges step 6450: {'is_bridge': 0.8551360842844601, 'score': 0.8551360842844601, 'examples_seen': 102293, 'step': 6450, 'algorithm': 'bridges'}
I0715 21:32:13.100092 139361375352320 run.py:722] (val) algo bridges step 6500: {'is_bridge': 0.7971428571428572, 'score': 0.7971428571428572, 'examples_seen': 103075, 'step': 6500, 'algorithm': 'bridges'}
I0715 21:32:14.695540 139361375352320 run.py:722] (val) algo bridges step 6550: {'is_bridge': 0.7951417004048584, 'score': 0.7951417004048584, 'examples_seen': 103854, 'step': 6550, 'algorithm': 'bridges'}
I0715 21:32:16.297845 139361375352320 run.py:722] (val) algo bridges step 6600: {'is_bridge': 0.7916102841677943, 'score': 0.7916102841677943, 'examples_seen': 104682, 'step': 6600, 'algorithm': 'bridges'}
I0715 21:32:17.872578 139361375352320 run.py:722] (val) algo bridges step 6650: {'is_bridge': 0.744636678200692, 'score': 0.744636678200692, 'examples_seen': 105484, 'step': 6650, 'algorithm': 'bridges'}
