I0716 01:07:53.938795 134993160320512 run.py:722] (val) algo quickselect step 4850: {'median': 0.1484375, 'score': 0.1484375, 'examples_seen': 156776, 'step': 4850, 'algorithm': 'quickselect'}
I0716 01:08:02.834705 134993160320512 run.py:722] (val) algo quickselect step 4900: {'median': 0.149658203125, 'score': 0.149658203125, 'examples_seen': 158405, 'step': 4900, 'algorithm': 'quickselect'}
I0716 01:08:11.929270 134993160320512 run.py:722] (val) algo quickselect step 4950: {'median': 0.1962890625, 'score': 0.1962890625, 'examples_seen': 160029, 'step': 4950, 'algorithm': 'quickselect'}
I0716 01:08:20.777045 134993160320512 run.py:722] (val) algo quickselect step 5000: {'median': 0.317626953125, 'score': 0.317626953125, 'examples_seen': 161635, 'step': 5000, 'algorithm': 'quickselect'}
I0716 01:08:29.646332 134993160320512 run.py:722] (val) algo quickselect step 5050: {'median': 0.161865234375, 'score': 0.161865234375, 'examples_seen': 163220, 'step': 5050, 'algorithm': 'quickselect'}
I0716 01:08:38.548122 134993160320512 run.py:722] (val) algo quickselect step 5100: {'median': 0.203369140625, 'score': 0.203369140625, 'examples_seen': 164818, 'step': 5100, 'algorithm': 'quickselect'}
I0716 01:08:47.447534 134993160320512 run.py:722] (val) algo quickselect step 5150: {'median': 0.30712890625, 'score': 0.30712890625, 'examples_seen': 166390, 'step': 5150, 'algorithm': 'quickselect'}
I0716 01:08:56.369123 134993160320512 run.py:722] (val) algo quickselect step 5200: {'median': 0.12353515625, 'score': 0.12353515625, 'examples_seen': 168070, 'step': 5200, 'algorithm': 'quickselect'}
I0716 01:09:05.216131 134993160320512 run.py:722] (val) algo quickselect step 5250: {'median': 0.185302734375, 'score': 0.185302734375, 'examples_seen': 169714, 'step': 5250, 'algorithm': 'quickselect'}
I0716 01:09:14.077555 134993160320512 run.py:722] (val) algo quickselect step 5300: {'median': 0.34619140625, 'score': 0.34619140625, 'examples_seen': 171322, 'step': 5300, 'algorithm': 'quickselect'}
I0716 01:09:22.951543 134993160320512 run.py:722] (val) algo quickselect step 5350: {'median': 0.237060546875, 'score': 0.237060546875, 'examples_seen': 172933, 'step': 5350, 'algorithm': 'quickselect'}
I0716 01:09:31.820765 134993160320512 run.py:722] (val) algo quickselect step 5400: {'median': 0.24267578125, 'score': 0.24267578125, 'examples_seen': 174535, 'step': 5400, 'algorithm': 'quickselect'}
I0716 01:09:40.678036 134993160320512 run.py:722] (val) algo quickselect step 5450: {'median': 0.149169921875, 'score': 0.149169921875, 'examples_seen': 176146, 'step': 5450, 'algorithm': 'quickselect'}
I0716 01:09:49.587679 134993160320512 run.py:722] (val) algo quickselect step 5500: {'median': 0.192138671875, 'score': 0.192138671875, 'examples_seen': 177726, 'step': 5500, 'algorithm': 'quickselect'}
I0716 01:09:58.487371 134993160320512 run.py:722] (val) algo quickselect step 5550: {'median': 0.207275390625, 'score': 0.207275390625, 'examples_seen': 179409, 'step': 5550, 'algorithm': 'quickselect'}
I0716 01:10:07.350789 134993160320512 run.py:722] (val) algo quickselect step 5600: {'median': 0.19287109375, 'score': 0.19287109375, 'examples_seen': 181053, 'step': 5600, 'algorithm': 'quickselect'}
I0716 01:10:16.223143 134993160320512 run.py:722] (val) algo quickselect step 5650: {'median': 0.155517578125, 'score': 0.155517578125, 'examples_seen': 182671, 'step': 5650, 'algorithm': 'quickselect'}
I0716 01:10:25.061447 134993160320512 run.py:722] (val) algo quickselect step 5700: {'median': 0.1064453125, 'score': 0.1064453125, 'examples_seen': 184253, 'step': 5700, 'algorithm': 'quickselect'}
I0716 01:10:33.923755 134993160320512 run.py:722] (val) algo quickselect step 5750: {'median': 0.093505859375, 'score': 0.093505859375, 'examples_seen': 185836, 'step': 5750, 'algorithm': 'quickselect'}
I0716 01:10:42.800954 134993160320512 run.py:722] (val) algo quickselect step 5800: {'median': 0.19091796875, 'score': 0.19091796875, 'examples_seen': 187413, 'step': 5800, 'algorithm': 'quickselect'}
I0716 01:10:51.719845 134993160320512 run.py:722] (val) algo quickselect step 5850: {'median': 0.17041015625, 'score': 0.17041015625, 'examples_seen': 188997, 'step': 5850, 'algorithm': 'quickselect'}
I0716 01:11:00.624289 134993160320512 run.py:722] (val) algo quickselect step 5900: {'median': 0.1171875, 'score': 0.1171875, 'examples_seen': 190694, 'step': 5900, 'algorithm': 'quickselect'}
I0716 01:11:09.513719 134993160320512 run.py:722] (val) algo quickselect step 5950: {'median': 0.139892578125, 'score': 0.139892578125, 'examples_seen': 192329, 'step': 5950, 'algorithm': 'quickselect'}
I0716 01:11:18.392149 134993160320512 run.py:722] (val) algo quickselect step 6000: {'median': 0.1513671875, 'score': 0.1513671875, 'examples_seen': 193942, 'step': 6000, 'algorithm': 'quickselect'}
