{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 627068, 'step': 5250, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 633086, 'step': 5300, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 639045, 'step': 5350, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 645016, 'step': 5400, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 650958, 'step': 5450, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 656844, 'step': 5500, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 662918, 'step': 5550, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 668891, 'step': 5600, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 674844, 'step': 5650, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 680768, 'step': 5700, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 686740, 'step': 5750, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 692652, 'step': 5800, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 698619, 'step': 5850, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 704702, 'step': 5900, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 710762, 'step': 5950, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 716744, 'step': 6000, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 722681, 'step': 6050, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 728575, 'step': 6100, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 734546, 'step': 6150, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 740503, 'step': 6200, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 746564, 'step': 6250, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 752614, 'step': 6300, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 758584, 'step': 6350, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 764622, 'step': 6400, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 770635, 'step': 6450, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 776540, 'step': 6500, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 782467, 'step': 6550, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 788563, 'step': 6600, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 794579, 'step': 6650, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 800565, 'step': 6700, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 806549, 'step': 6750, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 812466, 'step': 6800, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 818395, 'step': 6850, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 824270, 'step': 6900, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 830340, 'step': 6950, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 836376, 'step': 7000, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 842403, 'step': 7050, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 848387, 'step': 7100, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 854378, 'step': 7150, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 860303, 'step': 7200, 'algorithm': 'bfs'}
