I0715 22:32:13.201457 134048692930048 run.py:722] (val) algo graham_scan step 3550: {'in_hull': 0.96875, 'score': 0.96875, 'examples_seen': 105640, 'step': 3550, 'algorithm': 'graham_scan'}
I0715 22:32:14.412616 134048692930048 run.py:722] (val) algo graham_scan step 3600: {'in_hull': 0.9609856262833676, 'score': 0.9609856262833676, 'examples_seen': 107127, 'step': 3600, 'algorithm': 'graham_scan'}
I0715 22:32:15.636489 134048692930048 run.py:722] (val) algo graham_scan step 3650: {'in_hull': 0.9619978284473398, 'score': 0.9619978284473398, 'examples_seen': 108590, 'step': 3650, 'algorithm': 'graham_scan'}
I0715 22:32:16.853497 134048692930048 run.py:722] (val) algo graham_scan step 3700: {'in_hull': 0.9381965552178319, 'score': 0.9381965552178319, 'examples_seen': 110071, 'step': 3700, 'algorithm': 'graham_scan'}
I0715 22:32:18.086124 134048692930048 run.py:722] (val) algo graham_scan step 3750: {'in_hull': 0.9621621621621621, 'score': 0.9621621621621621, 'examples_seen': 111534, 'step': 3750, 'algorithm': 'graham_scan'}
I0715 22:32:19.322884 134048692930048 run.py:722] (val) algo graham_scan step 3800: {'in_hull': 0.9608465608465607, 'score': 0.9608465608465607, 'examples_seen': 113042, 'step': 3800, 'algorithm': 'graham_scan'}
I0715 22:32:20.537622 134048692930048 run.py:722] (val) algo graham_scan step 3850: {'in_hull': 0.9531737773152966, 'score': 0.9531737773152966, 'examples_seen': 114558, 'step': 3850, 'algorithm': 'graham_scan'}
I0715 22:32:21.737761 134048692930048 run.py:722] (val) algo graham_scan step 3900: {'in_hull': 0.9415384615384615, 'score': 0.9415384615384615, 'examples_seen': 116042, 'step': 3900, 'algorithm': 'graham_scan'}
I0715 22:32:22.960665 134048692930048 run.py:722] (val) algo graham_scan step 3950: {'in_hull': 0.9588744588744589, 'score': 0.9588744588744589, 'examples_seen': 117533, 'step': 3950, 'algorithm': 'graham_scan'}
I0715 22:32:24.181382 134048692930048 run.py:722] (val) algo graham_scan step 4000: {'in_hull': 0.9498910675381265, 'score': 0.9498910675381265, 'examples_seen': 119002, 'step': 4000, 'algorithm': 'graham_scan'}
I0715 22:32:25.381920 134048692930048 run.py:722] (val) algo graham_scan step 4050: {'in_hull': 0.9604166666666667, 'score': 0.9604166666666667, 'examples_seen': 120480, 'step': 4050, 'algorithm': 'graham_scan'}
I0715 22:32:26.635112 134048692930048 run.py:722] (val) algo graham_scan step 4100: {'in_hull': 0.9494079655543595, 'score': 0.9494079655543595, 'examples_seen': 121940, 'step': 4100, 'algorithm': 'graham_scan'}
I0715 22:32:27.869278 134048692930048 run.py:722] (val) algo graham_scan step 4150: {'in_hull': 0.9295478443743427, 'score': 0.9295478443743427, 'examples_seen': 123454, 'step': 4150, 'algorithm': 'graham_scan'}
I0715 22:32:29.092900 134048692930048 run.py:722] (val) algo graham_scan step 4200: {'in_hull': 0.9551569506726457, 'score': 0.9551569506726457, 'examples_seen': 124969, 'step': 4200, 'algorithm': 'graham_scan'}
I0715 22:32:30.323572 134048692930048 run.py:722] (val) algo graham_scan step 4250: {'in_hull': 0.9612244897959183, 'score': 0.9612244897959183, 'examples_seen': 126456, 'step': 4250, 'algorithm': 'graham_scan'}
I0715 22:32:31.536038 134048692930048 run.py:722] (val) algo graham_scan step 4300: {'in_hull': 0.9490114464099897, 'score': 0.9490114464099897, 'examples_seen': 127941, 'step': 4300, 'algorithm': 'graham_scan'}
I0715 22:32:32.769616 134048692930048 run.py:722] (val) algo graham_scan step 4350: {'in_hull': 0.9497326203208555, 'score': 0.9497326203208555, 'examples_seen': 129408, 'step': 4350, 'algorithm': 'graham_scan'}
I0715 22:32:34.000624 134048692930048 run.py:722] (val) algo graham_scan step 4400: {'in_hull': 0.9298245614035088, 'score': 0.9298245614035088, 'examples_seen': 130885, 'step': 4400, 'algorithm': 'graham_scan'}
I0715 22:32:35.234289 134048692930048 run.py:722] (val) algo graham_scan step 4450: {'in_hull': 0.9575371549893842, 'score': 0.9575371549893842, 'examples_seen': 132344, 'step': 4450, 'algorithm': 'graham_scan'}
I0715 22:32:36.474736 134048692930048 run.py:722] (val) algo graham_scan step 4500: {'in_hull': 0.9457700650759219, 'score': 0.9457700650759219, 'examples_seen': 133858, 'step': 4500, 'algorithm': 'graham_scan'}
I0715 22:32:37.689131 134048692930048 run.py:722] (val) algo graham_scan step 4550: {'in_hull': 0.9564315352697097, 'score': 0.9564315352697097, 'examples_seen': 135374, 'step': 4550, 'algorithm': 'graham_scan'}
I0715 22:32:38.897393 134048692930048 run.py:722] (val) algo graham_scan step 4600: {'in_hull': 0.9433962264150942, 'score': 0.9433962264150942, 'examples_seen': 136862, 'step': 4600, 'algorithm': 'graham_scan'}
I0715 22:32:40.106316 134048692930048 run.py:722] (val) algo graham_scan step 4650: {'in_hull': 0.9602510460251046, 'score': 0.9602510460251046, 'examples_seen': 138346, 'step': 4650, 'algorithm': 'graham_scan'}
I0715 22:32:41.327229 134048692930048 run.py:722] (val) algo graham_scan step 4700: {'in_hull': 0.9384288747346072, 'score': 0.9384288747346072, 'examples_seen': 139817, 'step': 4700, 'algorithm': 'graham_scan'}
I0715 22:32:42.555170 134048692930048 run.py:722] (val) algo graham_scan step 4750: {'in_hull': 0.9545454545454545, 'score': 0.9545454545454545, 'examples_seen': 141290, 'step': 4750, 'algorithm': 'graham_scan'}
I0715 22:32:43.797853 134048692930048 run.py:722] (val) algo graham_scan step 4800: {'in_hull': 0.9722222222222222, 'score': 0.9722222222222222, 'examples_seen': 142751, 'step': 4800, 'algorithm': 'graham_scan'}
I0715 22:32:45.054983 134048692930048 run.py:722] (val) algo graham_scan step 4850: {'in_hull': 0.958592132505176, 'score': 0.958592132505176, 'examples_seen': 144262, 'step': 4850, 'algorithm': 'graham_scan'}
I0715 22:32:46.270781 134048692930048 run.py:722] (val) algo graham_scan step 4900: {'in_hull': 0.9524772497472194, 'score': 0.9524772497472194, 'examples_seen': 145778, 'step': 4900, 'algorithm': 'graham_scan'}
