{'selected': 0.9467680608365018, 'score': 0.9467680608365018, 'examples_seen': 189136, 'step': 4750, 'algorithm': 'activity_selector'}
{'selected': 0.980544747081712, 'score': 0.980544747081712, 'examples_seen': 191120, 'step': 4800, 'algorithm': 'activity_selector'}
{'selected': 0.9704797047970479, 'score': 0.9704797047970479, 'examples_seen': 193136, 'step': 4850, 'algorithm': 'activity_selector'}
{'selected': 0.9585798816568047, 'score': 0.9585798816568047, 'examples_seen': 195152, 'step': 4900, 'algorithm': 'activity_selector'}
{'selected': 0.9633911368015414, 'score': 0.9633911368015414, 'examples_seen': 197152, 'step': 4950, 'algorithm': 'activity_selector'}
{'selected': 0.9603174603174603, 'score': 0.9603174603174603, 'examples_seen': 199120, 'step': 5000, 'algorithm': 'activity_selector'}
{'selected': 0.9568627450980391, 'score': 0.9568627450980391, 'examples_seen': 201120, 'step': 5050, 'algorithm': 'activity_selector'}
{'selected': 0.9639468690702088, 'score': 0.9639468690702088, 'examples_seen': 203072, 'step': 5100, 'algorithm': 'activity_selector'}
{'selected': 0.9663366336633663, 'score': 0.9663366336633663, 'examples_seen': 205024, 'step': 5150, 'algorithm': 'activity_selector'}
{'selected': 0.9275929549902151, 'score': 0.9275929549902151, 'examples_seen': 207088, 'step': 5200, 'algorithm': 'activity_selector'}
{'selected': 0.9570093457943926, 'score': 0.9570093457943926, 'examples_seen': 209072, 'step': 5250, 'algorithm': 'activity_selector'}
{'selected': 0.9437751004016064, 'score': 0.9437751004016064, 'examples_seen': 211088, 'step': 5300, 'algorithm': 'activity_selector'}
{'selected': 0.9593810444874274, 'score': 0.9593810444874274, 'examples_seen': 213072, 'step': 5350, 'algorithm': 'activity_selector'}
{'selected': 0.9728682170542635, 'score': 0.9728682170542635, 'examples_seen': 215024, 'step': 5400, 'algorithm': 'activity_selector'}
{'selected': 0.9743589743589745, 'score': 0.9743589743589745, 'examples_seen': 217024, 'step': 5450, 'algorithm': 'activity_selector'}
{'selected': 0.9692307692307692, 'score': 0.9692307692307692, 'examples_seen': 218960, 'step': 5500, 'algorithm': 'activity_selector'}
{'selected': 0.9354207436399217, 'score': 0.9354207436399217, 'examples_seen': 221008, 'step': 5550, 'algorithm': 'activity_selector'}
{'selected': 0.953125, 'score': 0.953125, 'examples_seen': 223024, 'step': 5600, 'algorithm': 'activity_selector'}
{'selected': 0.9579158316633266, 'score': 0.9579158316633266, 'examples_seen': 225008, 'step': 5650, 'algorithm': 'activity_selector'}
{'selected': 0.9368029739776951, 'score': 0.9368029739776951, 'examples_seen': 227008, 'step': 5700, 'algorithm': 'activity_selector'}
{'selected': 0.9589041095890412, 'score': 0.9589041095890412, 'examples_seen': 228960, 'step': 5750, 'algorithm': 'activity_selector'}
{'selected': 0.9655172413793104, 'score': 0.9655172413793104, 'examples_seen': 230928, 'step': 5800, 'algorithm': 'activity_selector'}
{'selected': 0.9338677354709419, 'score': 0.9338677354709419, 'examples_seen': 232912, 'step': 5850, 'algorithm': 'activity_selector'}
{'selected': 0.9354207436399218, 'score': 0.9354207436399218, 'examples_seen': 234928, 'step': 5900, 'algorithm': 'activity_selector'}
{'selected': 0.9423076923076923, 'score': 0.9423076923076923, 'examples_seen': 236944, 'step': 5950, 'algorithm': 'activity_selector'}
{'selected': 0.934108527131783, 'score': 0.934108527131783, 'examples_seen': 238944, 'step': 6000, 'algorithm': 'activity_selector'}
{'selected': 0.9820359281437125, 'score': 0.9820359281437125, 'examples_seen': 240928, 'step': 6050, 'algorithm': 'activity_selector'}
{'selected': 0.969258589511754, 'score': 0.969258589511754, 'examples_seen': 242912, 'step': 6100, 'algorithm': 'activity_selector'}
{'selected': 0.952741020793951, 'score': 0.952741020793951, 'examples_seen': 244864, 'step': 6150, 'algorithm': 'activity_selector'}
{'selected': 0.9942857142857142, 'score': 0.9942857142857142, 'examples_seen': 246816, 'step': 6200, 'algorithm': 'activity_selector'}
{'selected': 0.9643527204502814, 'score': 0.9643527204502814, 'examples_seen': 248880, 'step': 6250, 'algorithm': 'activity_selector'}
{'selected': 0.9646569646569646, 'score': 0.9646569646569646, 'examples_seen': 250880, 'step': 6300, 'algorithm': 'activity_selector'}
{'selected': 0.9774436090225563, 'score': 0.9774436090225563, 'examples_seen': 252880, 'step': 6350, 'algorithm': 'activity_selector'}
{'selected': 0.9480000000000001, 'score': 0.9480000000000001, 'examples_seen': 254864, 'step': 6400, 'algorithm': 'activity_selector'}
{'selected': 0.960747663551402, 'score': 0.960747663551402, 'examples_seen': 256816, 'step': 6450, 'algorithm': 'activity_selector'}
{'selected': 0.9824561403508771, 'score': 0.9824561403508771, 'examples_seen': 258816, 'step': 6500, 'algorithm': 'activity_selector'}
{'selected': 0.9621621621621622, 'score': 0.9621621621621622, 'examples_seen': 260752, 'step': 6550, 'algorithm': 'activity_selector'}
{'selected': 0.9788053949903661, 'score': 0.9788053949903661, 'examples_seen': 262800, 'step': 6600, 'algorithm': 'activity_selector'}
{'selected': 0.9766536964980544, 'score': 0.9766536964980544, 'examples_seen': 264832, 'step': 6650, 'algorithm': 'activity_selector'}
