{'pred': 0.419921875, 'score': 0.419921875, 'examples_seen': 66098, 'step': 4250, 'algorithm': 'heapsort'}
{'pred': 0.5029296875, 'score': 0.5029296875, 'examples_seen': 66876, 'step': 4300, 'algorithm': 'heapsort'}
{'pred': 0.4775390625, 'score': 0.4775390625, 'examples_seen': 67643, 'step': 4350, 'algorithm': 'heapsort'}
{'pred': 0.474609375, 'score': 0.474609375, 'examples_seen': 68404, 'step': 4400, 'algorithm': 'heapsort'}
{'pred': 0.5185546875, 'score': 0.5185546875, 'examples_seen': 69164, 'step': 4450, 'algorithm': 'heapsort'}
{'pred': 0.533203125, 'score': 0.533203125, 'examples_seen': 69977, 'step': 4500, 'algorithm': 'heapsort'}
{'pred': 0.583984375, 'score': 0.583984375, 'examples_seen': 70772, 'step': 4550, 'algorithm': 'heapsort'}
{'pred': 0.634765625, 'score': 0.634765625, 'examples_seen': 71550, 'step': 4600, 'algorithm': 'heapsort'}
{'pred': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 72317, 'step': 4650, 'algorithm': 'heapsort'}
{'pred': 0.5146484375, 'score': 0.5146484375, 'examples_seen': 73080, 'step': 4700, 'algorithm': 'heapsort'}
{'pred': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 73846, 'step': 4750, 'algorithm': 'heapsort'}
{'pred': 0.5791015625, 'score': 0.5791015625, 'examples_seen': 74610, 'step': 4800, 'algorithm': 'heapsort'}
{'pred': 0.546875, 'score': 0.546875, 'examples_seen': 75420, 'step': 4850, 'algorithm': 'heapsort'}
{'pred': 0.57421875, 'score': 0.57421875, 'examples_seen': 76209, 'step': 4900, 'algorithm': 'heapsort'}
{'pred': 0.5947265625, 'score': 0.5947265625, 'examples_seen': 76983, 'step': 4950, 'algorithm': 'heapsort'}
{'pred': 0.61328125, 'score': 0.61328125, 'examples_seen': 77752, 'step': 5000, 'algorithm': 'heapsort'}
{'pred': 0.595703125, 'score': 0.595703125, 'examples_seen': 78514, 'step': 5050, 'algorithm': 'heapsort'}
{'pred': 0.6220703125, 'score': 0.6220703125, 'examples_seen': 79281, 'step': 5100, 'algorithm': 'heapsort'}
{'pred': 0.619140625, 'score': 0.619140625, 'examples_seen': 80044, 'step': 5150, 'algorithm': 'heapsort'}
{'pred': 0.51171875, 'score': 0.51171875, 'examples_seen': 80849, 'step': 5200, 'algorithm': 'heapsort'}
{'pred': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 81638, 'step': 5250, 'algorithm': 'heapsort'}
{'pred': 0.6123046875, 'score': 0.6123046875, 'examples_seen': 82414, 'step': 5300, 'algorithm': 'heapsort'}
{'pred': 0.6015625, 'score': 0.6015625, 'examples_seen': 83180, 'step': 5350, 'algorithm': 'heapsort'}
{'pred': 0.55078125, 'score': 0.55078125, 'examples_seen': 83948, 'step': 5400, 'algorithm': 'heapsort'}
{'pred': 0.5693359375, 'score': 0.5693359375, 'examples_seen': 84712, 'step': 5450, 'algorithm': 'heapsort'}
{'pred': 0.603515625, 'score': 0.603515625, 'examples_seen': 85472, 'step': 5500, 'algorithm': 'heapsort'}
{'pred': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 86284, 'step': 5550, 'algorithm': 'heapsort'}
{'pred': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 87069, 'step': 5600, 'algorithm': 'heapsort'}
{'pred': 0.60546875, 'score': 0.60546875, 'examples_seen': 87846, 'step': 5650, 'algorithm': 'heapsort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 88621, 'step': 5700, 'algorithm': 'heapsort'}
{'pred': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 89387, 'step': 5750, 'algorithm': 'heapsort'}
{'pred': 0.6025390625, 'score': 0.6025390625, 'examples_seen': 90154, 'step': 5800, 'algorithm': 'heapsort'}
{'pred': 0.732421875, 'score': 0.732421875, 'examples_seen': 90918, 'step': 5850, 'algorithm': 'heapsort'}
{'pred': 0.6318359375, 'score': 0.6318359375, 'examples_seen': 91727, 'step': 5900, 'algorithm': 'heapsort'}
{'pred': 0.697265625, 'score': 0.697265625, 'examples_seen': 92521, 'step': 5950, 'algorithm': 'heapsort'}
{'pred': 0.54296875, 'score': 0.54296875, 'examples_seen': 93296, 'step': 6000, 'algorithm': 'heapsort'}
{'pred': 0.603515625, 'score': 0.603515625, 'examples_seen': 94068, 'step': 6050, 'algorithm': 'heapsort'}
{'pred': 0.6572265625, 'score': 0.6572265625, 'examples_seen': 94820, 'step': 6100, 'algorithm': 'heapsort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 95590, 'step': 6150, 'algorithm': 'heapsort'}
{'pred': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 96360, 'step': 6200, 'algorithm': 'heapsort'}
{'pred': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 97167, 'step': 6250, 'algorithm': 'heapsort'}
{'pred': 0.52734375, 'score': 0.52734375, 'examples_seen': 97952, 'step': 6300, 'algorithm': 'heapsort'}
{'pred': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 98725, 'step': 6350, 'algorithm': 'heapsort'}
{'pred': 0.6630859375, 'score': 0.6630859375, 'examples_seen': 99505, 'step': 6400, 'algorithm': 'heapsort'}
{'pred': 0.634765625, 'score': 0.634765625, 'examples_seen': 100275, 'step': 6450, 'algorithm': 'heapsort'}
{'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 101030, 'step': 6500, 'algorithm': 'heapsort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 101794, 'step': 6550, 'algorithm': 'heapsort'}
{'pred': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 102606, 'step': 6600, 'algorithm': 'heapsort'}
{'pred': 0.60546875, 'score': 0.60546875, 'examples_seen': 103398, 'step': 6650, 'algorithm': 'heapsort'}
{'pred': 0.6748046875, 'score': 0.6748046875, 'examples_seen': 104173, 'step': 6700, 'algorithm': 'heapsort'}
{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 104942, 'step': 6750, 'algorithm': 'heapsort'}
{'pred': 0.6474609375, 'score': 0.6474609375, 'examples_seen': 105711, 'step': 6800, 'algorithm': 'heapsort'}
{'pred': 0.6201171875, 'score': 0.6201171875, 'examples_seen': 106478, 'step': 6850, 'algorithm': 'heapsort'}
{'pred': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 107244, 'step': 6900, 'algorithm': 'heapsort'}
{'pred': 0.564453125, 'score': 0.564453125, 'examples_seen': 108043, 'step': 6950, 'algorithm': 'heapsort'}
{'pred': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 108837, 'step': 7000, 'algorithm': 'heapsort'}
{'pred': 0.6533203125, 'score': 0.6533203125, 'examples_seen': 109604, 'step': 7050, 'algorithm': 'heapsort'}
{'pred': 0.5439453125, 'score': 0.5439453125, 'examples_seen': 110373, 'step': 7100, 'algorithm': 'heapsort'}
{'pred': 0.52734375, 'score': 0.52734375, 'examples_seen': 111144, 'step': 7150, 'algorithm': 'heapsort'}
{'pred': 0.5849609375, 'score': 0.5849609375, 'examples_seen': 111911, 'step': 7200, 'algorithm': 'heapsort'}
{'pred': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 112667, 'step': 7250, 'algorithm': 'heapsort'}
{'pred': 0.640625, 'score': 0.640625, 'examples_seen': 113477, 'step': 7300, 'algorithm': 'heapsort'}
{'pred': 0.66015625, 'score': 0.66015625, 'examples_seen': 114265, 'step': 7350, 'algorithm': 'heapsort'}
{'pred': 0.609375, 'score': 0.609375, 'examples_seen': 115037, 'step': 7400, 'algorithm': 'heapsort'}
{'pred': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 115809, 'step': 7450, 'algorithm': 'heapsort'}
{'pred': 0.5439453125, 'score': 0.5439453125, 'examples_seen': 116575, 'step': 7500, 'algorithm': 'heapsort'}
{'pred': 0.61328125, 'score': 0.61328125, 'examples_seen': 117334, 'step': 7550, 'algorithm': 'heapsort'}
{'pred': 0.625, 'score': 0.625, 'examples_seen': 118096, 'step': 7600, 'algorithm': 'heapsort'}
{'pred': 0.560546875, 'score': 0.560546875, 'examples_seen': 118905, 'step': 7650, 'algorithm': 'heapsort'}
{'pred': 0.578125, 'score': 0.578125, 'examples_seen': 119697, 'step': 7700, 'algorithm': 'heapsort'}
{'pred': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 120477, 'step': 7750, 'algorithm': 'heapsort'}
{'pred': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 121238, 'step': 7800, 'algorithm': 'heapsort'}
{'pred': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 122006, 'step': 7850, 'algorithm': 'heapsort'}
{'pred': 0.5068359375, 'score': 0.5068359375, 'examples_seen': 122769, 'step': 7900, 'algorithm': 'heapsort'}
{'pred': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 123525, 'step': 7950, 'algorithm': 'heapsort'}
{'pred': 0.5537109375, 'score': 0.5537109375, 'examples_seen': 124336, 'step': 8000, 'algorithm': 'heapsort'}
{'pred': 0.5400390625, 'score': 0.5400390625, 'examples_seen': 125125, 'step': 8050, 'algorithm': 'heapsort'}
{'pred': 0.53515625, 'score': 0.53515625, 'examples_seen': 125903, 'step': 8100, 'algorithm': 'heapsort'}
{'pred': 0.533203125, 'score': 0.533203125, 'examples_seen': 126671, 'step': 8150, 'algorithm': 'heapsort'}
{'pred': 0.5283203125, 'score': 0.5283203125, 'examples_seen': 127435, 'step': 8200, 'algorithm': 'heapsort'}
{'pred': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 128197, 'step': 8250, 'algorithm': 'heapsort'}
{'pred': 0.537109375, 'score': 0.537109375, 'examples_seen': 128970, 'step': 8300, 'algorithm': 'heapsort'}
{'pred': 0.6171875, 'score': 0.6171875, 'examples_seen': 129777, 'step': 8350, 'algorithm': 'heapsort'}
{'pred': 0.5625, 'score': 0.5625, 'examples_seen': 130566, 'step': 8400, 'algorithm': 'heapsort'}
{'pred': 0.5166015625, 'score': 0.5166015625, 'examples_seen': 131338, 'step': 8450, 'algorithm': 'heapsort'}
{'pred': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 132114, 'step': 8500, 'algorithm': 'heapsort'}
{'pred': 0.56640625, 'score': 0.56640625, 'examples_seen': 132882, 'step': 8550, 'algorithm': 'heapsort'}
{'pred': 0.6494140625, 'score': 0.6494140625, 'examples_seen': 133653, 'step': 8600, 'algorithm': 'heapsort'}
{'pred': 0.7216796875, 'score': 0.7216796875, 'examples_seen': 134407, 'step': 8650, 'algorithm': 'heapsort'}
{'pred': 0.5869140625, 'score': 0.5869140625, 'examples_seen': 135221, 'step': 8700, 'algorithm': 'heapsort'}
{'pred': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 136012, 'step': 8750, 'algorithm': 'heapsort'}
{'pred': 0.6767578125, 'score': 0.6767578125, 'examples_seen': 136793, 'step': 8800, 'algorithm': 'heapsort'}
{'pred': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 137560, 'step': 8850, 'algorithm': 'heapsort'}
{'pred': 0.4775390625, 'score': 0.4775390625, 'examples_seen': 138332, 'step': 8900, 'algorithm': 'heapsort'}
{'pred': 0.609375, 'score': 0.609375, 'examples_seen': 139086, 'step': 8950, 'algorithm': 'heapsort'}
{'pred': 0.5595703125, 'score': 0.5595703125, 'examples_seen': 139858, 'step': 9000, 'algorithm': 'heapsort'}
{'pred': 0.560546875, 'score': 0.560546875, 'examples_seen': 140655, 'step': 9050, 'algorithm': 'heapsort'}
{'pred': 0.650390625, 'score': 0.650390625, 'examples_seen': 141445, 'step': 9100, 'algorithm': 'heapsort'}
{'pred': 0.544921875, 'score': 0.544921875, 'examples_seen': 142226, 'step': 9150, 'algorithm': 'heapsort'}
{'pred': 0.62890625, 'score': 0.62890625, 'examples_seen': 142996, 'step': 9200, 'algorithm': 'heapsort'}
{'pred': 0.658203125, 'score': 0.658203125, 'examples_seen': 143758, 'step': 9250, 'algorithm': 'heapsort'}
{'pred': 0.560546875, 'score': 0.560546875, 'examples_seen': 144526, 'step': 9300, 'algorithm': 'heapsort'}
{'pred': 0.607421875, 'score': 0.607421875, 'examples_seen': 145295, 'step': 9350, 'algorithm': 'heapsort'}
{'pred': 0.62890625, 'score': 0.62890625, 'examples_seen': 146103, 'step': 9400, 'algorithm': 'heapsort'}
{'pred': 0.583984375, 'score': 0.583984375, 'examples_seen': 146891, 'step': 9450, 'algorithm': 'heapsort'}
{'pred': 0.5732421875, 'score': 0.5732421875, 'examples_seen': 147664, 'step': 9500, 'algorithm': 'heapsort'}
{'pred': 0.5458984375, 'score': 0.5458984375, 'examples_seen': 148443, 'step': 9550, 'algorithm': 'heapsort'}
{'pred': 0.5244140625, 'score': 0.5244140625, 'examples_seen': 149211, 'step': 9600, 'algorithm': 'heapsort'}
{'pred': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 149979, 'step': 9650, 'algorithm': 'heapsort'}
{'pred': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 150738, 'step': 9700, 'algorithm': 'heapsort'}
{'pred': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 151554, 'step': 9750, 'algorithm': 'heapsort'}
{'pred': 0.6396484375, 'score': 0.6396484375, 'examples_seen': 152337, 'step': 9800, 'algorithm': 'heapsort'}
{'pred': 0.6240234375, 'score': 0.6240234375, 'examples_seen': 153118, 'step': 9850, 'algorithm': 'heapsort'}
{'pred': 0.6533203125, 'score': 0.6533203125, 'examples_seen': 153884, 'step': 9900, 'algorithm': 'heapsort'}
{'pred': 0.5390625, 'score': 0.5390625, 'examples_seen': 154648, 'step': 9950, 'algorithm': 'heapsort'}
