I0716 12:14:28.728959 137187410863616 run.py:722] (val) algo topological_sort step 2000: {'topo': 0.8935546875, 'topo_head': 0.984375, 'score': 0.93896484375, 'examples_seen': 38134, 'step': 2000, 'algorithm': 'topological_sort'}
I0716 12:14:30.104748 137187410863616 run.py:722] (val) algo topological_sort step 2050: {'topo': 0.822265625, 'topo_head': 1.0, 'score': 0.9111328125, 'examples_seen': 39112, 'step': 2050, 'algorithm': 'topological_sort'}
I0716 12:14:31.490235 137187410863616 run.py:722] (val) algo topological_sort step 2100: {'topo': 0.623046875, 'topo_head': 0.859375, 'score': 0.7412109375, 'examples_seen': 40072, 'step': 2100, 'algorithm': 'topological_sort'}
I0716 12:14:32.836575 137187410863616 run.py:722] (val) algo topological_sort step 2150: {'topo': 0.5400390625, 'topo_head': 0.984375, 'score': 0.76220703125, 'examples_seen': 41025, 'step': 2150, 'algorithm': 'topological_sort'}
I0716 12:14:34.187154 137187410863616 run.py:722] (val) algo topological_sort step 2200: {'topo': 0.71484375, 'topo_head': 0.921875, 'score': 0.818359375, 'examples_seen': 41974, 'step': 2200, 'algorithm': 'topological_sort'}
I0716 12:14:35.534030 137187410863616 run.py:722] (val) algo topological_sort step 2250: {'topo': 0.869140625, 'topo_head': 0.984375, 'score': 0.9267578125, 'examples_seen': 42923, 'step': 2250, 'algorithm': 'topological_sort'}
I0716 12:14:36.903061 137187410863616 run.py:722] (val) algo topological_sort step 2300: {'topo': 0.7822265625, 'topo_head': 1.0, 'score': 0.89111328125, 'examples_seen': 43863, 'step': 2300, 'algorithm': 'topological_sort'}
I0716 12:14:38.300940 137187410863616 run.py:722] (val) algo topological_sort step 2350: {'topo': 0.8037109375, 'topo_head': 0.953125, 'score': 0.87841796875, 'examples_seen': 44802, 'step': 2350, 'algorithm': 'topological_sort'}
I0716 12:14:39.662411 137187410863616 run.py:722] (val) algo topological_sort step 2400: {'topo': 0.7587890625, 'topo_head': 1.0, 'score': 0.87939453125, 'examples_seen': 45781, 'step': 2400, 'algorithm': 'topological_sort'}
I0716 12:14:41.008907 137187410863616 run.py:722] (val) algo topological_sort step 2450: {'topo': 0.8447265625, 'topo_head': 0.984375, 'score': 0.91455078125, 'examples_seen': 46750, 'step': 2450, 'algorithm': 'topological_sort'}
