{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 393696, 'step': 3550, 'algorithm': 'bellman_ford'}
{'pi': 0.82421875, 'score': 0.82421875, 'examples_seen': 399225, 'step': 3600, 'algorithm': 'bellman_ford'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 404771, 'step': 3650, 'algorithm': 'bellman_ford'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 410258, 'step': 3700, 'algorithm': 'bellman_ford'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 415744, 'step': 3750, 'algorithm': 'bellman_ford'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 421408, 'step': 3800, 'algorithm': 'bellman_ford'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 426972, 'step': 3850, 'algorithm': 'bellman_ford'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 432519, 'step': 3900, 'algorithm': 'bellman_ford'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 438056, 'step': 3950, 'algorithm': 'bellman_ford'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 443551, 'step': 4000, 'algorithm': 'bellman_ford'}
{'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 449039, 'step': 4050, 'algorithm': 'bellman_ford'}
{'pi': 0.90625, 'score': 0.90625, 'examples_seen': 454526, 'step': 4100, 'algorithm': 'bellman_ford'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 460199, 'step': 4150, 'algorithm': 'bellman_ford'}
{'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 465775, 'step': 4200, 'algorithm': 'bellman_ford'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 471273, 'step': 4250, 'algorithm': 'bellman_ford'}
{'pi': 0.916015625, 'score': 0.916015625, 'examples_seen': 476803, 'step': 4300, 'algorithm': 'bellman_ford'}
{'pi': 0.87109375, 'score': 0.87109375, 'examples_seen': 482276, 'step': 4350, 'algorithm': 'bellman_ford'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 487796, 'step': 4400, 'algorithm': 'bellman_ford'}
{'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 493235, 'step': 4450, 'algorithm': 'bellman_ford'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 498891, 'step': 4500, 'algorithm': 'bellman_ford'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 504461, 'step': 4550, 'algorithm': 'bellman_ford'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 510047, 'step': 4600, 'algorithm': 'bellman_ford'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 515528, 'step': 4650, 'algorithm': 'bellman_ford'}
{'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 521055, 'step': 4700, 'algorithm': 'bellman_ford'}
{'pi': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 526537, 'step': 4750, 'algorithm': 'bellman_ford'}
{'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 532074, 'step': 4800, 'algorithm': 'bellman_ford'}
{'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 537684, 'step': 4850, 'algorithm': 'bellman_ford'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 543323, 'step': 4900, 'algorithm': 'bellman_ford'}
{'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 548827, 'step': 4950, 'algorithm': 'bellman_ford'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 554310, 'step': 5000, 'algorithm': 'bellman_ford'}
{'pi': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 559822, 'step': 5050, 'algorithm': 'bellman_ford'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 565306, 'step': 5100, 'algorithm': 'bellman_ford'}
{'pi': 0.90625, 'score': 0.90625, 'examples_seen': 570802, 'step': 5150, 'algorithm': 'bellman_ford'}
{'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 576481, 'step': 5200, 'algorithm': 'bellman_ford'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 582016, 'step': 5250, 'algorithm': 'bellman_ford'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 587542, 'step': 5300, 'algorithm': 'bellman_ford'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 593046, 'step': 5350, 'algorithm': 'bellman_ford'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 598638, 'step': 5400, 'algorithm': 'bellman_ford'}
{'pi': 0.8876953125, 'score': 0.8876953125, 'examples_seen': 604182, 'step': 5450, 'algorithm': 'bellman_ford'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 609662, 'step': 5500, 'algorithm': 'bellman_ford'}
{'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 615297, 'step': 5550, 'algorithm': 'bellman_ford'}
{'pi': 0.92578125, 'score': 0.92578125, 'examples_seen': 620946, 'step': 5600, 'algorithm': 'bellman_ford'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 626443, 'step': 5650, 'algorithm': 'bellman_ford'}
