I0716 07:04:25.042133 123331353363968 run.py:722] (val) algo bfs step 3600: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 430113, 'step': 3600, 'algorithm': 'bfs'}
I0716 07:04:27.609826 123331353363968 run.py:722] (val) algo bfs step 3650: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 436016, 'step': 3650, 'algorithm': 'bfs'}
I0716 07:04:30.294768 123331353363968 run.py:722] (val) algo bfs step 3700: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 441945, 'step': 3700, 'algorithm': 'bfs'}
I0716 07:04:32.938142 123331353363968 run.py:722] (val) algo bfs step 3750: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 447801, 'step': 3750, 'algorithm': 'bfs'}
I0716 07:04:35.622441 123331353363968 run.py:722] (val) algo bfs step 3800: {'pi': 1.0, 'score': 1.0, 'examples_seen': 453834, 'step': 3800, 'algorithm': 'bfs'}
I0716 07:04:38.278873 123331353363968 run.py:722] (val) algo bfs step 3850: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 459840, 'step': 3850, 'algorithm': 'bfs'}
I0716 07:04:40.911863 123331353363968 run.py:722] (val) algo bfs step 3900: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 465830, 'step': 3900, 'algorithm': 'bfs'}
I0716 07:04:43.550921 123331353363968 run.py:722] (val) algo bfs step 3950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 471794, 'step': 3950, 'algorithm': 'bfs'}
I0716 07:04:46.177892 123331353363968 run.py:722] (val) algo bfs step 4000: {'pi': 1.0, 'score': 1.0, 'examples_seen': 477684, 'step': 4000, 'algorithm': 'bfs'}
I0716 07:04:48.934058 123331353363968 run.py:722] (val) algo bfs step 4050: {'pi': 1.0, 'score': 1.0, 'examples_seen': 483682, 'step': 4050, 'algorithm': 'bfs'}
I0716 07:04:51.589532 123331353363968 run.py:722] (val) algo bfs step 4100: {'pi': 1.0, 'score': 1.0, 'examples_seen': 489647, 'step': 4100, 'algorithm': 'bfs'}
I0716 07:04:54.237584 123331353363968 run.py:722] (val) algo bfs step 4150: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 495677, 'step': 4150, 'algorithm': 'bfs'}
I0716 07:04:56.914969 123331353363968 run.py:722] (val) algo bfs step 4200: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 501663, 'step': 4200, 'algorithm': 'bfs'}
I0716 07:04:59.566643 123331353363968 run.py:722] (val) algo bfs step 4250: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 507682, 'step': 4250, 'algorithm': 'bfs'}
I0716 07:05:02.220111 123331353363968 run.py:722] (val) algo bfs step 4300: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 513631, 'step': 4300, 'algorithm': 'bfs'}
I0716 07:05:04.947964 123331353363968 run.py:722] (val) algo bfs step 4350: {'pi': 1.0, 'score': 1.0, 'examples_seen': 519556, 'step': 4350, 'algorithm': 'bfs'}
I0716 07:05:07.654994 123331353363968 run.py:722] (val) algo bfs step 4400: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 525486, 'step': 4400, 'algorithm': 'bfs'}
I0716 07:05:10.384550 123331353363968 run.py:722] (val) algo bfs step 4450: {'pi': 1.0, 'score': 1.0, 'examples_seen': 531423, 'step': 4450, 'algorithm': 'bfs'}
I0716 07:05:13.081839 123331353363968 run.py:722] (val) algo bfs step 4500: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 537498, 'step': 4500, 'algorithm': 'bfs'}
I0716 07:05:15.808709 123331353363968 run.py:722] (val) algo bfs step 4550: {'pi': 1.0, 'score': 1.0, 'examples_seen': 543463, 'step': 4550, 'algorithm': 'bfs'}
I0716 07:05:18.462986 123331353363968 run.py:722] (val) algo bfs step 4600: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 549413, 'step': 4600, 'algorithm': 'bfs'}
I0716 07:05:21.189881 123331353363968 run.py:722] (val) algo bfs step 4650: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 555401, 'step': 4650, 'algorithm': 'bfs'}
I0716 07:05:23.880619 123331353363968 run.py:722] (val) algo bfs step 4700: {'pi': 1.0, 'score': 1.0, 'examples_seen': 561294, 'step': 4700, 'algorithm': 'bfs'}
I0716 07:05:26.626889 123331353363968 run.py:722] (val) algo bfs step 4750: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 567237, 'step': 4750, 'algorithm': 'bfs'}
I0716 07:05:29.271045 123331353363968 run.py:722] (val) algo bfs step 4800: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 573142, 'step': 4800, 'algorithm': 'bfs'}
I0716 07:05:31.982589 123331353363968 run.py:722] (val) algo bfs step 4850: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 579169, 'step': 4850, 'algorithm': 'bfs'}
I0716 07:05:34.636852 123331353363968 run.py:722] (val) algo bfs step 4900: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 585186, 'step': 4900, 'algorithm': 'bfs'}
I0716 07:05:37.281738 123331353363968 run.py:722] (val) algo bfs step 4950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 591155, 'step': 4950, 'algorithm': 'bfs'}
I0716 07:05:39.959435 123331353363968 run.py:722] (val) algo bfs step 5000: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 597117, 'step': 5000, 'algorithm': 'bfs'}
I0716 07:05:42.710872 123331353363968 run.py:722] (val) algo bfs step 5050: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 603110, 'step': 5050, 'algorithm': 'bfs'}
I0716 07:05:45.387706 123331353363968 run.py:722] (val) algo bfs step 5100: {'pi': 1.0, 'score': 1.0, 'examples_seen': 609041, 'step': 5100, 'algorithm': 'bfs'}
I0716 07:05:48.176985 123331353363968 run.py:722] (val) algo bfs step 5150: {'pi': 1.0, 'score': 1.0, 'examples_seen': 615001, 'step': 5150, 'algorithm': 'bfs'}
I0716 07:05:50.930302 123331353363968 run.py:722] (val) algo bfs step 5200: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 621072, 'step': 5200, 'algorithm': 'bfs'}
I0716 07:05:53.693707 123331353363968 run.py:722] (val) algo bfs step 5250: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 627068, 'step': 5250, 'algorithm': 'bfs'}
I0716 07:05:56.360034 123331353363968 run.py:722] (val) algo bfs step 5300: {'pi': 1.0, 'score': 1.0, 'examples_seen': 633086, 'step': 5300, 'algorithm': 'bfs'}
I0716 07:05:59.258799 123331353363968 run.py:722] (val) algo bfs step 5350: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 639045, 'step': 5350, 'algorithm': 'bfs'}
I0716 07:06:01.887641 123331353363968 run.py:722] (val) algo bfs step 5400: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 645016, 'step': 5400, 'algorithm': 'bfs'}
I0716 07:06:04.582456 123331353363968 run.py:722] (val) algo bfs step 5450: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 650958, 'step': 5450, 'algorithm': 'bfs'}
I0716 07:06:07.244843 123331353363968 run.py:722] (val) algo bfs step 5500: {'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 656844, 'step': 5500, 'algorithm': 'bfs'}
I0716 07:06:09.907931 123331353363968 run.py:722] (val) algo bfs step 5550: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 662918, 'step': 5550, 'algorithm': 'bfs'}
I0716 07:06:12.513153 123331353363968 run.py:722] (val) algo bfs step 5600: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 668891, 'step': 5600, 'algorithm': 'bfs'}
I0716 07:06:15.270427 123331353363968 run.py:722] (val) algo bfs step 5650: {'pi': 1.0, 'score': 1.0, 'examples_seen': 674844, 'step': 5650, 'algorithm': 'bfs'}
I0716 07:06:17.916216 123331353363968 run.py:722] (val) algo bfs step 5700: {'pi': 1.0, 'score': 1.0, 'examples_seen': 680768, 'step': 5700, 'algorithm': 'bfs'}
I0716 07:06:20.689279 123331353363968 run.py:722] (val) algo bfs step 5750: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 686740, 'step': 5750, 'algorithm': 'bfs'}
I0716 07:06:23.319365 123331353363968 run.py:722] (val) algo bfs step 5800: {'pi': 1.0, 'score': 1.0, 'examples_seen': 692652, 'step': 5800, 'algorithm': 'bfs'}
I0716 07:06:26.030535 123331353363968 run.py:722] (val) algo bfs step 5850: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 698619, 'step': 5850, 'algorithm': 'bfs'}
I0716 07:06:28.734031 123331353363968 run.py:722] (val) algo bfs step 5900: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 704702, 'step': 5900, 'algorithm': 'bfs'}
I0716 07:06:31.438736 123331353363968 run.py:722] (val) algo bfs step 5950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 710762, 'step': 5950, 'algorithm': 'bfs'}
I0716 07:06:34.133600 123331353363968 run.py:722] (val) algo bfs step 6000: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 716744, 'step': 6000, 'algorithm': 'bfs'}
I0716 07:06:36.828795 123331353363968 run.py:722] (val) algo bfs step 6050: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 722681, 'step': 6050, 'algorithm': 'bfs'}
I0716 07:06:39.467983 123331353363968 run.py:722] (val) algo bfs step 6100: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 728575, 'step': 6100, 'algorithm': 'bfs'}
I0716 07:06:42.138956 123331353363968 run.py:722] (val) algo bfs step 6150: {'pi': 1.0, 'score': 1.0, 'examples_seen': 734546, 'step': 6150, 'algorithm': 'bfs'}
I0716 07:06:44.937577 123331353363968 run.py:722] (val) algo bfs step 6200: {'pi': 1.0, 'score': 1.0, 'examples_seen': 740503, 'step': 6200, 'algorithm': 'bfs'}
I0716 07:06:47.668135 123331353363968 run.py:722] (val) algo bfs step 6250: {'pi': 1.0, 'score': 1.0, 'examples_seen': 746564, 'step': 6250, 'algorithm': 'bfs'}
I0716 07:06:50.353146 123331353363968 run.py:722] (val) algo bfs step 6300: {'pi': 1.0, 'score': 1.0, 'examples_seen': 752614, 'step': 6300, 'algorithm': 'bfs'}
I0716 07:06:53.027066 123331353363968 run.py:722] (val) algo bfs step 6350: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 758584, 'step': 6350, 'algorithm': 'bfs'}
I0716 07:06:55.706006 123331353363968 run.py:722] (val) algo bfs step 6400: {'pi': 1.0, 'score': 1.0, 'examples_seen': 764622, 'step': 6400, 'algorithm': 'bfs'}
I0716 07:06:58.399532 123331353363968 run.py:722] (val) algo bfs step 6450: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 770635, 'step': 6450, 'algorithm': 'bfs'}
I0716 07:07:01.075097 123331353363968 run.py:722] (val) algo bfs step 6500: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 776540, 'step': 6500, 'algorithm': 'bfs'}
I0716 07:07:03.807800 123331353363968 run.py:722] (val) algo bfs step 6550: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 782467, 'step': 6550, 'algorithm': 'bfs'}
I0716 07:07:06.489214 123331353363968 run.py:722] (val) algo bfs step 6600: {'pi': 1.0, 'score': 1.0, 'examples_seen': 788563, 'step': 6600, 'algorithm': 'bfs'}
I0716 07:07:09.167226 123331353363968 run.py:722] (val) algo bfs step 6650: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 794579, 'step': 6650, 'algorithm': 'bfs'}
I0716 07:07:11.808128 123331353363968 run.py:722] (val) algo bfs step 6700: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 800565, 'step': 6700, 'algorithm': 'bfs'}
I0716 07:07:14.455479 123331353363968 run.py:722] (val) algo bfs step 6750: {'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 806549, 'step': 6750, 'algorithm': 'bfs'}
I0716 07:07:17.074370 123331353363968 run.py:722] (val) algo bfs step 6800: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 812466, 'step': 6800, 'algorithm': 'bfs'}
I0716 07:07:19.734363 123331353363968 run.py:722] (val) algo bfs step 6850: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 818395, 'step': 6850, 'algorithm': 'bfs'}
I0716 07:07:22.408484 123331353363968 run.py:722] (val) algo bfs step 6900: {'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 824270, 'step': 6900, 'algorithm': 'bfs'}
I0716 07:07:25.190908 123331353363968 run.py:722] (val) algo bfs step 6950: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 830340, 'step': 6950, 'algorithm': 'bfs'}
I0716 07:07:27.768545 123331353363968 run.py:722] (val) algo bfs step 7000: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 836376, 'step': 7000, 'algorithm': 'bfs'}
I0716 07:07:30.499159 123331353363968 run.py:722] (val) algo bfs step 7050: {'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 842403, 'step': 7050, 'algorithm': 'bfs'}
I0716 07:07:33.265613 123331353363968 run.py:722] (val) algo bfs step 7100: {'pi': 1.0, 'score': 1.0, 'examples_seen': 848387, 'step': 7100, 'algorithm': 'bfs'}
I0716 07:07:35.998833 123331353363968 run.py:722] (val) algo bfs step 7150: {'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 854378, 'step': 7150, 'algorithm': 'bfs'}
I0716 07:07:38.697894 123331353363968 run.py:722] (val) algo bfs step 7200: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 860303, 'step': 7200, 'algorithm': 'bfs'}
