I0716 10:42:01.099307 128058109416960 run.py:722] (val) algo naive_string_matcher step 3700: {'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 85049, 'step': 3700, 'algorithm': 'naive_string_matcher'}
I0716 10:42:03.116904 128058109416960 run.py:722] (val) algo naive_string_matcher step 3750: {'match': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 86196, 'step': 3750, 'algorithm': 'naive_string_matcher'}
I0716 10:42:05.063417 128058109416960 run.py:722] (val) algo naive_string_matcher step 3800: {'match': 0.986083984375, 'score': 0.986083984375, 'examples_seen': 87334, 'step': 3800, 'algorithm': 'naive_string_matcher'}
I0716 10:42:07.100665 128058109416960 run.py:722] (val) algo naive_string_matcher step 3850: {'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 88507, 'step': 3850, 'algorithm': 'naive_string_matcher'}
I0716 10:42:09.064044 128058109416960 run.py:722] (val) algo naive_string_matcher step 3900: {'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 89664, 'step': 3900, 'algorithm': 'naive_string_matcher'}
I0716 10:42:11.015882 128058109416960 run.py:722] (val) algo naive_string_matcher step 3950: {'match': 0.982666015625, 'score': 0.982666015625, 'examples_seen': 90812, 'step': 3950, 'algorithm': 'naive_string_matcher'}
I0716 10:42:12.976838 128058109416960 run.py:722] (val) algo naive_string_matcher step 4000: {'match': 0.969970703125, 'score': 0.969970703125, 'examples_seen': 91975, 'step': 4000, 'algorithm': 'naive_string_matcher'}
I0716 10:42:14.945196 128058109416960 run.py:722] (val) algo naive_string_matcher step 4050: {'match': 0.98193359375, 'score': 0.98193359375, 'examples_seen': 93135, 'step': 4050, 'algorithm': 'naive_string_matcher'}
I0716 10:42:16.992754 128058109416960 run.py:722] (val) algo naive_string_matcher step 4100: {'match': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 94286, 'step': 4100, 'algorithm': 'naive_string_matcher'}
I0716 10:42:18.938007 128058109416960 run.py:722] (val) algo naive_string_matcher step 4150: {'match': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 95437, 'step': 4150, 'algorithm': 'naive_string_matcher'}
I0716 10:42:20.906777 128058109416960 run.py:722] (val) algo naive_string_matcher step 4200: {'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 96573, 'step': 4200, 'algorithm': 'naive_string_matcher'}
I0716 10:42:22.871277 128058109416960 run.py:722] (val) algo naive_string_matcher step 4250: {'match': 0.98486328125, 'score': 0.98486328125, 'examples_seen': 97748, 'step': 4250, 'algorithm': 'naive_string_matcher'}
I0716 10:42:24.879152 128058109416960 run.py:722] (val) algo naive_string_matcher step 4300: {'match': 0.98828125, 'score': 0.98828125, 'examples_seen': 98921, 'step': 4300, 'algorithm': 'naive_string_matcher'}
I0716 10:42:26.883685 128058109416960 run.py:722] (val) algo naive_string_matcher step 4350: {'match': 0.990234375, 'score': 0.990234375, 'examples_seen': 100063, 'step': 4350, 'algorithm': 'naive_string_matcher'}
I0716 10:42:28.860640 128058109416960 run.py:722] (val) algo naive_string_matcher step 4400: {'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 101231, 'step': 4400, 'algorithm': 'naive_string_matcher'}
I0716 10:42:30.847406 128058109416960 run.py:722] (val) algo naive_string_matcher step 4450: {'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 102381, 'step': 4450, 'algorithm': 'naive_string_matcher'}
I0716 10:42:32.829080 128058109416960 run.py:722] (val) algo naive_string_matcher step 4500: {'match': 0.990478515625, 'score': 0.990478515625, 'examples_seen': 103533, 'step': 4500, 'algorithm': 'naive_string_matcher'}
I0716 10:42:34.780035 128058109416960 run.py:722] (val) algo naive_string_matcher step 4550: {'match': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 104695, 'step': 4550, 'algorithm': 'naive_string_matcher'}
I0716 10:42:36.744970 128058109416960 run.py:722] (val) algo naive_string_matcher step 4600: {'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 105853, 'step': 4600, 'algorithm': 'naive_string_matcher'}
I0716 10:42:38.775443 128058109416960 run.py:722] (val) algo naive_string_matcher step 4650: {'match': 0.984130859375, 'score': 0.984130859375, 'examples_seen': 106995, 'step': 4650, 'algorithm': 'naive_string_matcher'}
I0716 10:42:40.749317 128058109416960 run.py:722] (val) algo naive_string_matcher step 4700: {'match': 0.98681640625, 'score': 0.98681640625, 'examples_seen': 108139, 'step': 4700, 'algorithm': 'naive_string_matcher'}
I0716 10:42:42.739948 128058109416960 run.py:722] (val) algo naive_string_matcher step 4750: {'match': 0.998046875, 'score': 0.998046875, 'examples_seen': 109298, 'step': 4750, 'algorithm': 'naive_string_matcher'}
I0716 10:42:44.760576 128058109416960 run.py:722] (val) algo naive_string_matcher step 4800: {'match': 0.996337890625, 'score': 0.996337890625, 'examples_seen': 110433, 'step': 4800, 'algorithm': 'naive_string_matcher'}
I0716 10:42:46.734845 128058109416960 run.py:722] (val) algo naive_string_matcher step 4850: {'match': 0.99560546875, 'score': 0.99560546875, 'examples_seen': 111572, 'step': 4850, 'algorithm': 'naive_string_matcher'}
I0716 10:42:48.853888 128058109416960 run.py:722] (val) algo naive_string_matcher step 4900: {'match': 0.988525390625, 'score': 0.988525390625, 'examples_seen': 112721, 'step': 4900, 'algorithm': 'naive_string_matcher'}
I0716 10:42:50.852660 128058109416960 run.py:722] (val) algo naive_string_matcher step 4950: {'match': 0.996337890625, 'score': 0.996337890625, 'examples_seen': 113881, 'step': 4950, 'algorithm': 'naive_string_matcher'}
I0716 10:42:52.830487 128058109416960 run.py:722] (val) algo naive_string_matcher step 5000: {'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 115026, 'step': 5000, 'algorithm': 'naive_string_matcher'}
I0716 10:42:54.768315 128058109416960 run.py:722] (val) algo naive_string_matcher step 5050: {'match': 0.997314453125, 'score': 0.997314453125, 'examples_seen': 116173, 'step': 5050, 'algorithm': 'naive_string_matcher'}
I0716 10:42:56.731513 128058109416960 run.py:722] (val) algo naive_string_matcher step 5100: {'match': 0.99658203125, 'score': 0.99658203125, 'examples_seen': 117311, 'step': 5100, 'algorithm': 'naive_string_matcher'}
I0716 10:42:58.711926 128058109416960 run.py:722] (val) algo naive_string_matcher step 5150: {'match': 0.994140625, 'score': 0.994140625, 'examples_seen': 118459, 'step': 5150, 'algorithm': 'naive_string_matcher'}
I0716 10:43:00.674409 128058109416960 run.py:722] (val) algo naive_string_matcher step 5200: {'match': 0.987548828125, 'score': 0.987548828125, 'examples_seen': 119626, 'step': 5200, 'algorithm': 'naive_string_matcher'}
I0716 10:43:02.644143 128058109416960 run.py:722] (val) algo naive_string_matcher step 5250: {'match': 0.995849609375, 'score': 0.995849609375, 'examples_seen': 120787, 'step': 5250, 'algorithm': 'naive_string_matcher'}
I0716 10:43:04.607003 128058109416960 run.py:722] (val) algo naive_string_matcher step 5300: {'match': 0.991943359375, 'score': 0.991943359375, 'examples_seen': 121932, 'step': 5300, 'algorithm': 'naive_string_matcher'}
I0716 10:43:06.615565 128058109416960 run.py:722] (val) algo naive_string_matcher step 5350: {'match': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 123085, 'step': 5350, 'algorithm': 'naive_string_matcher'}
I0716 10:43:08.576830 128058109416960 run.py:722] (val) algo naive_string_matcher step 5400: {'match': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 124243, 'step': 5400, 'algorithm': 'naive_string_matcher'}
