{'pred': 0.7626953125, 'score': 0.7626953125, 'examples_seen': 136976, 'step': 4050, 'algorithm': 'bubble_sort'}
{'pred': 0.734375, 'score': 0.734375, 'examples_seen': 138624, 'step': 4100, 'algorithm': 'bubble_sort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 140448, 'step': 4150, 'algorithm': 'bubble_sort'}
{'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 142160, 'step': 4200, 'algorithm': 'bubble_sort'}
{'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 143840, 'step': 4250, 'algorithm': 'bubble_sort'}
{'pred': 0.734375, 'score': 0.734375, 'examples_seen': 145520, 'step': 4300, 'algorithm': 'bubble_sort'}
{'pred': 0.765625, 'score': 0.765625, 'examples_seen': 147184, 'step': 4350, 'algorithm': 'bubble_sort'}
{'pred': 0.7724609375, 'score': 0.7724609375, 'examples_seen': 148848, 'step': 4400, 'algorithm': 'bubble_sort'}
{'pred': 0.7900390625, 'score': 0.7900390625, 'examples_seen': 150512, 'step': 4450, 'algorithm': 'bubble_sort'}
{'pred': 0.7548828125, 'score': 0.7548828125, 'examples_seen': 152288, 'step': 4500, 'algorithm': 'bubble_sort'}
{'pred': 0.7802734375, 'score': 0.7802734375, 'examples_seen': 154000, 'step': 4550, 'algorithm': 'bubble_sort'}
{'pred': 0.7822265625, 'score': 0.7822265625, 'examples_seen': 155696, 'step': 4600, 'algorithm': 'bubble_sort'}
{'pred': 0.7236328125, 'score': 0.7236328125, 'examples_seen': 157344, 'step': 4650, 'algorithm': 'bubble_sort'}
{'pred': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 159008, 'step': 4700, 'algorithm': 'bubble_sort'}
{'pred': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 160672, 'step': 4750, 'algorithm': 'bubble_sort'}
{'pred': 0.8173828125, 'score': 0.8173828125, 'examples_seen': 162336, 'step': 4800, 'algorithm': 'bubble_sort'}
{'pred': 0.7646484375, 'score': 0.7646484375, 'examples_seen': 164112, 'step': 4850, 'algorithm': 'bubble_sort'}
{'pred': 0.7900390625, 'score': 0.7900390625, 'examples_seen': 165824, 'step': 4900, 'algorithm': 'bubble_sort'}
{'pred': 0.701171875, 'score': 0.701171875, 'examples_seen': 167520, 'step': 4950, 'algorithm': 'bubble_sort'}
{'pred': 0.7578125, 'score': 0.7578125, 'examples_seen': 169184, 'step': 5000, 'algorithm': 'bubble_sort'}
